optimization_constraint,strategy,strategy_label,mean_standardized_regret,median_standardized_regret,probability_within_10_percent_of_best
future_product_target,timeliness_only,Timeliness,0.7291422069348905,0.8405533207543598,0
future_product_target,adolescent_booster,Adolescent,0.8158582823765844,0.8894687502964543,0
future_product_target,maternal_immunization,"Infant
exposure",0.7021841753046405,0.7211640807388348,0
future_product_target,resistance_guided_treatment,"Resistance
mgmt",0.47729415731256447,0.4545765881895896,0
future_product_target,transmission_blocking_vaccine,"Transmission
block",0.2582341383759081,0.263993367657405,0
future_product_target,next_generation_vaccine,"High-
blocking",0.06918957606079243,0.01985475501015878,0.3
future_product_target,combined_strategy,Combined,0.0028292793119283023,0,0.8
program_only,timeliness_only,Timeliness,0.09440191562594989,0.02221677495589778,0.6
program_only,adolescent_booster,Adolescent,0.1811179910676438,0.1426148436867435,0
program_only,maternal_immunization,"Infant
exposure",0.06744388399569991,0.05159505674564889,0.8
program_only,resistance_guided_treatment,"Resistance
mgmt",NA,NA,NA
program_only,transmission_blocking_vaccine,"Transmission
block",NA,NA,NA
program_only,next_generation_vaccine,"High-
blocking",NA,NA,NA
program_only,combined_strategy,Combined,NA,NA,NA
program_plus_resistance,timeliness_only,Timeliness,0.29745654925243586,0.3450427752169798,0.3
program_plus_resistance,adolescent_booster,Adolescent,0.38417262469412977,0.43944509782130464,0
program_plus_resistance,maternal_immunization,"Infant
exposure",0.27049851762218585,0.28127418398020987,0.1
program_plus_resistance,resistance_guided_treatment,"Resistance
mgmt",0.0456084996301098,0,0.9
program_plus_resistance,transmission_blocking_vaccine,"Transmission
block",NA,NA,NA
program_plus_resistance,next_generation_vaccine,"High-
blocking",NA,NA,NA
program_plus_resistance,combined_strategy,Combined,NA,NA,NA
