country,strategy,strategy_label,infant_case_reduction,child_1_9_case_reduction,adolescent_case_reduction,primary_case_reduction
Australia,adolescent_booster,Adolescent,-4.3089469402124436e-5,-6.701697728406231e-5,-3.9799121106587343e-4,-1.7365923172563e-4
Australia,timeliness_only,Timeliness,0.3270777192528477,0.15723611664934656,0.040013703869454575,0.1402013334381662
Australia,resistance_guided_treatment,Resistance mgmt,0.258772473980482,0.20531565424107978,0.08154085360447316,0.17120027297267004
Australia,maternal_immunization,Infant exposure,0.13042589473029487,-0.0019381075132987036,-0.006305339968220025,0.01376025960853299
Australia,next_generation_vaccine,High-blocking,0.510210918109389,0.5425948968809187,0.28993519009376423,0.4546251746088638
Australia,transmission_blocking_vaccine,Transmission block,0.3968763559656521,0.3504486075304356,0.17472694716940362,0.2981985941531039
Australia,combined_strategy,Combined,0.6612032711171504,0.5466044344848853,0.2830414746198172,0.4740596418251424
Brazil,adolescent_booster,Adolescent,0.0040759012388688065,0.0065760461419529515,0.04206178404273919,0.02306780114156603
Brazil,timeliness_only,Timeliness,0.3041233587947991,0.13639826338713557,0.07759684950584234,0.1235466771489182
Brazil,resistance_guided_treatment,Resistance mgmt,0.6057927065302293,0.5978733333418181,0.527612469923084,0.5654787817337104
Brazil,maternal_immunization,Infant exposure,0.3018331099837477,0.17794148368385931,0.1333935298353559,0.16775941307521525
Brazil,next_generation_vaccine,High-blocking,0.9726831550746251,0.979359809049665,0.9697974131813283,0.9742753084682207
Brazil,transmission_blocking_vaccine,Transmission block,0.7262458661089559,0.7453254146884274,0.6966616828156083,0.7207481291817717
Brazil,combined_strategy,Combined,0.995214473293358,0.994663669900783,0.9943210987577515,0.9945503511839368
China,adolescent_booster,Adolescent,0.24110104844031743,0.2521225425734426,0.42885440741874736,0.34717629662115157
China,timeliness_only,Timeliness,0.3317724663147671,0.19406198622518844,0.1401937170799713,0.17631400572469025
China,resistance_guided_treatment,Resistance mgmt,0.7637068125160992,0.7559862359302149,0.7394700328212527,0.7476648773457986
China,maternal_immunization,Infant exposure,0.5373956253940616,0.43308499842295634,0.42780297670624334,0.4389743999913137
China,next_generation_vaccine,High-blocking,0.9935384472166565,0.995195909662731,0.9942464768238444,0.9945411329480758
China,transmission_blocking_vaccine,Transmission block,0.9437046761885503,0.9467521815153699,0.9425833963965435,0.9442323382422184
China,combined_strategy,Combined,0.9970057101604607,0.9965212732605108,0.9972423976159156,0.996953573209151
Japan,adolescent_booster,Adolescent,0.021259041924451605,0.027692974828207984,0.10882501531530564,0.06747800919741997
Japan,timeliness_only,Timeliness,0.2672918039895481,0.11659084422597377,0.04615612415102488,0.09511020922498326
Japan,resistance_guided_treatment,Resistance mgmt,0.4825151989042066,0.471786639090763,0.4043399779493666,0.43920357275319777
Japan,maternal_immunization,Infant exposure,0.3513823122371741,0.2037114162538607,0.15594316129057528,0.19341905731435904
Japan,next_generation_vaccine,High-blocking,0.6455223789381528,0.7338517093314765,0.6387956171453733,0.6784890159247754
Japan,transmission_blocking_vaccine,Transmission block,0.3933393125113618,0.4299505429206605,0.3547541824746713,0.3891905100953791
Japan,combined_strategy,Combined,0.9616569249955954,0.9550140098687011,0.9551737419915833,0.955699782469108
New_Zealand,adolescent_booster,Adolescent,-0.07935606327249922,-0.07272325928193979,-0.06927210548904084,-0.07229674691618393
New_Zealand,timeliness_only,Timeliness,0.2872850622227274,0.12392861149360368,0.013450340900003077,0.10351854872877651
New_Zealand,resistance_guided_treatment,Resistance mgmt,0.18691622206446035,0.1487598499872942,0.024590571394010996,0.10906227352407384
New_Zealand,maternal_immunization,Infant exposure,0.1449284797067738,0.006810019615038798,-0.007347645685599868,0.01853191626026473
New_Zealand,next_generation_vaccine,High-blocking,0.42281441663930597,0.5054103653362734,0.281730687499402,0.4155172776851046
New_Zealand,transmission_blocking_vaccine,Transmission block,0.3204806508109056,0.29977806227975135,0.14533968057659152,0.2471534520225832
New_Zealand,combined_strategy,Combined,0.7199333948361829,0.6446264996739205,0.4636062513436666,0.5891438801845936
South_Africa,adolescent_booster,Adolescent,0.014376498498426926,0.016256711447786842,0.07716868387687814,0.04464504408040415
South_Africa,timeliness_only,Timeliness,0.24336881086820417,0.22576410614122022,0.08519511102325605,0.16121466574286814
South_Africa,resistance_guided_treatment,Resistance mgmt,0.6276736921608921,0.6081281618696979,0.5440119872891132,0.5798676603842057
South_Africa,maternal_immunization,Infant exposure,0.26094071325765933,0.09787834390690908,0.06485270411854427,0.09744117809023368
South_Africa,next_generation_vaccine,High-blocking,0.9956312146043786,0.9962612530139122,0.9953149026644881,0.9957593608243532
South_Africa,transmission_blocking_vaccine,Transmission block,0.772588013820077,0.7736249564008071,0.728035259693079,0.7521520777479055
South_Africa,combined_strategy,Combined,0.9969058102097182,0.9961533672467859,0.9963349145507082,0.9963079368385002
Sweden,adolescent_booster,Adolescent,3.328768981247787e-4,3.5874161139748395e-4,-2.611183135874384e-4,6.731831350270667e-5
Sweden,timeliness_only,Timeliness,0.3331548295411353,0.16183407252289306,0.07951840978912295,0.13801268978111714
Sweden,resistance_guided_treatment,Resistance mgmt,0.5192841598124808,0.5102516648157969,0.4527651922807109,0.4842035930228197
Sweden,maternal_immunization,Infant exposure,0.2205731073102829,0.08523551020216336,0.06230516050505008,0.08612597844818348
Sweden,next_generation_vaccine,High-blocking,0.9884534313669073,0.9913964810720832,0.9904919677483989,0.9907224445325752
Sweden,transmission_blocking_vaccine,Transmission block,0.7190259998785501,0.7484848082631022,0.7282857784765121,0.7365379312209892
Sweden,combined_strategy,Combined,0.9764846210406853,0.9740550941672574,0.9699755315443486,0.972359730694664
Thailand,adolescent_booster,Adolescent,0.07223459978538305,0.07435780967292549,0.13362959467838142,0.10270112492417004
Thailand,timeliness_only,Timeliness,0.2657956125886365,0.1300884672794702,0.08040007119739057,0.11826079182443894
Thailand,resistance_guided_treatment,Resistance mgmt,0.6165254277573304,0.60994199986958,0.5488006672888641,0.5811027362847028
Thailand,maternal_immunization,Infant exposure,0.44684958490268756,0.320710213577451,0.2817233020921024,0.3133694151375499
Thailand,next_generation_vaccine,High-blocking,0.92101093936129,0.9426662524449149,0.9228617766295519,0.931169523825778
Thailand,transmission_blocking_vaccine,Transmission block,0.6859364676995807,0.7114716719152863,0.681273497905794,0.694619480449357
Thailand,combined_strategy,Combined,0.9942612655844636,0.9933899024339874,0.9932818904124131,0.993416852066225
United_Kingdom,adolescent_booster,Adolescent,-0.021950199036109286,-0.016772130570250843,-0.02018798710877867,-0.01855971379904053
United_Kingdom,timeliness_only,Timeliness,0.31636867534012414,0.1623602746792131,0.05825544570354835,0.1486502832626595
United_Kingdom,resistance_guided_treatment,Resistance mgmt,0.23535930436142072,0.18489314483022723,0.08517378636653228,0.1588220448791774
United_Kingdom,maternal_immunization,Infant exposure,0.2358584968836145,0.08486665154129558,0.06233327387743248,0.0970540648122431
United_Kingdom,next_generation_vaccine,High-blocking,0.5639178629956001,0.6157876264289801,0.35617966154807557,0.5241806704064828
United_Kingdom,transmission_blocking_vaccine,Transmission block,0.39219674840176155,0.3724704124162903,0.24932295044881014,0.33475732404556646
United_Kingdom,combined_strategy,Combined,0.779637413744196,0.7025724116996361,0.5428357380563067,0.6603212073394578
United_States,adolescent_booster,Adolescent,-0.00497072010866817,-0.005049835438993178,-0.008306522689483176,-0.00668025794317128
United_States,timeliness_only,Timeliness,0.32671159661258176,0.15893414229156966,0.11206010748487227,0.14861463932172336
United_States,resistance_guided_treatment,Resistance mgmt,0.03446388558850921,0.037233830477707563,0.03612836199679592,0.03646065217661376
United_States,maternal_immunization,Infant exposure,0.3133542062993633,0.19270015271515273,0.1838468572245211,0.1977305987818679
United_States,next_generation_vaccine,High-blocking,0.9930080780441526,0.994796728546313,0.99514728039844,0.994832365290066
United_States,transmission_blocking_vaccine,Transmission block,0.9410896010128864,0.9455841311008624,0.9472671827165751,0.9460768142891072
United_States,combined_strategy,Combined,0.9860566501017644,0.9846209432820363,0.984956316598485,0.9849022860260308
