portfolio,timeliness_applied,resistance_guided,program_layers,implementation_intensity,median_infant_cases_per_100k,median_relative_reduction_infant_cases,iqr_relative_reduction_infant_cases,countries_with_positive_infant_reduction,median_relative_reduction_resistant_infections,countries_ranked_first_infant_cases,countries,implementation_note
timeliness_infant_exposure_targeted_pep_resistance_guided,True,True,maternal_immunization;targeted_pep_high_risk;resistance_guided_treatment,7,83.90923730564884,0.8688980965247226,0.7305 to 0.9007,10,0.7632838046867301,10,10,"Routine timeliness plus infant-exposure reduction, targeted PEP, and resistance-guided management."
timeliness_infant_exposure_resistance_guided,True,True,maternal_immunization;resistance_guided_treatment,6,135.94587064383038,0.7878652935471404,0.6476 to 0.8299,10,0.6472706649819011,0,10,Routine timeliness plus infant-exposure reduction and resistance-guided management.
infant_exposure_resistance_guided,False,True,maternal_immunization;resistance_guided_treatment,5,192.6527665729967,0.6993513269638278,0.4746 to 0.7553,10,0.638470686116474,0,10,Infant-exposure reduction plus resistance-guided management.
routine_timeliness_resistance_guided,True,True,resistance_guided_treatment,3,221.37475318540112,0.6539521691798461,0.5141 to 0.7009,10,0.5835988722608706,0,10,Routine timeliness plus resistance-guided management.
timeliness_infant_exposure_targeted_pep,True,False,maternal_immunization;targeted_pep_high_risk,5,304.80467309144103,0.5452170084412953,0.472 to 0.5716,10,0.19958066337483654,0,10,Routine timeliness plus infant-exposure reduction and targeted high-risk PEP.
timeliness_infant_exposure,True,False,maternal_immunization,4,333.8676832803181,0.5007939459300867,0.4319 to 0.5471,10,0.14572889805290368,0,10,Routine timeliness plus infant-exposure reduction composite.
timeliness_pregnancy_tdap,True,False,pregnancy_tdap_scaleup,2,417.8293531076208,0.37074303482146864,0.3492 to 0.3888,10,0.023120315147798554,0,10,Routine timeliness plus pregnancy Tdap scale-up.
timeliness_targeted_pep,True,False,targeted_pep_high_risk,2,442.461985999238,0.31484777406900805,0.2983 to 0.3354,10,0.0918160865462137,0,10,Routine timeliness plus targeted high-risk PEP.
routine_timeliness,True,False,,1,475.3558483204324,0.26749030190411693,0.2406 to 0.2769,10,0.021938429951967153,0,10,Routine timeliness improvement only.
infant_exposure,False,False,maternal_immunization,3,475.74004663022197,0.24857017597909026,0.2218 to 0.3389,10,0.08940584411417513,0,10,Infant-exposure reduction composite without routine timeliness changes.
current,False,False,,0,643.5439315815613,0.0,0 to 0,0,0.0,0,10,Current practice.
