country,optimization_constraint,preferred_strategy,preferred_strategy_label,preferred_primary_cases_per_100k,preferred_primary_case_reduction
Australia,future_product_target,combined_strategy,Combined future stress-test profile,563.8829063859918,0.4740596418251424
Australia,program_only,timeliness_only,Routine timeliness,921.6516743818108,0.1402013334381662
Australia,program_plus_resistance,resistance_guided_treatment,Resistance-guided management,888.5912473232692,0.17120027297267004
Brazil,future_product_target,combined_strategy,Combined future stress-test profile,1.9418581963889157,0.9945503511839368
Brazil,program_only,maternal_immunization,Infant-exposure reduction,296.54997247161845,0.16775941307521525
Brazil,program_plus_resistance,resistance_guided_treatment,Resistance-guided management,154.8317364532763,0.5654787817337104
China,future_product_target,combined_strategy,Combined future stress-test profile,0.47032336417336207,0.996953573209151
China,program_only,maternal_immunization,Infant-exposure reduction,86.61407796372208,0.4389743999913137
China,program_plus_resistance,resistance_guided_treatment,Resistance-guided management,38.95682117466116,0.7476648773457986
Japan,future_product_target,combined_strategy,Combined future stress-test profile,15.15485812997445,0.955699782469108
Japan,program_only,maternal_immunization,Infant-exposure reduction,275.9268561605266,0.19341905731435904
Japan,program_plus_resistance,resistance_guided_treatment,Resistance-guided management,191.8453400950733,0.43920357275319777
New_Zealand,future_product_target,combined_strategy,Combined future stress-test profile,371.381128669887,0.5891438801845936
New_Zealand,program_only,timeliness_only,Routine timeliness,809.6190137832613,0.10351854872877651
New_Zealand,program_plus_resistance,resistance_guided_treatment,Resistance-guided management,805.3365706232512,0.10906227352407384
South_Africa,future_product_target,combined_strategy,Combined future stress-test profile,1.2747164913483977,0.9963079368385002
South_Africa,program_only,timeliness_only,Routine timeliness,289.5069239795293,0.16121466574286814
South_Africa,program_plus_resistance,resistance_guided_treatment,Resistance-guided management,145.05429583051466,0.5798676603842057
Sweden,future_product_target,next_generation_vaccine,High-transmission-blocking vaccine target,4.353925913277631,0.9907224445325752
Sweden,program_only,timeliness_only,Routine timeliness,404.48304499639033,0.13801268978111714
Sweden,program_plus_resistance,resistance_guided_treatment,Resistance-guided management,242.0615377518686,0.4842035930228197
Thailand,future_product_target,combined_strategy,Combined future stress-test profile,1.999517369778986,0.993416852066225
Thailand,program_only,maternal_immunization,Infant-exposure reduction,208.55216897971593,0.3133694151375499
Thailand,program_plus_resistance,resistance_guided_treatment,Resistance-guided management,127.23280159927516,0.5811027362847028
United_Kingdom,future_product_target,combined_strategy,Combined future stress-test profile,327.7409163637227,0.6603212073394578
United_Kingdom,program_only,timeliness_only,Routine timeliness,821.8038610707852,0.1486502832626595
United_Kingdom,program_plus_resistance,resistance_guided_treatment,Resistance-guided management,811.6150897035429,0.1588220448791774
United_States,future_product_target,next_generation_vaccine,High-transmission-blocking vaccine target,0.29602370042946885,0.994832365290066
United_States,program_only,targeted_pep_high_risk,Targeted high-risk PEP,29.069105012068828,0.49254564545052215
United_States,program_plus_resistance,targeted_pep_high_risk,Targeted high-risk PEP,29.069105012068828,0.49254564545052215
