country,comparable_years,median_native_to_national_ratio,minimum_native_to_national_ratio,maximum_native_to_national_ratio,material_scale_mismatch,absolute_burden_claim_allowed,model_use_contract
Australia,11,1.0015393496247835,0.9818181818181818,1.0099884431236585,False,True,notification_index_with_static_source_scale
Brazil,10,1.0433376644185541,0.967479674796748,1.1118881118881119,False,True,notification_index_with_static_source_scale
China,10,1.020927609213306,0.9290195506273708,1.1159776536312849,False,True,notification_index_with_static_source_scale
Japan,10,0.7640786961265684,0.6547137073452863,0.9996261682242991,True,False,shape_only_with_static_source_scale_no_absolute_burden_claim
New_Zealand,10,1.0410194369037198,1.0,1.441860465116279,False,True,notification_index_with_static_source_scale
South_Africa,2,8.646986586057057,8.025316455696203,9.26865671641791,True,False,shape_only_with_static_source_scale_no_absolute_burden_claim
Sweden,11,1.0,0.9927536231884058,1.0038461538461538,False,True,notification_index_with_static_source_scale
Thailand,16,1.0,0.24444444444444444,2.2025316455696204,True,False,shape_only_with_static_source_scale_no_absolute_burden_claim
United_Kingdom,10,0.988367700511256,0.5792202803917803,9.296296296296296,True,False,shape_only_with_static_source_scale_no_absolute_burden_claim
United_States,11,0.31211120764552563,0.0832517140058766,0.8245729303547963,True,False,shape_only_with_static_source_scale_no_absolute_burden_claim
