country,current_resistance_fraction_start,baseline_modeled_infant_cases_per_100k,baseline_modeled_infant_burden_category,best_program_only_strategy,best_program_plus_resistance_strategy,best_future_product_target_strategy,minimum_regret_program_plus_resistance_strategy,age_pattern_agreement,interpretation_strength
Australia,0.043,2701.7363369500385,Higher modeled infant burden,Routine timeliness,Routine timeliness,Combined future stress-test profile,Routine timeliness,Weak external age-pattern agreement (weight 0.42),Externally discordant
Brazil,0.0099999999999999,635.8141964947877,Intermediate modeled infant burden,Infant-exposure reduction,Resistance-guided management,Combined future stress-test profile,Routine timeliness,Not externally assessed; no comparable public age-pattern check,Not externally assessed
China,0.997,295.3232396087969,Lower modeled infant burden,Infant-exposure reduction,Resistance-guided management,Combined future stress-test profile,Routine timeliness,Not externally assessed; no comparable public age-pattern check,Not externally assessed
Japan,0.8270000000000001,630.7041450543462,Intermediate modeled infant burden,Infant-exposure reduction,Resistance-guided management,Combined future stress-test profile,Routine timeliness,Not externally assessed; no comparable public age-pattern check,Not externally assessed
New_Zealand,0.01,2171.522184562205,Higher modeled infant burden,Routine timeliness,Routine timeliness,Combined future stress-test profile,Routine timeliness,Not externally assessed; no comparable public age-pattern check,Not externally assessed
South_Africa,0.0199999999999999,604.634776270607,Lower modeled infant burden,Routine timeliness,Resistance-guided management,Combined future stress-test profile,Routine timeliness,Not externally assessed; no comparable public age-pattern check,Not externally assessed
Sweden,0.01,810.4536917362184,Intermediate modeled infant burden,Infant-exposure reduction,Resistance-guided management,High-transmission-blocking vaccine target,Routine timeliness,Acceptable external age-pattern agreement (weight 0.51),Externally supported
Thailand,0.01,579.5093797303277,Lower modeled infant burden,Infant-exposure reduction,Resistance-guided management,Combined future stress-test profile,Routine timeliness,Not externally assessed; no comparable public age-pattern check,Not externally assessed
United_Kingdom,0.0029999999999999,2478.9962673798445,Higher modeled infant burden,Routine timeliness,Routine timeliness,Combined future stress-test profile,Routine timeliness,Weak external age-pattern agreement (weight 0.21),Externally discordant
United_States,0.01,651.0196794036234,Intermediate modeled infant burden,Routine timeliness,Resistance-guided management,High-transmission-blocking vaccine target,Routine timeliness,Acceptable external age-pattern agreement (weight 0.86),Externally supported
