country,country_code,adolescent_effect_rank,all_under18_symptomatic_case_reduction,adolescent_case_reduction,all_under18_cases_per_100k,adolescent_cases_per_100k,current_all_under18_cases_per_100k,current_adolescent_cases_per_100k
Thailand,THA,1,0.16149559240596656,0.21104507046053722,419.65012281472406,399.2249223286168,500.4745580513394,506.017400210246
Brazil,BRA,2,0.05786589259004449,0.09959521586897713,436.2514194771291,417.35045751455465,463.0459889372213,463.5142603305223
China,CHN,3,-0.001001140707999948,0.0118895612766855,290.757619901255,198.30122981392145,290.46682174168603,200.68731393034977
Sweden,SWE,4,0.0034711325042785512,0.005514582632796139,174.5262656382747,132.3341153955692,175.13417958163066,133.06792948850867
Australia,AUS,5,-8.082623971672476e-6,-4.2514534531301607e-5,1082.7693257918131,487.9568543394855,1082.7605742452402,487.9361099628894
New_Zealand,NZL,6,-4.042471510157242e-5,-1.9887647294458688e-4,1294.0232478662454,628.7212334584103,1293.970939459668,628.5962204591791
United_States,USA,7,-2.1292579027121228e-4,-4.244420527050874e-4,714.2046720854189,655.3017181256332,714.0526318644839,655.0236985224619
Japan,JPN,8,-0.0019315327795672577,-0.0043482214016079546,1048.8193203028395,655.0315905564904,1046.7973968173212,652.1956992589361
United_Kingdom,GBR,9,-0.005097808552958494,-0.007010991096418451,934.6570561120524,584.7002985082217,929.9165197242646,580.6295101820178
