optimization_constraint,strategy,strategy_label,implementation_intensity,countries_non_dominated,countries_primary_preferred,median_primary_case_reduction,median_resistant_infection_reduction
future_product_target,current,Current,0,10,0,0,0
future_product_target,timeliness_only,Timeliness,1,8,0,0.13910701160964167,0.05520604250028582
future_product_target,adolescent_booster,Adolescent,1,3,0,0.011567559727534368,3.5322327868791e-4
future_product_target,targeted_pep_high_risk,"Targeted
PEP",1,6,0,0.060269716003148566,0.04556889988755197
future_product_target,resistance_guided_treatment,"Resistance
mgmt",2,9,0,0.4617035828880087,0.5393111941124749
future_product_target,next_generation_vaccine,"High-
blocking",4,10,2,0.9527224161469994,0.9189012808134064
future_product_target,combined_strategy,Combined,5,8,8,0.9786310083603473,0.9962117641548316
program_only,current,Current,0,10,0,0,0
program_only,timeliness_only,Timeliness,1,8,5,0.13910701160964167,0.05520604250028582
program_only,adolescent_booster,Adolescent,1,3,0,0.011567559727534368,3.5322327868791e-4
program_only,cocooning_adjunct,"Adult/
contact",2,6,0,0.12048932865496476,0.09216171004543938
program_only,maternal_immunization,"Infant
exposure",3,6,4,0.13260029558272446,0.09802652708293524
program_only,targeted_pep_high_risk,"Targeted
PEP",1,6,1,0.060269716003148566,0.04556889988755197
program_plus_resistance,current,Current,0,10,0,0,0
program_plus_resistance,timeliness_only,Timeliness,1,8,0,0.13910701160964167,0.05520604250028582
program_plus_resistance,adolescent_booster,Adolescent,1,3,0,0.011567559727534368,3.5322327868791e-4
program_plus_resistance,targeted_pep_high_risk,"Targeted
PEP",1,6,1,0.060269716003148566,0.04556889988755197
program_plus_resistance,resistance_guided_treatment,"Resistance
mgmt",2,9,9,0.4617035828880087,0.5393111941124749
