strategy,coverage_floor_applied,timeliness_applied,median_current_infant_cases_per_100k,median_scenario_infant_cases_per_100k,median_relative_reduction_infant_cases,iqr_relative_reduction_infant_cases,countries_with_positive_reduction,median_relative_reduction_total_infections,countries,implementation_note
current,False,False,1387.1566091837446,1387.1566091837446,0.0,0 to 0,0,0.0,9,Current practice with country-profile routine coverage and default age-bin vaccine-origin timing.
coverage_floor_only,True,False,1387.1566091837446,1389.8252041927049,-0.0017795886494365032,-0.002604 to 0.0009379,3,-0.00031008003044452614,9,Nominal coverage floor without timeliness improvement used in the main intervention comparison.
timeliness_only,False,True,1387.1566091837446,1013.9084977051286,0.32482125284721497,0.2691 to 0.3412,9,0.049512231800321826,9,Current coverage with faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
coverage_floor_plus_timeliness,True,True,1387.1566091837446,1015.0835945560793,0.32482125284721464,0.2682 to 0.3568,9,0.04904502293096258,9,Coverage floor plus faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
