scope,country,fold_count,model_mean_absolute_log1p_error,model_mean_log_score_per_interval,seasonal_naive_mean_absolute_log1p_error,seasonal_naive_mean_log_score_per_interval,model_log_score_win_fraction_vs_seasonal_naive,ew_recent_rate_mean_absolute_log1p_error,ew_recent_rate_mean_log_score_per_interval,model_log_score_win_fraction_vs_ew_recent_rate,damped_log_trend_mean_absolute_log1p_error,damped_log_trend_mean_log_score_per_interval,model_log_score_win_fraction_vs_damped_log_trend
overall,all_countries,34,1.5540405778267345,-7.07268135183906,1.6345323629317394,-19.94637559189951,0.8823529411764706,1.5645447454061796,-17.677746684975386,0.7058823529411765,1.5299254921551693,-11.133010433995485,0.7352941176470589
country,Australia,4,1.8151365933817305,-9.057454613005042,1.7624320150970867,-27.24858800129689,0.75,1.5836125694360983,-29.108518771440124,0.75,1.7874702989810574,-13.255439253846221,0.75
country,Brazil,4,1.5740506698543726,-6.5874106510711075,1.721368773939615,-26.226709096189108,0.75,1.1678674228261174,-23.829307680316784,0.5,1.6733940184350562,-22.938008980057337,0.5
country,China,4,1.687635119525523,-10.644446837816732,1.7629948094478793,-26.04423621041103,1.0,1.509438845932904,-16.558658870617933,0.75,1.2927895929844277,-13.03998437202179,0.75
country,Japan,4,1.4758409062778517,-6.782361563685125,1.7501248165754069,-12.058816889316226,0.75,1.7921435529363379,-10.88208766283336,0.75,1.7167401383756429,-7.150568956395667,1.0
country,New_Zealand,4,1.2410334243375158,-5.863023621563665,1.3125728917815218,-14.009013700272963,0.75,1.4799055966372596,-15.430949164960293,0.75,1.3247474543105668,-8.125069122222872,0.5
country,Sweden,4,2.0252013980341883,-5.730444135129687,1.907445739858522,-18.82197832750107,1.0,1.866499615922372,-23.405646796614953,0.5,1.9014748042633884,-8.812904057443049,0.75
country,Thailand,3,1.4231916589215308,-5.197677926373728,1.8376244604629643,-38.922782310450984,1.0,2.129907737849653,-22.15438036316409,1.0,1.6102855859536689,-12.722876253656475,1.0
country,United_Kingdom,3,1.79592778720479,-7.183589926983309,1.8933457151108721,-12.400572392870918,1.0,1.8752653069057972,-10.452243895966237,0.6666666666666666,1.7627943436158287,-7.471715327112274,1.0
country,United_States,4,0.9761072155213211,-6.166699178342876,0.8783584065393757,-6.642334278667157,1.0,0.8952829486948497,-6.59070968115954,0.75,0.777940428791676,-6.162670261398124,0.5
