country,primary_case_metric,primary_cases_per_100k,infant_cases_per_100k,infant_hospitalizations_per_100k,infant_deaths_per_100k,child_1_9_cases_per_100k,adolescent_cases_per_100k,child_adolescent_infections_per_100k,child_adolescent_reported_cases_per_100k,child_adolescent_deaths_per_million,child_adolescent_hospitalizations_per_100k,metric_availability_note,age_case_data_availability,lancet_endpoint_validation_tier,latest_preferred_target_role
Australia,child_adolescent_0_17y,1072.1423025667305,2701.7363369500385,802.3589093984301,4.611422658250262,1162.6594081015876,787.0785162884652,5048.628836625034,151.6247553381755,2.376586213207093,45.037221915927304,Primary Lancet metric generated from model age groups <18 years.,under5_only_no_infant_split,age_triangulated_under5,under5_aggregate_not_infant
Brazil,child_adolescent_0_17y,356.3272170672158,635.8141964947877,186.74267624987482,1.0271592409159505,324.89571827240144,359.7337325600631,1773.9201710187256,72.26150289490678,0.5030861619836602,10.135335475266409,Primary Lancet metric generated from model age groups <18 years.,not_available_in_local_age_xlsx,age_unavailable_aggregate_calibrated,
China,child_adolescent_0_17y,154.38525086572383,295.3232396087969,93.39033367930247,0.5669952485807148,128.6997980294371,164.81469416816716,739.2620606088306,56.04510977338117,0.24948373730926177,4.5169562546078605,Primary Lancet metric generated from model age groups <18 years.,direct_infant_under1_available,age_corrected_direct_infant,direct_infant_under1
Japan,child_adolescent_0_17y,342.0944405222172,630.7041450543462,200.12018201635593,1.217633655935705,291.3179796093406,363.95889677409275,1668.7170245598352,76.982497527043,0.6042259703154566,10.870273636638558,Primary Lancet metric generated from model age groups <18 years.,direct_infant_under1_available,age_corrected_direct_infant,direct_infant_under1
New_Zealand,child_adolescent_0_17y,903.9201578854819,2171.5221845622054,654.8236644771745,3.807707542246853,958.1862797446975,705.4614266395422,4320.655228865038,176.54228156909014,1.9300685458613187,36.17704405320555,Primary Lancet metric generated from model age groups <18 years.,direct_infant_under1_available,age_corrected_direct_infant,direct_infant_under1
South_Africa,child_adolescent_0_17y,345.25858220364154,604.634776270607,192.89044596308128,1.1173134872324,300.68478286336347,365.081110262369,1661.509585283074,56.54435478268071,0.5905490918246384,11.19766627634628,Primary Lancet metric generated from model age groups <18 years.,not_available_in_local_age_xlsx,age_unavailable_aggregate_calibrated,
Sweden,child_adolescent_0_17y,469.2966728957474,810.4536917362184,241.91603802536517,1.3911925542860986,432.50555481260625,471.3635742528221,2352.9040856509873,79.79207363151369,0.6918103948415101,13.329046222196743,Primary Lancet metric generated from model age groups <18 years.,under5_only_no_infant_split,age_triangulated_under5,under5_aggregate_not_infant
Thailand,child_adolescent_0_17y,303.73271103385906,579.5093797303277,183.9594601793642,1.1025147141018805,273.44712568241516,306.457540116363,1504.756606081006,57.42635282140546,0.5248221455639585,9.57728144880746,Primary Lancet metric generated from model age groups <18 years.,not_available_in_local_age_xlsx,age_unavailable_aggregate_calibrated,
United_Kingdom,child_adolescent_0_17y,964.8553970789703,2478.9962673798445,750.041763699351,4.380223633546712,1071.1954457540814,685.790754643448,4569.258868346055,189.65963433274985,2.213407845804306,41.2030596323885,Primary Lancet metric generated from model age groups <18 years.,direct_infant_under1_available,age_corrected_direct_infant,direct_infant_under1
United_States,child_adolescent_0_17y,388.89473491693457,651.0196794036234,194.708188444016,1.1217713679146502,350.12938320322655,401.5911601631232,1950.6905023611891,74.5460163911158,0.578108404130407,11.113479959889657,Primary Lancet metric generated from model age groups <18 years.,direct_infant_under1_available,age_corrected_direct_infant,direct_infant_under1
