country,country_code,country_label_text,scenario,scenario_label,outcome_type,primary_cases_per_100k,min_primary_cases_per_100k,max_primary_cases_per_100k,median,q25,q75,q025,q975
Australia,AUS,Australia,symptom_protective,Current aP-like mechanism scenario,Vaccine mechanism,1072.1423025667305,57.284176863378654,1072.1423025667305,350.7928996354287,313.3231434059486,795.2642866380484,79.13191851390633,1048.0027488319845
Australia,AUS,Australia,infection_blocking,Infection-blocking mechanism,Vaccine mechanism,766.9400745250446,1.6807175149002964,766.9400745250446,90.26153134694385,69.37281227674256,498.7679502671955,2.3238173585517217,733.4119992152988
Australia,AUS,Australia,transmission_blocking,Transmission-blocking mechanism,Vaccine mechanism,752.4309752092597,3.0889453072995945,752.4309752092597,111.57345715084668,87.3672299541687,533.6358723750643,4.331116114557927,736.2494691522157
Australia,AUS,Australia,next_generation,High transmission-blocking mechanism,Vaccine mechanism,584.7194209117171,0.29602370042946885,584.7194209117171,15.03623744070612,2.186569278604111,371.819416193629,0.41904129407078256,572.0308369893653
China,CHN,China,symptom_protective,Current aP-like mechanism scenario,Vaccine mechanism,154.38525086572383,57.284176863378654,1072.1423025667305,350.7928996354287,313.3231434059486,795.2642866380484,79.13191851390633,1048.0027488319845
China,CHN,China,infection_blocking,Infection-blocking mechanism,Vaccine mechanism,4.538939042239962,1.6807175149002964,766.9400745250446,90.26153134694385,69.37281227674256,498.7679502671955,2.3238173585517217,733.4119992152988
China,CHN,China,transmission_blocking,Transmission-blocking mechanism,Vaccine mechanism,8.609704450669962,3.0889453072995945,752.4309752092597,111.57345715084668,87.3672299541687,533.6358723750643,4.331116114557927,736.2494691522157
China,CHN,China,next_generation,High transmission-blocking mechanism,Vaccine mechanism,0.8427685610575295,0.29602370042946885,584.7194209117171,15.03623744070612,2.186569278604111,371.819416193629,0.41904129407078256,572.0308369893653
United_Kingdom,GBR,United Kingdom,symptom_protective,Current aP-like mechanism scenario,Vaccine mechanism,964.8553970789704,57.284176863378654,1072.1423025667305,350.7928996354287,313.3231434059486,795.2642866380484,79.13191851390633,1048.0027488319845
United_Kingdom,GBR,United Kingdom,infection_blocking,Infection-blocking mechanism,Vaccine mechanism,603.045692333323,1.6807175149002964,766.9400745250446,90.26153134694385,69.37281227674256,498.7679502671955,2.3238173585517217,733.4119992152988
United_Kingdom,GBR,United Kingdom,transmission_blocking,Transmission-blocking mechanism,Vaccine mechanism,641.8629862618917,3.0889453072995945,752.4309752092597,111.57345715084668,87.3672299541687,533.6358723750643,4.331116114557927,736.2494691522157
United_Kingdom,GBR,United Kingdom,next_generation,High transmission-blocking mechanism,Vaccine mechanism,459.09684817439353,0.29602370042946885,584.7194209117171,15.03623744070612,2.186569278604111,371.819416193629,0.41904129407078256,572.0308369893653
Japan,JPN,Japan,symptom_protective,Current aP-like mechanism scenario,Vaccine mechanism,342.0944405222172,57.284176863378654,1072.1423025667305,350.7928996354287,313.3231434059486,795.2642866380484,79.13191851390633,1048.0027488319845
Japan,JPN,Japan,infection_blocking,Infection-blocking mechanism,Vaccine mechanism,185.9347240688129,1.6807175149002964,766.9400745250446,90.26153134694385,69.37281227674256,498.7679502671955,2.3238173585517217,733.4119992152988
Japan,JPN,Japan,transmission_blocking,Transmission-blocking mechanism,Vaccine mechanism,208.95453071458215,3.0889453072995945,752.4309752092597,111.57345715084668,87.3672299541687,533.6358723750643,4.331116114557927,736.2494691522157
Japan,JPN,Japan,next_generation,High transmission-blocking mechanism,Vaccine mechanism,109.9871202513354,0.29602370042946885,584.7194209117171,15.03623744070612,2.186569278604111,371.819416193629,0.41904129407078256,572.0308369893653
New_Zealand,NZL,New Zealand,symptom_protective,Current aP-like mechanism scenario,Vaccine mechanism,903.920157885482,57.284176863378654,1072.1423025667305,350.7928996354287,313.3231434059486,795.2642866380484,79.13191851390633,1048.0027488319845
New_Zealand,NZL,New Zealand,infection_blocking,Infection-blocking mechanism,Vaccine mechanism,617.9264064817299,1.6807175149002964,766.9400745250446,90.26153134694385,69.37281227674256,498.7679502671955,2.3238173585517217,733.4119992152988
New_Zealand,NZL,New Zealand,transmission_blocking,Transmission-blocking mechanism,Vaccine mechanism,680.5131705112866,3.0889453072995945,752.4309752092597,111.57345715084668,87.3672299541687,533.6358723750643,4.331116114557927,736.2494691522157
New_Zealand,NZL,New Zealand,next_generation,High transmission-blocking mechanism,Vaccine mechanism,528.3257145901538,0.29602370042946885,584.7194209117171,15.03623744070612,2.186569278604111,371.819416193629,0.41904129407078256,572.0308369893653
Sweden,SWE,Sweden,symptom_protective,Current aP-like mechanism scenario,Vaccine mechanism,469.2966728957474,57.284176863378654,1072.1423025667305,350.7928996354287,313.3231434059486,795.2642866380484,79.13191851390633,1048.0027488319845
Sweden,SWE,Sweden,infection_blocking,Infection-blocking mechanism,Vaccine mechanism,98.36791281485328,1.6807175149002964,766.9400745250446,90.26153134694385,69.37281227674256,498.7679502671955,2.3238173585517217,733.4119992152988
