parent,config_hash,source_code_hash,git_commit,artifact_sha256,generated_at_utc,estimand_or_role,figure2_parent_bundle_sha256
reference,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,6ae5826e30dd6412f7b6c0f051efdcbaf9af47b31ed92dc92b506fd2f9b1fccb,a968f1728676e717839fae9b172b7ec0d6401941,ddebe9753293b2418e87ae1784f69364972dc4c6dfa8c178df997a1f4e7583b4,2026-07-20T06:50:15.897927+00:00,"Common-production-runtime current comparator, routine-timeliness contrast, and six-strategy locked estimates",4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
bootstrap,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,6ae5826e30dd6412f7b6c0f051efdcbaf9af47b31ed92dc92b506fd2f9b1fccb,a968f1728676e717839fae9b172b7ec0d6401941,b75afc4b80415085879340ef86ffb3f4a00fe782ab08f30161bec98743dcef03,2026-07-20T19:22:16.064554+00:00,Paired full-refit parametric-bootstrap 95% estimation confidence intervals for all 54 profile-strategy contrasts,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
selected_input_rank,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,6ae5826e30dd6412f7b6c0f051efdcbaf9af47b31ed92dc92b506fd2f9b1fccb,a968f1728676e717839fae9b172b7ec0d6401941,4b859372d1c9eca7ecf38b2fc2b1878790c567d235764e661e61962456cf9f08,2026-07-20T07:27:43.870103+00:00,Selected-input deterministic design-frequency summary of reference-choice retention and fixed-reference regret across 128 prespecified settings,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
production_intervention,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,6ae5826e30dd6412f7b6c0f051efdcbaf9af47b31ed92dc92b506fd2f9b1fccb,a968f1728676e717839fae9b172b7ec0d6401941,f3d1dc14c4564d545a7fdf6b121fb8de998fc248c9138a4699ccdd033cecca94,2026-07-20T06:28:20.914261+00:00,Production-runtime current comparator and nominal coverage-floor-only contrast,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
