country,period,n_intervals,observed_total_reported_cases,predicted_total_reported_cases,mean_observed_reported_cases,mean_predicted_reported_cases,mean_absolute_percentage_error,peak_observed_year,peak_predicted_year,peak_timing_error_years,observed_peak_reported_cases,predicted_peak_reported_cases,peak_magnitude_ratio
Australia,overall,65,88963.0,88121.47825665052,1368.6615384615384,1355.7150501023157,0.8019421459103441,2024,2024,0,9317.0,12711.653010404201,1.3643504358059677
Australia,pandemic_npi,12,540.0,545.7890689081298,45.0,45.482422409010816,0.7291490994168496,,,,,,
Australia,post_pandemic,53,88423.0,87575.6891877424,1668.3584905660377,1652.3714941083472,0.8184235903994371,,,,,,
China,overall,63,619421.0,567108.1433197114,9832.079365079366,9001.71656063034,0.757374681816832,2024,2024,0,97669.0,65313.83091143108,0.668726319624764
China,pandemic_npi,12,9162.0,9327.415532116374,763.5,777.2846276763645,0.5744941636231394,,,,,,
China,post_pandemic,51,610259.0,557780.727787595,11965.862745098038,10936.877015443039,0.8004053919800537,,,,,,
United_Kingdom,overall,274,34666.0,29441.91018040375,126.51824817518248,107.4522269357801,1.2475818242355377,2024,2024,0,1880.0,740.3302094767071,0.39379266461526974
United_Kingdom,pre_pandemic,1,85.0,29.422897224235747,85.0,29.422897224235747,0.6538482679501677,,,,,,
United_Kingdom,pandemic_npi,104,1812.0,1882.172534987974,17.423076923076923,18.097812836422825,1.74188529286888,,,,,,
United_Kingdom,post_pandemic,169,32769.0,27530.31474819153,193.89940828402368,162.90127069935815,0.9373244860236996,,,,,,
Japan,overall,276,82325.0,71333.28064970233,298.2789855072464,258.4539153974722,0.9825924021954955,2025,2025,0,3908.0,3062.7478213387467,0.7837123391347868
Japan,pandemic_npi,52,563.0,571.7604934337161,10.826923076923077,10.99539410449454,1.1013501146638403,,,,,,
Japan,post_pandemic,224,81762.0,70761.52015626861,365.00892857142856,315.8996435547706,0.9550236475153442,,,,,,
New_Zealand,overall,64,5324.0,5296.424491869289,83.1875,82.75663268545765,1.1678922363943487,2024,2025,1,582.0,405.25335561437214,0.6963116075848319
New_Zealand,pandemic_npi,12,62.0,54.22983170952699,5.166666666666667,4.519152642460583,1.6841993229312948,,,,,,
New_Zealand,post_pandemic,52,5262.0,5242.194660159763,101.1923076923077,100.81143577230313,1.0519865639064627,,,,,,
Sweden,overall,64,3562.0,3312.8285304689225,55.65625,51.762945788576914,0.5895359475590669,2024,2024,0,495.0,582.1444168309222,1.1760493269311558
Sweden,pandemic_npi,12,11.0,11.043940052004558,0.9166666666666666,0.9203283376670465,0.3349432279471142,,,,,,
Sweden,post_pandemic,52,3551.0,3301.784590416918,68.28846153846153,63.49585750801766,0.6380297989137246,,,,,,
United_States,overall,278,25679.0,25579.23494104421,92.37050359712231,92.01163647857629,0.9501107042921593,2024,2024,0,577.0,424.4402366453851,0.7355983304079464
United_States,pandemic_npi,51,510.0,514.4009115899348,10.0,10.08629238411637,2.3804928449155223,,,,,,
United_States,post_pandemic,227,25169.0,25064.83402945428,110.87665198237886,110.41777105486467,0.6287473158701701,,,,,,
Brazil,overall,64,11275.0,10589.936982517107,176.171875,165.4677653518298,0.852915397414034,2024,2024,0,1609.0,2026.509117678333,1.2594836032805052
Brazil,pandemic_npi,12,159.0,162.170541489852,13.25,13.514211790821001,0.3358888521968412,,,,,,
Brazil,post_pandemic,52,11116.0,10427.766441027254,213.76923076923077,200.5339700197549,0.9722292155410783,,,,,,
Thailand,overall,72,1982.0,1961.7368228821904,27.52777777777778,27.246344762252644,1.2085729661981013,2024,2024,0,332.0,181.65179257537463,0.547143953540285
Thailand,pandemic_npi,24,30.0,29.765607215540683,1.25,1.2402336339808617,0.4702712628305459,,,,,,
Thailand,post_pandemic,48,1952.0,1931.9712156666499,40.666666666666664,40.24940032638854,1.4370949220023446,,,,,,
