country,scenario,mechanism_label,mechanism_axis_label,metric,mechanism_y,mechanism_y_metric,reduction_vs_baseline,median_reduction_vs_baseline,q25_reduction_vs_baseline,q75_reduction_vs_baseline,resistant_infections_per_100k,baseline_resistant_infections_per_100k,child_adolescent_cases_per_100k,baseline_child_adolescent_cases_per_100k,end_resistant_fraction,resistant_importation,treatment_differential,pep_differential,fitness_R,interpretation
Australia,no_resistant_importation,Remove further resistant importation,"Remove further
resistant importation",Resistant infections,1,1.18,0.20035469561509067,0.01754215414123317,-0.08448648263685943,0.10447109674778432,1515.2262748248027,1894.8729724491052,1065.3858522433711,1082.0060289049727,0.9996609277603692,no,yes,yes,1,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.
Australia,no_resistant_importation,Remove further resistant importation,"Remove further
resistant importation",Cases aged <18 years,1,0.8200000000000001,0.015360521307281272,-0.014008624361566469,-0.09030322123636969,0.01439029596632968,1515.2262748248027,1894.8729724491052,1065.3858522433711,1082.0060289049727,0.9996609277603692,no,yes,yes,1,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.
Australia,equal_treatment_effect,Equalise treatment benefit,"Equalise treatment
benefit",Resistant infections,2,2.18,0.033617292323112724,-0.00854661164432935,-0.02329595589412503,0.021433640240093532,1831.172473819118,1894.8729724491052,1038.5639593748726,1082.0060289049727,0.999663176407897,yes,no,yes,1,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.
Australia,equal_treatment_effect,Equalise treatment benefit,"Equalise treatment
benefit",Cases aged <18 years,2,1.82,0.040149563282992906,6.187263607371207e-5,-0.009611025572708876,0.01632892862256563,1831.172473819118,1894.8729724491052,1038.5639593748726,1082.0060289049727,0.999663176407897,yes,no,yes,1,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.
Australia,equal_pep_effect,Equalise resistant-strain PEP effectiveness,"Equalise resistant-strain
PEP effectiveness",Resistant infections,3,3.18,0.8722891562966489,0.9698751457522258,0.858280433865626,0.9901909681867278,241.995826022152,1894.8729724491052,904.2208467832312,1082.0060289049727,0.25582006801386503,yes,yes,no,1,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.
Australia,equal_pep_effect,Equalise resistant-strain PEP effectiveness,"Equalise resistant-strain
PEP effectiveness",Cases aged <18 years,3,2.82,0.16431071303887856,0.16431071303887856,0.14215289972238176,0.30218799086811476,241.995826022152,1894.8729724491052,904.2208467832312,1082.0060289049727,0.25582006801386503,yes,yes,no,1,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.
Australia,no_treatment_or_pep_differential,Equalise treatment and PEP effects,"Equalise treatment
and PEP effects",Resistant infections,4,4.18,0.9601533296093643,0.9906354224847147,0.8849770871179714,0.99236614390735145,75.50437876530366,1894.8729724491052,902.6778209137428,1082.0060289049727,0.04300000000000001,yes,no,no,1,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.
Australia,no_treatment_or_pep_differential,Equalise treatment and PEP effects,"Equalise treatment
and PEP effects",Cases aged <18 years,4,3.82,0.1657367918483007,0.1657367918483007,0.14251598854398473,0.3024461061595871,75.50437876530366,1894.8729724491052,902.6778209137428,1082.0060289049727,0.04300000000000001,yes,no,no,1,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.
Australia,fitness_cost,Add resistant-strain fitness cost,"Add resistant-strain
fitness cost",Resistant infections,5,5.18,0.33904548616097463,0.4169485323151928,0.30383093533234806,0.699480191178295,1252.4248442918072,1894.8729724491052,962.0586742801,1082.0060289049727,0.998815861537906,yes,yes,yes,0.85,Fitness-cost stress test retaining baseline importation and management assumptions.
Australia,fitness_cost,Add resistant-strain fitness cost,"Add resistant-strain
fitness cost",Cases aged <18 years,5,4.82,0.11085645682239265,0.11085645682239265,0.03865101881148447,0.20019117390191699,1252.4248442918072,1894.8729724491052,962.0586742801,1082.0060289049727,0.998815861537906,yes,yes,yes,0.85,Fitness-cost stress test retaining baseline importation and management assumptions.
China,no_resistant_importation,Remove further resistant importation,"Remove further
resistant importation",Resistant infections,1,1.18,-0.37665638617408237,0.01754215414123317,-0.08448648263685943,0.10447109674778432,2053.529544643399,1491.6790894715857,1163.438055613644,893.1076641497875,0.9996571741769196,no,yes,yes,1,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.
China,no_resistant_importation,Remove further resistant importation,"Remove further
resistant importation",Cases aged <18 years,1,0.8200000000000001,-0.30268510988672714,-0.014008624361566469,-0.09030322123636969,0.01439029596632968,2053.529544643399,1491.6790894715857,1163.438055613644,893.1076641497875,0.9996571741769196,no,yes,yes,1,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.
