strategy,infant_contact_multiplier,median_infant_cases_per_100k,iqr_infant_cases_per_100k,median_all_infections_per_100k,countries,interpretation
current,0.75,1725.1309491944332,477.4-3359,1813.0666965764801,9,Multiplier applied to contact-matrix entries from child/adolescent/adult sources into infant target age groups.
current,1.0,1977.1008219855341,512.5-3772,1821.2413563887649,9,Multiplier applied to contact-matrix entries from child/adolescent/adult sources into infant target age groups.
current,1.25,2236.633791463035,547.8-4185,1829.6552201848913,9,Multiplier applied to contact-matrix entries from child/adolescent/adult sources into infant target age groups.
current,1.5,2360.884545825066,583.5-4595,1838.299334145257,9,Multiplier applied to contact-matrix entries from child/adolescent/adult sources into infant target age groups.
maternal_immunization,0.75,1290.6287079931753,397.8-1769,1809.1929474789033,9,Multiplier applied to contact-matrix entries from child/adolescent/adult sources into infant target age groups.
maternal_immunization,1.0,1432.383160723491,453-2147,1817.2741273258196,9,Multiplier applied to contact-matrix entries from child/adolescent/adult sources into infant target age groups.
maternal_immunization,1.25,1766.6774523491708,507.9-2768,1825.0014622232948,9,Multiplier applied to contact-matrix entries from child/adolescent/adult sources into infant target age groups.
maternal_immunization,1.5,2114.158553539663,562.4-3416,1832.3950065046258,9,Multiplier applied to contact-matrix entries from child/adolescent/adult sources into infant target age groups.
