optimization_constraint,strategy,strategy_label,lancet_strategy_role,primary_case_metric,countries_ranked_first_for_primary_cases,countries_non_dominated,median_primary_case_reduction,iqr_primary_case_reduction,median_primary_cases_per_100k,metric_availability_note
future_product_target,combined_strategy,Combined future stress-test profile,Exploratory combined stress test,child_adolescent_0_17y,8,8,0.9795141130588887,0.7342 to 0.9943,9.07801918514874,Primary Lancet metric generated from model age groups <18 years.
future_product_target,next_generation_vaccine,High-transmission-blocking vaccine target,Future child/adolescent high-blocking target,child_adolescent_0_17y,2,10,0.9527224161469994,0.5628 to 0.9936,15.036237440706124,Primary Lancet metric generated from model age groups <18 years.
future_product_target,transmission_blocking_vaccine,Transmission-blocking vaccine target,Future child/adolescent transmission-blocking target,child_adolescent_0_17y,0,0,0.7076838048155643,0.3484 to 0.7482,111.57345715084668,Primary Lancet metric generated from model age groups <18 years.
future_product_target,resistance_guided_treatment,Resistance-guided management,Resistance-aware clinical management lever,child_adolescent_0_17y,0,10,0.5204529334517853,0.2382 to 0.5763,182.12074608121435,Primary Lancet metric generated from model age groups <18 years.
future_product_target,maternal_immunization,Infant-exposure package,High-intensity infant-exposure pathway package,child_adolescent_0_17y,0,0,0.09724762145123839,0.086 to 0.187,333.5418302393071,Primary Lancet metric generated from model age groups <18 years.
future_product_target,timeliness_only,Routine timeliness,Routine child-immunisation delivery,child_adolescent_0_17y,0,6,0.0877225637533674,0.0324 to 0.109,346.2159984632391,Primary Lancet metric generated from model age groups <18 years.
future_product_target,cocooning_adjunct,Close-contact adult adjunct,Household and close-contact exposure lever,child_adolescent_0_17y,0,0,0.08312664398651437,0.07546 to 0.176,338.08218639719917,Primary Lancet metric generated from model age groups <18 years.
future_product_target,targeted_pep_high_risk,Targeted high-risk PEP,Clinical and outbreak management lever,child_adolescent_0_17y,0,7,0.05325385760281759,0.04412 to 0.0828,349.11810560626657,Primary Lancet metric generated from model age groups <18 years.
future_product_target,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,Direct infant protection within child-health frame,child_adolescent_0_17y,0,0,0.014499081418826387,0.01222 to 0.01593,368.2222338288459,Primary Lancet metric generated from model age groups <18 years.
future_product_target,adolescent_booster,Adolescent booster,Adolescent transmission lever,child_adolescent_0_17y,0,3,0.011567559727534371,-0.0004864 to 0.06177,368.61599118880997,Primary Lancet metric generated from model age groups <18 years.
future_product_target,current,Current practice,Comparator,child_adolescent_0_17y,0,10,0.0,0 to 0,372.61097599207517,Primary Lancet metric generated from model age groups <18 years.
future_product_target,higher_child_coverage,Nominal coverage floor,Routine child-immunisation delivery,child_adolescent_0_17y,0,0,-0.0072699524321750975,-0.01494 to -0.005983,376.74161763887537,Primary Lancet metric generated from model age groups <18 years.
