country,scenario,age_group,infant_cases,infant_infections,mean_infant_age_population,analysis_years,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,current_infant_cases_per_100k,relative_reduction_infant_cases
Australia,adolescent_booster,infant_0_2m,55779.10066109408,87316.32415926075,52442.18455021327,26.013698630136986,4088.7318437098115,6400.480302377378,4088.5394340414723,-4.706073438764946e-05
Australia,cocooning_adjunct,infant_0_2m,53390.35811765283,83571.67844121385,52442.18454844764,26.013698630136986,3913.6317151547564,6125.989462657462,4088.5394340414723,0.04278000046432762
Australia,combined_strategy,infant_0_2m,12986.842172915198,24605.5637131017,52442.1845413712,26.013698630136986,951.9643472420104,1803.6424164386826,4088.5394340414723,0.7671627331472244
Australia,current,infant_0_2m,55776.47576102386,87312.11962893327,52442.18453314028,26.013698630136986,4088.5394340414723,6400.172103058799,4088.5394340414723,0.0
Australia,higher_child_coverage,infant_0_2m,55877.78583397052,87471.52629451508,52442.18461968398,26.013698630136986,4095.9656804229166,6411.856954767351,4088.5394340414723,-0.0018163567947058201
Australia,maternal_immunization,infant_0_2m,34496.32447735037,65642.68269925257,52442.18453734862,26.013698630136986,2528.657126852326,4811.754294059803,4088.5394340414723,0.3815255624542726
Australia,next_generation_vaccine,infant_0_2m,28487.976310242007,41340.30554588414,52442.18454410736,26.013698630136986,2088.231874224958,3030.3361246505024,4088.5394340414723,0.48924746650645223
Australia,pregnancy_tdap_scaleup,infant_0_2m,36068.07609171095,68642.94317741484,52442.18454855991,26.013698630136986,2643.8700071232715,5031.680043204243,4088.5394340414723,0.35334609100007197
Australia,resistance_guided_treatment,infant_0_2m,39772.986307759755,62172.65222027013,52442.184553524785,26.013698630136986,2915.4481463185534,4557.393359017912,4088.5394340414723,0.28692184743423943
Australia,targeted_pep_high_risk,infant_0_2m,54668.40019373075,85591.0656197019,52442.184531682164,26.013698630136986,4007.3150363944815,6274.015025561175,4088.5394340414723,0.019866360336581512
Australia,adolescent_booster,infant_3_11m,154591.18236400458,365849.95192042476,246867.3900185018,26.013698630136986,2407.237214195794,5696.881320183564,2407.136941094316,-4.165658370580694e-05
Australia,cocooning_adjunct,infant_3_11m,149030.79705002403,351929.5884926657,246867.39000197832,26.013698630136986,2320.652932839097,5480.11852485915,2407.136941094316,0.03592816294693324
Australia,combined_strategy,infant_3_11m,58282.85058246243,129463.966567111,246867.389966704,26.013698630136986,907.5591812901645,2015.9654225900135,2407.136941094316,0.6229715203167561
Australia,current,infant_3_11m,154584.74283405658,365834.13230481226,246867.3899264107,26.013698630136986,2407.136941094316,5696.634985054238,2407.136941094316,0.0
Australia,higher_child_coverage,infant_3_11m,154810.61730287064,366408.157106284,246867.39030218142,26.013698630136986,2410.6541718425283,5705.573480127305,2407.136941094316,-0.0014611677001696854
Australia,maternal_immunization,infant_3_11m,148428.34398498407,349695.0133256835,246867.3899534096,26.013698630136986,2311.271755041018,5445.322540687453,2407.136941094316,0.03982539772320415
Australia,next_generation_vaccine,infant_3_11m,74544.65183837646,144612.76642363128,246867.38999545848,26.013698630136986,1160.7819883208401,2251.856979756952,2407.136941094316,0.517774843423269
Australia,pregnancy_tdap_scaleup,infant_3_11m,154122.2554432674,363863.413651596,246867.39000411562,26.013698630136986,2399.935256248036,5665.947674913647,2407.136941094316,0.0029918052119654037
Australia,resistance_guided_treatment,infant_3_11m,116152.53938657559,270595.4787477553,246867.39003013168,26.013698630136986,1808.684758378817,4213.613586771478,2407.136941094316,0.2486157611138795
Australia,targeted_pep_high_risk,infant_3_11m,151643.00150929898,358774.1673505288,246867.38992841708,26.013698630136986,2361.329223675943,5586.6997990860555,2407.136941094316,0.019029959050667178
Brazil,adolescent_booster,infant_0_2m,85925.42562180712,134627.90094541607,371993.5256390012,26.013698630136986,887.9411972754027,1391.2256900338054,892.8015718170788,0.005443958316273978
Brazil,cocooning_adjunct,infant_0_2m,65936.1583160904,103296.48014989066,371993.5263656955,26.013698630136986,681.374934379118,1067.4512161644989,892.8015718170788,0.2368125730420183
Brazil,combined_strategy,infant_0_2m,294.67697999026274,557.6567765102267,371993.52623650746,26.013698630136986,3.0451502347329544,5.762746258451043,892.8015718170788,0.9965892194516018
Brazil,current,infant_0_2m,86395.76070718752,135370.71530573536,371993.52635500755,26.013698630136986,892.8015718170788,1398.9018258960496,892.8015718170788,0.0
Brazil,higher_child_coverage,infant_0_2m,87067.23988588424,136424.0815773341,371993.52615884313,26.013698630136986,899.7405431539509,1409.7871647079708,892.8015718170788,-0.00777213163138768
Brazil,maternal_immunization,infant_0_2m,42793.396762105316,81060.08706958622,371993.52556165366,26.013698630136986,442.22091062511294,837.6634768803011,892.8015718170788,0.5046817517076267
Brazil,next_generation_vaccine,infant_0_2m,2453.6650819519145,3561.0861575808344,371993.52630030824,26.013698630136986,25.355827928015735,36.799760697832646,892.8015718170788,0.9715997050986255
Brazil,pregnancy_tdap_scaleup,infant_0_2m,56144.327964454766,106389.23659911312,371993.52628055995,26.013698630136986,580.1875445624777,1099.4113241393638,892.8015718170788,0.3501495036779022
Brazil,resistance_guided_treatment,infant_0_2m,33336.4757556601,52207.936212762324,371993.52642166545,26.013698630136986,344.49442547342466,539.5094287288325,892.8015718170788,0.6141422278499233
Brazil,targeted_pep_high_risk,infant_0_2m,79268.15416824498,124191.71744586053,371993.5259202606,26.013698630136986,819.1458948896021,1283.3796446066328,892.8015718170788,0.08249949289131353
Brazil,adolescent_booster,infant_3_11m,265157.9066173852,601883.5214295405,1759341.122753033,26.013698630136986,579.3652235168394,1315.1045932313327,581.4770139151359,0.0036317693524592354
Brazil,cocooning_adjunct,infant_3_11m,204909.46880681824,464177.7089889005,1759341.125734463,26.013698630136986,447.7234773394962,1014.2198854066622,581.4770139151359,0.23002377286604225
Brazil,combined_strategy,infant_3_11m,1392.3177089888845,3020.439134469619,1759341.125388906,26.013698630136986,3.0421889724383497,6.599604793849582,581.4770139151359,0.994768169850851
Brazil,current,infant_3_11m,266124.40955775994,604406.9331481905,1759341.1258436583,26.013698630136986,581.4770139151359,1320.6181998135582,581.4770139151359,0.0
Brazil,higher_child_coverage,infant_3_11m,268072.9381860263,608909.9724718821,1759341.1250170292,26.013698630136986,585.7345139445956,1330.4572597862712,581.4770139151359,-0.007321871591782436
Brazil,maternal_immunization,infant_3_11m,203324.51368632383,460365.41395488934,1759341.1223638374,26.013698630136986,444.2603799643409,1005.8900917454745,581.4770139151359,0.235979463791532
Brazil,next_generation_vaccine,infant_3_11m,7176.073740932056,13546.749385265399,1759341.1256083364,26.013698630136986,15.679591128090275,29.599402005041473,581.4770139151359,0.9730348908849926
