country,strategy,strategy_label,burden_rank,reference_leader,deterministic_primary_cases_per_100k,current_practice_cases_per_100k,deterministic_absolute_reduction_per_100k,deterministic_relative_reduction,bootstrap_relative_reduction_median,bootstrap_relative_reduction_q025,bootstrap_relative_reduction_q25,bootstrap_relative_reduction_q75,bootstrap_relative_reduction_q975,bootstrap_absolute_reduction_median,bootstrap_absolute_reduction_q025,bootstrap_absolute_reduction_q25,bootstrap_absolute_reduction_q75,bootstrap_absolute_reduction_q975,successful_bootstrap_replicates,confidence_interval_type,confidence_interval_method,figure2_parent_bundle_sha256
Australia,adolescent_booster,Adolescent booster,6,FALSE,1082.7693257918131,1082.7605742452402,-0.008751546572966618,-8.082623971672476e-6,-1.9073564444527236e-6,-3.512673885145735e-4,-1.0155253527766027e-5,-5.736770032904737e-7,0.1629102940657366,-0.002942467363709511,-0.24714600452037272,-0.012122518711919383,-0.0010073819682929752,5.1806345599500645,1024,paired full-refit parametric-bootstrap 95% estimation confidence interval,percentile_parametric_bootstrap,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,cocooning_adjunct,Close-contact adult adjunct,5,FALSE,1078.4574025860957,1082.7605742452402,4.303171659144482,0.003974259648439893,0.00381182183983286,0.0010599190854753574,0.0035850685678427926,0.004394948792636237,0.7355322978322205,6.277878052601295,0.08514901040265489,5.513866959254756,7.021139658425227,32.65615833578637,1024,paired full-refit parametric-bootstrap 95% estimation confidence interval,percentile_parametric_bootstrap,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,maternal_immunization,Infant-exposure package,2,FALSE,1057.720122037855,1082.7605742452402,25.040452207385215,0.023126490567723312,0.03316010125856672,0.011670354432732573,0.02769652256413327,0.03975508686453821,0.7470900540221199,46.75004837854692,3.4530212072887614,27.76080274992669,61.286663434900504,96.04811644724482,1024,paired full-refit parametric-bootstrap 95% estimation confidence interval,percentile_parametric_bootstrap,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,3,FALSE,1061.4069335491092,1082.7605742452402,21.353640696130924,0.019721479710337553,0.027003365245162225,0.009728940602591992,0.019003040052252944,0.032434922133782074,0.047675441738638136,40.877871682954606,0.818260757901236,18.309005393247418,55.59983441457217,89.92942023576639,1024,paired full-refit parametric-bootstrap 95% estimation confidence interval,percentile_parametric_bootstrap,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,targeted_pep_high_risk,Targeted high-risk PEP,4,FALSE,1072.3404146262285,1082.7605742452402,10.420159619011656,0.009623696934361714,0.007763997403199385,7.530907679994392e-5,0.006707603096157195,0.011722362374724538,0.2728768495293974,12.310314372671314,0.014025005978785816,10.268405885379991,14.447864648169457,29.17626666846442,1024,paired full-refit parametric-bootstrap 95% estimation confidence interval,percentile_parametric_bootstrap,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,timeliness_only,Routine timeliness,1,TRUE,924.7515961765624,1082.7605742452402,158.00897806867772,0.14593159543033885,0.16099775134522354,0.10441847853394051,0.14985967252702803,0.17110554375906034,0.8674022076652661,243.42976076629918,23.44222958149502,156.01389208971977,278.24005493165885,337.4421576436008,1024,paired full-refit parametric-bootstrap 95% estimation confidence interval,percentile_parametric_bootstrap,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Brazil,adolescent_booster,Adolescent booster,4,FALSE,436.2514194771291,463.0459889372213,26.79456946009219,0.05786589259004449,1.0507472935628037e-6,-1.7832240661109177e-4,-3.7426952089747445e-6,0.137056746051807,0.6716993194847587,0.0018528860391597846,-0.18152086923679744,-0.006331119647597916,7.548502897326908,63.13635077732938,1024,paired full-refit parametric-bootstrap 95% estimation confidence interval,percentile_parametric_bootstrap,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Brazil,cocooning_adjunct,Close-contact adult adjunct,3,FALSE,410.86146626320584,463.0459889372213,52.184522674015454,0.1126983580913612,0.00370193763477932,0.0026155186554546357,0.0029341181442184474,0.1312855636103231,0.7438324246551609,4.919396220257568,0.021829401034015827,4.207363609340234,18.520097837048226,72.49651181868771,1024,paired full-refit parametric-bootstrap 95% estimation confidence interval,percentile_parametric_bootstrap,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Brazil,maternal_immunization,Infant-exposure package,2,FALSE,406.4975247891307,463.0459889372213,56.5484641480906,0.12212278153597678,0.04418962682167532,0.01979935645925101,0.03268421011631223,0.14133834788651184,0.7518279481658929,47.65670894320209,0.028251184780529116,24.64639515770555,61.509049900996374,95.42069755632843,1024,paired full-refit parametric-bootstrap 95% estimation confidence interval,percentile_parametric_bootstrap,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Brazil,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,5,FALSE,457.8188752036818,463.0459889372213,5.227113733539511,0.011288541221438408,0.023889983530332944,0.00919476692668359,0.013432418152091341,0.03235030177215692,0.05285928595738135,22.684565056981,0.006469720115989359,1.7417473554373224,49.87301673583886,74.89198731941742,1024,paired full-refit parametric-bootstrap 95% estimation confidence interval,percentile_parametric_bootstrap,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
