country,configured_lever,configured_lever_label,deterministic_primary_cases_per_100k,current_practice_cases_per_100k,deterministic_relative_reduction,deterministic_relative_reduction_percent,coverage_floor_applied,timeliness_applied,parent_artifact
Australia,coverage_floor_only,Coverage floor only,1085.4701558044098,1082.7605742452402,-0.002502475268882476,-0.2502475268882476,TRUE,FALSE,intervention_scenarios_summary.csv
China,coverage_floor_only,Coverage floor only,292.44486536702516,290.46682174168603,-0.006809878021449833,-0.6809878021449833,TRUE,FALSE,intervention_scenarios_summary.csv
United_Kingdom,coverage_floor_only,Coverage floor only,955.3074128785688,929.9165197242646,-0.027304486602553357,-2.7304486602553357,TRUE,FALSE,intervention_scenarios_summary.csv
Japan,coverage_floor_only,Coverage floor only,1053.221297158484,1046.7973968173212,-0.0061367179176161635,-0.6136717917616163,TRUE,FALSE,intervention_scenarios_summary.csv
New_Zealand,coverage_floor_only,Coverage floor only,1299.9650445615175,1293.970939459668,-0.004632333632123453,-0.4632333632123453,TRUE,FALSE,intervention_scenarios_summary.csv
Sweden,coverage_floor_only,Coverage floor only,167.9668152978149,175.13417958163066,0.04092498849132442,4.092498849132442,TRUE,FALSE,intervention_scenarios_summary.csv
United_States,coverage_floor_only,Coverage floor only,717.6220557397874,714.0526318644839,-0.00499882461882839,-0.499882461882839,TRUE,FALSE,intervention_scenarios_summary.csv
Brazil,coverage_floor_only,Coverage floor only,458.7261817893244,463.0459889372213,0.009329110393141882,0.9329110393141882,TRUE,FALSE,intervention_scenarios_summary.csv
Thailand,coverage_floor_only,Coverage floor only,481.5993020108805,500.4745580513394,0.03771471643624025,3.7714716436240248,TRUE,FALSE,intervention_scenarios_summary.csv
Australia,timeliness_only,Timeliness only,924.7515961765624,1082.7605742452402,0.14593159543033885,14.593159543033885,FALSE,TRUE,figure2_programme_reference_summary.csv
Brazil,timeliness_only,Timeliness only,358.4527500983109,463.0459889372213,0.2258808872936613,22.588088729366127,FALSE,TRUE,figure2_programme_reference_summary.csv
China,timeliness_only,Timeliness only,283.00857412676214,290.46682174168603,0.02567676256518059,2.567676256518059,FALSE,TRUE,figure2_programme_reference_summary.csv
Japan,timeliness_only,Timeliness only,972.417267421913,1046.7973968173212,0.07105494303057425,7.105494303057425,FALSE,TRUE,figure2_programme_reference_summary.csv
New_Zealand,timeliness_only,Timeliness only,1032.916832789019,1293.970939459668,0.2017464988662412,20.174649886624117,FALSE,TRUE,figure2_programme_reference_summary.csv
Sweden,timeliness_only,Timeliness only,148.17757340456384,175.13417958163066,0.15391973309528795,15.391973309528794,FALSE,TRUE,figure2_programme_reference_summary.csv
Thailand,timeliness_only,Timeliness only,367.9158914417158,500.4745580513394,0.26486594468609437,26.486594468609436,FALSE,TRUE,figure2_programme_reference_summary.csv
United_Kingdom,timeliness_only,Timeliness only,679.1120982064097,929.9165197242646,0.2697063835280855,26.97063835280855,FALSE,TRUE,figure2_programme_reference_summary.csv
United_States,timeliness_only,Timeliness only,609.3439658269568,714.0526318644839,0.14663998333584904,14.663998333584905,FALSE,TRUE,figure2_programme_reference_summary.csv
