country,starting_resistant_fraction,resistance_label,comparator,comparator_label,infectiousness_reduction,comparator_infant_cases_per_100k,minimum_infectiousness_reduction,reached_comparator,matched_comparator,profiles_matching_comparator,countries_evaluated
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,2349.3599578779804,0,TRUE,TRUE,7,10
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,443.9044201949483,0,TRUE,TRUE,7,10
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,136.61782256582717,0,TRUE,TRUE,7,10
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,409.08586422758,0,TRUE,TRUE,7,10
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,1856.8067757040728,0.1,TRUE,FALSE,7,10
South_Africa,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,446.8609464901695,0,TRUE,TRUE,7,10
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,631.6894026188705,0,TRUE,TRUE,7,10
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,320.55585395061684,0,TRUE,TRUE,7,10
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,1894.3039339755435,0.15,TRUE,FALSE,7,10
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,60.13902205834603,0.4,TRUE,FALSE,7,10
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,2349.3599578779804,0,TRUE,TRUE,7,10
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,443.9044201949483,0,TRUE,TRUE,7,10
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,136.61782256582717,0,TRUE,TRUE,7,10
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,409.08586422758,0,TRUE,TRUE,7,10
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,1856.8067757040728,0.1,TRUE,FALSE,7,10
South_Africa,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,446.8609464901695,0,TRUE,TRUE,7,10
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,631.6894026188705,0,TRUE,TRUE,7,10
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,320.55585395061684,0,TRUE,TRUE,7,10
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,1894.3039339755435,0.15,TRUE,FALSE,7,10
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,60.13902205834603,0.4,TRUE,FALSE,7,10
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,2349.3599578779804,0,TRUE,TRUE,8,10
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,443.9044201949483,0,TRUE,TRUE,8,10
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,136.61782256582717,0,TRUE,TRUE,8,10
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,409.08586422758,0,TRUE,TRUE,8,10
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,1856.8067757040728,0.1,TRUE,TRUE,8,10
South_Africa,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,446.8609464901695,0,TRUE,TRUE,8,10
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,631.6894026188705,0,TRUE,TRUE,8,10
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,320.55585395061684,0,TRUE,TRUE,8,10
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,1894.3039339755435,0.15,TRUE,FALSE,8,10
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,60.13902205834603,0.4,TRUE,FALSE,8,10
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,2349.3599578779804,0,TRUE,TRUE,9,10
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,443.9044201949483,0,TRUE,TRUE,9,10
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,136.61782256582717,0,TRUE,TRUE,9,10
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,409.08586422758,0,TRUE,TRUE,9,10
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,1856.8067757040728,0.1,TRUE,TRUE,9,10
South_Africa,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,446.8609464901695,0,TRUE,TRUE,9,10
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,631.6894026188705,0,TRUE,TRUE,9,10
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,320.55585395061684,0,TRUE,TRUE,9,10
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,1894.3039339755435,0.15,TRUE,TRUE,9,10
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,60.13902205834603,0.4,TRUE,FALSE,9,10
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,2349.3599578779804,0,TRUE,TRUE,9,10
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,443.9044201949483,0,TRUE,TRUE,9,10
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,136.61782256582717,0,TRUE,TRUE,9,10
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,409.08586422758,0,TRUE,TRUE,9,10
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,1856.8067757040728,0.1,TRUE,TRUE,9,10
South_Africa,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,446.8609464901695,0,TRUE,TRUE,9,10
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,631.6894026188705,0,TRUE,TRUE,9,10
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,320.55585395061684,0,TRUE,TRUE,9,10
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,1894.3039339755435,0.15,TRUE,TRUE,9,10
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,60.13902205834603,0.4,TRUE,FALSE,9,10
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,2349.3599578779804,0,TRUE,TRUE,9,10
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,443.9044201949483,0,TRUE,TRUE,9,10
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,136.61782256582717,0,TRUE,TRUE,9,10
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,409.08586422758,0,TRUE,TRUE,9,10
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,1856.8067757040728,0.1,TRUE,TRUE,9,10
South_Africa,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,446.8609464901695,0,TRUE,TRUE,9,10
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,631.6894026188705,0,TRUE,TRUE,9,10
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,320.55585395061684,0,TRUE,TRUE,9,10
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,1894.3039339755435,0.15,TRUE,TRUE,9,10
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,60.13902205834603,0.4,TRUE,FALSE,9,10
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,2349.3599578779804,0,TRUE,TRUE,9,10
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,443.9044201949483,0,TRUE,TRUE,9,10
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,136.61782256582717,0,TRUE,TRUE,9,10
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,409.08586422758,0,TRUE,TRUE,9,10
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,1856.8067757040728,0.1,TRUE,TRUE,9,10
South_Africa,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,446.8609464901695,0,TRUE,TRUE,9,10
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,631.6894026188705,0,TRUE,TRUE,9,10
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,320.55585395061684,0,TRUE,TRUE,9,10
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,1894.3039339755435,0.15,TRUE,TRUE,9,10
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,60.13902205834603,0.4,TRUE,FALSE,9,10
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,2349.3599578779804,0,TRUE,TRUE,9,10
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,443.9044201949483,0,TRUE,TRUE,9,10
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,136.61782256582717,0,TRUE,TRUE,9,10
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,409.08586422758,0,TRUE,TRUE,9,10
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,1856.8067757040728,0.1,TRUE,TRUE,9,10
South_Africa,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,446.8609464901695,0,TRUE,TRUE,9,10
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,631.6894026188705,0,TRUE,TRUE,9,10
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,320.55585395061684,0,TRUE,TRUE,9,10
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,1894.3039339755435,0.15,TRUE,TRUE,9,10
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,60.13902205834603,0.4,TRUE,FALSE,9,10
