optimization_constraint,country,strategy,strategy_label,decision_domain,implementation_intensity,annualized_infant_cases_per_100k,annualized_resistant_infections_per_100k,relative_reduction_infant_cases,relative_reduction_resistant_infections,relative_reduction_total_infections,relative_reduction_reported_cases,non_dominated_outcome,infant_case_rank_within_constraint
future_product_target,Australia,current,Current practice,Comparator,0.0,4065.367487543684,1895.2763586016572,0.0,0.0,0.0,0.0,True,11.0
future_product_target,Australia,adolescent_booster,Adolescent booster,Program-only,1.0,4065.365292571422,1895.2755254161418,5.399197658961796e-07,4.396116226601521e-07,2.7381948031202086e-07,-1.8520335856031522e-06,False,10.0
future_product_target,Australia,higher_child_coverage,Nominal coverage floor,Program-only,1.0,4072.423001860046,1894.551547487454,-0.0017355169829000872,0.00038243030411566625,0.00036845682360076015,-0.002320438128708302,False,12.0
future_product_target,Australia,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,Program-only,1.0,3638.0265945447727,1893.4661265972825,0.10511740803464553,0.0009551282567099584,0.0006451855047427957,0.041952391434894154,False,7.0
future_product_target,Australia,targeted_pep_high_risk,Targeted high-risk PEP,Program-only,1.0,3991.155555202178,1907.680593902867,0.018254667645395295,-0.006544816139827603,0.007981449951413921,0.012784564137614085,False,9.0
future_product_target,Australia,timeliness_only,Routine timeliness,Program-only,1.0,3006.2024819822805,1844.4452884458717,0.26053364395880396,0.02681987242920547,0.022883387411015033,0.1625689193963209,True,4.0
future_product_target,Australia,cocooning_adjunct,Close-contact adult adjunct,Program-only,2.0,3967.7361222604136,1894.6715460385635,0.02401538497624478,0.00031911576396170815,0.0003233509318755212,0.00838193929111708,False,8.0
future_product_target,Australia,resistance_guided_treatment,Resistance-guided management,Resistance management,2.0,3208.34048166002,1500.8956595405327,0.21081169377912357,0.20808611750536488,0.06682839578575406,0.144474183108656,True,5.0
future_product_target,Australia,maternal_immunization,Infant-exposure reduction,Program-only composite,3.0,3553.904411451528,1892.708524889019,0.12580980136710462,0.0013548597812579333,0.0010453133220414967,0.04908667904280506,False,6.0
future_product_target,Australia,next_generation_vaccine,High-transmission-blocking vaccine target,Future product target,4.0,1917.4659739229744,1430.0601331397502,0.5283412926880278,0.2454608919435609,0.2512600944395641,0.41039642331202464,True,2.0
future_product_target,Australia,transmission_blocking_vaccine,Transmission-blocking vaccine target,Future product target,4.0,2839.496374759104,1781.597973323518,0.3015400493413346,0.05997984661298239,0.06687710801043367,0.18771892494386722,False,3.0
future_product_target,Australia,combined_strategy,Combined future stress-test profile,Future stress test,5.0,1475.9949584327733,1331.1722436017515,0.636934431400056,0.2976368656949344,0.2917815123900863,0.4766310635876715,True,1.0
future_product_target,Brazil,current,Current practice,Comparator,0.0,796.6601123252367,926.9499239748221,0.0,0.0,0.0,0.0,True,11.0
future_product_target,Brazil,adolescent_booster,Adolescent booster,Program-only,1.0,781.1883308344736,931.7754754629539,0.019420806001702706,-0.0052058383773736505,0.019830277478995684,0.03053936712911176,False,9.0
future_product_target,Brazil,higher_child_coverage,Nominal coverage floor,Program-only,1.0,795.9225899542923,936.8279079333564,0.0009257679147406384,-0.010656437530278673,-0.0003469353217331328,0.005293220620380623,False,10.0
future_product_target,Brazil,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,Program-only,1.0,726.2245216633013,922.7510245397094,0.08841360270486354,0.004529801801059108,0.004723659122491286,0.021257274242045265,False,8.0
future_product_target,Brazil,targeted_pep_high_risk,Targeted high-risk PEP,Program-only,1.0,848.5890957287858,1326.345619546702,-0.0651833606329082,-0.430870843442378,-0.07456421350694842,-0.0674699038416795,False,12.0
future_product_target,Brazil,timeliness_only,Routine timeliness,Program-only,1.0,531.7054798535736,840.3468476088619,0.3325817727943373,0.09342799877969732,0.11916561313457552,0.21250759008225895,True,5.0
future_product_target,Brazil,cocooning_adjunct,Close-contact adult adjunct,Program-only,2.0,650.8299759971151,810.5950943951959,0.183051886333913,0.1255243962701772,0.12749091208516272,0.1518454004279527,False,7.0
future_product_target,Brazil,resistance_guided_treatment,Resistance-guided management,Resistance management,2.0,462.3531611810077,396.49208099359794,0.41963560867692606,0.572261596081249,0.36719377444343115,0.37555886262059157,True,4.0
future_product_target,Brazil,maternal_immunization,Infant-exposure reduction,Program-only composite,3.0,593.6216531325177,806.8797552773741,0.25486208742157845,0.12953252985078123,0.13157569856595952,0.16922411117553426,False,6.0
future_product_target,Brazil,next_generation_vaccine,High-transmission-blocking vaccine target,Future product target,4.0,257.7944481757101,468.66108626555973,0.6764059801823422,0.49440517319866617,0.581442150335119,0.6255461699091458,True,2.0
future_product_target,Brazil,transmission_blocking_vaccine,Transmission-blocking vaccine target,Future product target,4.0,398.6490852586616,596.5175192849423,0.4995995417730754,0.35647276745324497,0.4321300643614069,0.45498883442744065,False,3.0
future_product_target,Brazil,combined_strategy,Combined future stress-test profile,Future stress test,5.0,45.17886565272114,2.559238849200844,0.9432896602280536,0.9972390753987803,0.9373074414847724,0.9336372375772632,True,1.0
future_product_target,China,current,Current practice,Comparator,0.0,846.5985880813017,616.0797582762542,0.0,0.0,0.0,0.0,True,10.0
future_product_target,China,adolescent_booster,Adolescent booster,Program-only,1.0,853.318211826147,621.4813032949393,-0.007937201690915163,-0.00876760670371346,-0.008766195283424372,-0.006529855803597773,False,12.0
future_product_target,China,higher_child_coverage,Nominal coverage floor,Program-only,1.0,850.2819293141084,617.9792030459624,-0.004350752865244445,-0.003083115041829565,-0.003082517840713672,-0.00601775294478335,False,11.0
