country,locked_reference_strategy,locked_reference_strategy_label,prespecified_setting_count,reference_choice_retained_count,reference_choice_retained_fraction_for_arithmetic_check,positive_regret_count,regret_percentage_points_median,regret_percentage_points_q75,regret_percentage_points_q95,regret_percentage_points_q975,regret_percentage_points_max,regret_cases_per_100k_q95,interpretation
Australia,timeliness_only,Routine schedule timeliness,128,128,1,0,0,0,0,0,0,0,Selected-input deterministic design-frequency summaries of reference-choice retention and excess burden from retaining the reference choice across configured settings; non-inferential design quantities
Brazil,timeliness_only,Routine schedule timeliness,128,101,0.7890625,27,0,0,23.316436855838486,28.984857028909982,32.22469476147204,45.744218220762455,Selected-input deterministic design-frequency summaries of reference-choice retention and excess burden from retaining the reference choice across configured settings; non-inferential design quantities
China,maternal_immunization,Infant-exposure package,128,67,0.5234375,61,0,3.3347313256523923,5.574759895055847,6.210637527317588,12.095434723556775,40.15677839521857,Selected-input deterministic design-frequency summaries of reference-choice retention and excess burden from retaining the reference choice across configured settings; non-inferential design quantities
Japan,timeliness_only,Routine schedule timeliness,128,94,0.734375,34,0,0.3495713146872072,6.346252260372615,7.202158595444661,20.101190959208395,46.85239414229726,Selected-input deterministic design-frequency summaries of reference-choice retention and excess burden from retaining the reference choice across configured settings; non-inferential design quantities
New_Zealand,timeliness_only,Routine schedule timeliness,128,128,1,0,0,0,0,0,0,0,Selected-input deterministic design-frequency summaries of reference-choice retention and excess burden from retaining the reference choice across configured settings; non-inferential design quantities
Sweden,timeliness_only,Routine schedule timeliness,128,97,0.7578125,31,0,0,23.294941282259288,29.82550507682771,39.566112844071796,53.96357905650224,Selected-input deterministic design-frequency summaries of reference-choice retention and excess burden from retaining the reference choice across configured settings; non-inferential design quantities
Thailand,timeliness_only,Routine schedule timeliness,128,107,0.8359375,21,0,0,6.768911022749274,11.614861135083657,32.2618293601556,11.728696524136467,Selected-input deterministic design-frequency summaries of reference-choice retention and excess burden from retaining the reference choice across configured settings; non-inferential design quantities
United_Kingdom,timeliness_only,Routine schedule timeliness,128,127,0.9921875,1,0,0,0,0,21.985466846325792,0,Selected-input deterministic design-frequency summaries of reference-choice retention and excess burden from retaining the reference choice across configured settings; non-inferential design quantities
United_States,timeliness_only,Routine schedule timeliness,128,126,0.984375,2,0,0,0,0,6.465122081746574,0,Selected-input deterministic design-frequency summaries of reference-choice retention and excess burden from retaining the reference choice across configured settings; non-inferential design quantities
