optimization_constraint,country,strategy,mean_absolute_regret_infant_cases_per_100k,maximum_absolute_regret_infant_cases_per_100k,mean_standardized_regret_vs_current,maximum_standardized_regret_vs_current,probability_best_in_draw,probability_within_10_percent_of_best,median_infant_cases_per_100k,n_psa_samples,strategy_label
future_product_target,Australia,combined_strategy,0.8576635648655309,80.86503460768745,0.00020742803564308381,0.020628564147691594,0.9765625,1.0,1796.8089731501314,128,Combined future stress-test profile
future_product_target,Australia,next_generation_vaccine,533.8845447484537,1529.6622547518277,0.10363259265171587,0.38876109515874274,0.0234375,0.109375,2202.9659863861216,128,High-transmission-blocking vaccine target
future_product_target,Australia,transmission_blocking_vaccine,1470.7520597935843,3093.579590665331,0.2763977266385009,0.4479244461998389,0.0,0.0,3238.736936634254,128,Transmission-blocking vaccine target
future_product_target,Australia,timeliness_only,1984.9638831021962,4009.0221008845524,0.37301382569480795,0.5128606538023818,0.0,0.0,3719.7783442057307,128,Routine timeliness
future_product_target,Australia,resistance_guided_treatment,2317.2403095331365,4415.2663535380525,0.4384983363834886,0.6864525047451152,0.0,0.0,3951.4521441186093,128,Resistance-guided management
future_product_target,Australia,maternal_immunization,2770.965315524313,5861.69608782214,0.5266379237973084,0.7469089119387431,0.0,0.0,4394.913387558726,128,Infant-exposure reduction
future_product_target,Australia,pregnancy_tdap_scaleup,2862.1021132571177,5205.932501963487,0.5483374949147892,0.7541839187440509,0.0,0.0,4572.77775049845,128,Pregnancy Tdap scale-up
future_product_target,Australia,targeted_pep_high_risk,3272.2412803417983,6055.203287618195,0.6162832218638881,0.8310862436346798,0.0,0.0,5003.451973518915,128,Targeted high-risk PEP
future_product_target,Australia,cocooning_adjunct,3340.6422399628404,7004.179262685579,0.6292850953343286,0.8676670999225965,0.0,0.0,4906.960749136893,128,Close-contact adult adjunct
future_product_target,Australia,current,3443.994611623485,6273.755339176536,0.6538335029775751,0.8630287169729428,0.0,0.0,5120.714679718976,128,Current practice
future_product_target,Australia,adolescent_booster,3444.0057360549977,6273.755039464819,0.6538392577019064,0.8632729157587564,0.0,0.0,5120.718714235249,128,Adolescent booster
future_product_target,Australia,higher_child_coverage,3450.2540945489304,6275.758622598511,0.6558061161181833,0.8867622553904562,0.0,0.0,5128.698923846175,128,Nominal coverage floor
future_product_target,Brazil,combined_strategy,0.08400362561621577,10.752464078875619,2.8202742235323352e-05,0.003609951006121389,0.9921875,1.0,93.1863740781163,128,Combined future stress-test profile
future_product_target,Brazil,next_generation_vaccine,138.54521037878857,515.8908248718022,0.13347088448698866,0.5924889696917518,0.0078125,0.046875,310.36192489511683,128,High-transmission-blocking vaccine target
future_product_target,Brazil,transmission_blocking_vaccine,341.163212740161,1041.0707426375789,0.33106655881154584,0.7467781362222861,0.0,0.0,469.26578901373364,128,Transmission-blocking vaccine target
future_product_target,Brazil,resistance_guided_treatment,515.8396338491033,1467.5036629399465,0.519981207508548,0.9262171888823125,0.0,0.0,612.6038918569145,128,Resistance-guided management
future_product_target,Brazil,timeliness_only,529.7207443386964,1506.3039918342263,0.520777725608396,0.7349148169639852,0.0,0.0,571.1132625612092,128,Routine timeliness
future_product_target,Brazil,maternal_immunization,635.84091418085,2194.0991755305713,0.6042035871955431,0.8906207446491817,0.0,0.0,640.6483201254147,128,Infant-exposure reduction
future_product_target,Brazil,cocooning_adjunct,712.5674588216115,2442.2694001850978,0.6745846920659478,0.9787537162265889,0.0,0.0,694.5599794974908,128,Close-contact adult adjunct
future_product_target,Brazil,pregnancy_tdap_scaleup,726.6033863812276,2002.2141865206484,0.7498616609858959,0.9089354757287044,0.0,0.0,749.012063874668,128,Pregnancy Tdap scale-up
future_product_target,Brazil,targeted_pep_high_risk,731.9299889520296,2125.7855082022224,0.7008218573882286,1.0533908997225445,0.0,0.0,763.3707455303875,128,Targeted high-risk PEP
future_product_target,Brazil,adolescent_booster,793.4195558810347,2231.560252160217,0.7780536021196502,1.0183949901732918,0.0,0.0,776.6246365886527,128,Adolescent booster
future_product_target,Brazil,higher_child_coverage,808.2671172597416,2237.565626807138,0.8156703273712923,1.0085174579227216,0.0,0.0,802.1426059233468,128,Nominal coverage floor
future_product_target,Brazil,current,811.8885108309664,2231.358519306741,0.8345458569002611,0.9967018527588609,0.0,0.0,808.4139993493426,128,Current practice
future_product_target,China,combined_strategy,0.11618734250378537,10.879067506987212,4.111959388163701e-05,0.003716924873755496,0.984375,1.0,300.8632055905731,128,Combined future stress-test profile
future_product_target,China,next_generation_vaccine,350.98470094407156,869.9777629057496,0.21086167542639955,0.5371388141429545,0.015625,0.0234375,707.0949369519565,128,High-transmission-blocking vaccine target
future_product_target,China,transmission_blocking_vaccine,750.1732876034816,2025.4304430549578,0.44012893028714456,0.6938333682020573,0.0,0.0,896.8405177374473,128,Transmission-blocking vaccine target
future_product_target,China,timeliness_only,935.9680552780652,2003.1260062533788,0.552332919127816,0.7295161583498116,0.0,0.0,1110.5633078349822,128,Routine timeliness
future_product_target,China,resistance_guided_treatment,946.1100568465151,2648.7877469356495,0.5237467865766221,0.9059182728596882,0.0,0.0,950.5662933666788,128,Resistance-guided management
future_product_target,China,maternal_immunization,1070.8043894727493,2432.288202848102,0.6048674775596405,0.815810375516681,0.0,0.0,1123.077445818005,128,Infant-exposure reduction
future_product_target,China,pregnancy_tdap_scaleup,1163.456709030754,2572.601624334807,0.6761418562444006,0.8490561533767121,0.0,0.0,1265.2122803292061,128,Pregnancy Tdap scale-up
future_product_target,China,cocooning_adjunct,1315.0160687015532,3282.484958006458,0.7317862603719218,0.9547737395643352,0.0,0.0,1300.6915131878045,128,Close-contact adult adjunct
future_product_target,China,targeted_pep_high_risk,1369.8595558628144,3306.903008802266,0.7787356023829793,0.9728417354526174,0.0,0.0,1400.5888634255657,128,Targeted high-risk PEP
future_product_target,China,adolescent_booster,1413.2940524820772,3399.439160836872,0.8067975243667407,0.9941200012036053,0.0,0.0,1422.3039380299365,128,Adolescent booster
