country,resistance_prevalence,resistance_label,VE_inf,child_adolescent_cases_per_100k,reference_child_adolescent_cases_per_100k,child_adolescent_case_reduction_vs_veinf0,all_infections_per_100k,reference_all_infections_per_100k,all_infection_reduction_vs_veinf0,median_child_adolescent_case_reduction,q25_child_adolescent_case_reduction,q75_child_adolescent_case_reduction,median_all_infection_reduction,q25_all_infection_reduction,q75_all_infection_reduction
Australia,0,0% resistant,0,939.9356143020672,939.9356143020672,0,2878.7360383859323,2878.7360383859323,0,0,0,0,0,0,0
Brazil,0,0% resistant,0,181.90449580928373,181.90449580928373,0,669.8972888260433,669.8972888260433,0,0,0,0,0,0,0
China,0,0% resistant,0,55.69033638342577,55.69033638342577,0,186.1945588533293,186.1945588533293,0,0,0,0,0,0,0
Japan,0,0% resistant,0,179.33755830441496,179.33755830441496,0,690.0368793815582,690.0368793815582,0,0,0,0,0,0,0
New_Zealand,0,0% resistant,0,859.1204222947232,859.1204222947232,0,2624.3877422175833,2624.3877422175833,0,0,0,0,0,0,0
South_Africa,0,0% resistant,0,180.6173914681195,180.6173914681195,0,680.0118716745534,680.0118716745534,0,0,0,0,0,0,0
Sweden,0,0% resistant,0,290.72751037357455,290.72751037357455,0,978.6569601588668,978.6569601588668,0,0,0,0,0,0,0
Thailand,0,0% resistant,0,144.67417214134272,144.67417214134272,0,515.8151608164161,515.8151608164161,0,0,0,0,0,0,0
United_Kingdom,0,0% resistant,0,871.1475472625481,871.1475472625481,0,2539.4818422747862,2539.4818422747862,0,0,0,0,0,0,0
United_States,0,0% resistant,0,114.9293504124593,114.9293504124593,0,424.78304305282825,424.78304305282825,0,0,0,0,0,0,0
Australia,0,0% resistant,0.1,900.2144655359547,939.9356143020672,0.04225943581849134,2796.577467935163,2878.7360383859323,0.028539806830234604,0.15017486444951716,0.06951758572321559,0.17025691662279913,0.13138532471060305,0.05476721395030312,0.16109793202812278
Brazil,0,0% resistant,0.1,153.02589044979467,181.90449580928373,0.158756963268058,572.827257213098,669.8972888260433,0.14490285784415546,0.15017486444951716,0.06951758572321559,0.17025691662279913,0.13138532471060305,0.05476721395030312,0.16109793202812278
China,0,0% resistant,0.1,44.70053835443366,55.69033638342577,0.1973376126394315,151.64314571758038,186.1945588533293,0.18556618060448293,0.15017486444951716,0.06951758572321559,0.17025691662279913,0.13138532471060305,0.05476721395030312,0.16109793202812278
Japan,0,0% resistant,0.1,162.8572907083325,179.33755830441496,0.09189523796297128,636.6064025872954,690.0368793815582,0.07743133503552668,0.15017486444951716,0.06951758572321559,0.17025691662279913,0.13138532471060305,0.05476721395030312,0.16109793202812278
New_Zealand,0,0% resistant,0.1,810.812373978261,859.1204222947232,0.056229658919561776,2514.7726812900355,2624.3877422175833,0.04176786042862857,0.15017486444951716,0.06951758572321559,0.17025691662279913,0.13138532471060305,0.05476721395030312,0.16109793202812278
South_Africa,0,0% resistant,0.1,149.179606333688,180.6173914681195,0.17405735338604156,566.7924178239604,680.0118716745534,0.16649629008944522,0.15017486444951716,0.06951758572321559,0.17025691662279913,0.13138532471060305,0.05476721395030312,0.16109793202812278
Sweden,0,0% resistant,0.1,244.54381543547592,290.72751037357455,0.15885560633307183,845.9040577346932,978.6569601588668,0.13564804403232733,0.15017486444951716,0.06951758572321559,0.17025691662279913,0.13138532471060305,0.05476721395030312,0.16109793202812278
Thailand,0,0% resistant,0.1,124.18935599247806,144.67417214134272,0.14159276563097634,450.2433936743498,515.8151608164161,0.12712260538887876,0.15017486444951716,0.06951758572321559,0.17025691662279913,0.13138532471060305,0.05476721395030312,0.16109793202812278
United_Kingdom,0,0% resistant,0.1,817.0855519222074,871.1475472625481,0.062058368309963696,2419.5865382183606,2539.4818422747862,0.04721250692189527,0.15017486444951716,0.06951758572321559,0.17025691662279913,0.13138532471060305,0.05476721395030312,0.16109793202812278
United_States,0,0% resistant,0.1,88.53396188046518,114.9293504124593,0.2296662117837276,334.9195122707539,424.78304305282825,0.21155159616599495,0.15017486444951716,0.06951758572321559,0.17025691662279913,0.13138532471060305,0.05476721395030312,0.16109793202812278
Australia,0,0% resistant,0.2,860.4207865999327,939.9356143020672,0.0845960366776577,2714.817858167072,2878.7360383859323,0.05694102482239638,0.283195546130296,0.13711570263098813,0.32362205897079077,0.2543304683850359,0.10848933024006432,0.3059872014621946
Brazil,0,0% resistant,0.2,127.5807824588689,181.90449580928373,0.29863865161073355,485.645653273599,669.8972888260433,0.2750446055324911,0.283195546130296,0.13711570263098813,0.32362205897079077,0.2543304683850359,0.10848933024006432,0.3059872014621946
