comparator,comparator_label,starting_resistant_fraction,seed_label,infectiousness_reduction,profiles_matching_comparator,countries_evaluated
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0,6,9
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.05,6,9
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.1,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.15,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.2,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.25,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.3,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.35,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.4,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.45,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.5,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.55,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.6,8,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0,4,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.05,5,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.1,5,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.15,5,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.2,5,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.25,6,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.3,6,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.35,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.4,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.45,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.5,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.55,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.6,8,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0,4,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.05,5,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.1,5,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.15,5,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.2,5,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.25,6,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.3,6,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.35,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.4,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.45,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.5,7,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.55,8,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.6,8,9
