country,strategy,strategy_label,lancet_strategy_role,implementation_intensity,primary_case_metric,primary_cases_per_100k,primary_total_cases,current_primary_cases_per_100k,primary_case_reduction,source_primary_case_reduction,source_minus_common_denominator_reduction,infant_cases_per_100k,infant_hospitalizations_per_100k,infant_deaths_per_100k,child_1_9_cases_per_100k,adolescent_cases_per_100k,child_adolescent_infections_per_100k,child_adolescent_reported_cases_per_100k,child_adolescent_deaths_per_million,child_adolescent_hospitalizations_per_100k,relative_reduction_child_1_9_cases,relative_reduction_adolescent_cases,relative_reduction_infant_deaths,relative_reduction_infant_hospitalizations,relative_reduction_child_adolescent_infections,relative_reduction_child_adolescent_reported_cases,annualized_resistant_infections_per_100k,relative_reduction_resistant_infections,relative_reduction_total_infections,relative_reduction_reported_cases,metric_availability_note,optimization_constraint,non_dominated_lancet_outcome,primary_case_rank_within_constraint
Australia,current,Current practice,Comparator,0.0,child_adolescent_0_17y,1082.7605742452402,1514831.5579266832,1082.7605742452402,0.0,0.0,0.0,4065.3674875436836,1209.1848434842116,14.138470173070651,1313.7727342139503,487.9361099628894,4392.794476988388,218.4376815611662,7.2838035346389445,67.3643833220105,0.0,0.0,0.0,0.0,0.0,0.0,1895.2763586016572,0.0,0.0,0.0,Primary Lancet metric generated from model age groups <18 years.,future_product_target,True,10.0
Australia,adolescent_booster,Adolescent booster,Adolescent transmission lever,1.0,child_adolescent_0_17y,1082.7693257918133,1514843.801740589,1082.7605742452402,-8.08262397189452e-06,-8.08262397189452e-06,0.0,4065.365292571422,1209.1843130815846,14.138466675238577,1313.771740075458,487.9568543394855,4392.798137973268,218.43815994853588,7.2838017309073155,67.36435988219748,7.567050301915401e-07,-4.251453454795495e-05,2.473982075867909e-07,4.3864479326582995e-07,-8.334068493098812e-07,-2.1900405295927072e-06,1895.2755254161418,4.3961160423044987e-07,2.7381946177129635e-07,-1.8520336038108098e-06,Primary Lancet metric generated from model age groups <18 years.,future_product_target,False,11.0
Australia,higher_child_coverage,Nominal coverage floor,Routine child-immunisation delivery,1.0,child_adolescent_0_17y,1085.4701558044098,1518622.3865446374,1082.7605742452402,-0.002502475268882476,-0.0025024753399927047,-7.111022881645113e-11,4072.423001860046,1211.2352929734034,14.162049800479597,1318.8911635077345,487.4943584744914,4392.620378118885,219.04897876377024,7.295993366301546,67.49803528570669,-0.0038959776853624284,0.0009053468364822459,-0.0016677640147280126,-0.001695729047472172,3.9632757424357123e-05,-0.0027984970989110014,1894.5515474874535,0.00038243029954676544,0.00036845681903141525,-0.0023204381332899704,Primary Lancet metric generated from model age groups <18 years.,future_product_target,False,12.0
Australia,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,Direct infant protection within child-health frame,1.0,child_adolescent_0_17y,1061.4069335491092,1484956.8381349593,1082.7605742452402,0.019721479710337553,0.019721479710337553,0.0,3638.0265945447727,970.9039104060599,9.48112066632418,1311.5162731843136,491.82688575220766,4378.109443984993,207.74175058146295,4.887516824004397,55.06813686338441,0.0017175428347772081,-0.007973945165211216,0.3294097203982048,0.197059146369582,0.0033429820026865675,0.048965594659828415,1893.4661265972825,0.0009551282888853319,0.0006451855369280501,0.04195239146574925,Primary Lancet metric generated from model age groups <18 years.,future_product_target,False,7.0
Australia,targeted_pep_high_risk,Targeted high-risk PEP,Clinical and outbreak management lever,1.0,child_adolescent_0_17y,1072.3404146262285,1500253.2781457168,1082.7605742452402,0.009623696934361714,0.009623696934361714,0.0,3991.155555202178,1184.057194548948,13.796641802375046,1301.2232193626746,487.1383530778794,4358.291809291237,215.54666441418678,7.107796522287594,66.00400409422436,0.009552272485896074,0.00163496144416031,0.024177182466270875,0.02078065176128685,0.007854377837212101,0.013234974481948103,1907.680593902867,-0.0065448162026788825,0.007981449889469583,0.012784564075969618,Primary Lancet metric generated from model age groups <18 years.,future_product_target,False,8.0
Australia,timeliness_only,Routine timeliness,Routine child-immunisation delivery,1.0,child_adolescent_0_17y,924.7515961765625,1293769.7718562128,1082.7605742452402,0.14593159543033873,0.14593159543033873,0.0,2977.8115574752264,884.9058569827508,11.57904588677024,1121.8137932961342,473.36209029637587,4239.832943994912,177.40514319925626,5.9639966668929585,49.51099330578338,0.14611274527808382,0.02986870495347349,0.18102554620495093,0.26817983056436767,0.03482100832184509,0.1878455130569604,1844.5441322615427,0.026767719770237064,0.024094064511811508,0.16848762029999698,Primary Lancet metric generated from model age groups <18 years.,future_product_target,True,3.0
Australia,cocooning_adjunct,Close-contact adult adjunct,Household and close-contact exposure lever,2.0,child_adolescent_0_17y,1078.4574025860957,1508811.2239714738,1082.7605742452402,0.003974259648439893,0.003974259648439893,0.0,3967.7361222604136,1179.3959147935636,13.775833234172403,1314.1456891183525,489.1207219753002,4386.993419603013,216.302079193805,7.09721080892308,65.82559492485677,-0.0002838808489638023,-0.002427801436872601,0.025648951672344822,0.024635545831169003,0.0013205847610117116,0.009776712309966906,1894.671546038563,0.00031911578220178427,0.0003233509501154863,0.008381939309210051,Primary Lancet metric generated from model age groups <18 years.,future_product_target,False,9.0
Australia,resistance_guided_treatment,Resistance-guided management,Resistance-aware clinical management lever,2.0,child_adolescent_0_17y,962.2819476864485,1346276.4499227991,1082.7605742452402,0.11126986835734554,0.11126986833742869,-1.9916845950262996e-11,3208.34048166002,943.5323842327988,10.778892172296802,1146.9394344755392,502.55890506498895,4011.218427699228,184.03057561300022,5.553520938286199,52.82063919010696,0.12698794509937572,-0.02996866780707852,0.2376196265839261,0.21969549227908203,0.0868640796190554,0.1575145171754957,1500.8956595405325,0.20808611747227013,0.0668283957467557,0.14447418307290272,Primary Lancet metric generated from model age groups <18 years.,future_product_target,True,5.0
Australia,maternal_immunization,Infant-exposure package,High-intensity infant-exposure pathway package,3.0,child_adolescent_0_17y,1057.720122037855,1479798.82023037,1082.7605742452402,0.023126490567723312,0.023126490567723312,0.0,3553.9044114515277,948.0948357274928,9.248260286121976,1311.8943617555087,492.8314291644796,4372.468157006359,205.93041319076016,4.767697282348571,53.889597260891755,0.0014297544890370384,-0.010032705386343377,0.3458797046603135,0.21592232920546117,0.004627195734059897,0.057257833334811714,1892.708524889019,0.0013548598287632663,0.0010453133695612626,0.049086679088039764,Primary Lancet metric generated from model age groups <18 years.,future_product_target,False,6.0
Australia,next_generation_vaccine,High-transmission-blocking vaccine target,Future child/adolescent high-blocking target,4.0,child_adolescent_0_17y,684.9996300665117,958345.8071433787,1082.7605742452402,0.3673581709936157,0.36735817119162373,1.9800805439729174e-10,1917.4659739229744,606.4972867213954,7.2326977691059176,726.6064922676616,498.5781010307846,2583.2925254859742,118.49413825803913,3.726246450378284,33.94194818937728,0.4469313655857333,-0.02181021385239812,0.488438446379281,0.49842467025649206,0.4119250198910982,0.457538015537984,1430.0601331397502,0.2454608921793361,0.25126009467352695,0.4103964234962615,Primary Lancet metric generated from model age groups <18 years.,future_product_target,True,2.0
