comparator,comparator_label,starting_resistant_fraction,seed_label,infectiousness_reduction,profiles_matching_comparator,countries_evaluated
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0,7,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.05,7,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.1,8,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.15,9,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.2,9,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.25,9,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.3,9,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.35,9,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.4,10,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.45,10,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.5,10,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.55,10,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.6,10,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.05,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.1,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.15,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.2,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.25,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.3,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.35,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.4,1,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.45,1,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.5,5,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.55,7,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.6,7,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0,0,10
