country,strategy,strategy_label,endpoint,relative_case_reduction,median_relative_case_reduction,q25_relative_case_reduction,q75_relative_case_reduction,min_relative_case_reduction,max_relative_case_reduction
Australia,adolescent_booster,Adolescent,Infant,-4.3089469402124436e-5,0.0022043890684967926,-0.0037388124488516583,0.019538406067945435,-0.07935606327249922,0.24110104844031743
Australia,adolescent_booster,Adolescent,Child 1–9,-6.701697728406231e-5,0.0034673938766752177,-0.003804130823565899,0.024833908983102698,-0.07272325928193979,0.2521225425734426
Australia,adolescent_booster,Adolescent,Adolescent 10–17,-3.9799121106587343e-4,0.020900332864575877,-0.00632938981987885,0.10091093245569877,-0.06927210548904084,0.42885440741874736
Australia,adolescent_booster,Adolescent,<18,-1.7365923172563e-4,0.011567559727534368,-0.005053608265309868,0.06176976791816602,-0.07229674691618393,0.34717629662115157
Australia,pregnancy_tdap_scaleup,Pregnancy Tdap,Infant,0.09588690945027645,0.10383311174740134,0.09959152459658613,0.1292421991592229,0.09034633019524396,0.13974547311026453
Australia,pregnancy_tdap_scaleup,Pregnancy Tdap,Child 1–9,0.0016789846545010034,0.005471391064087228,0.0033371786472289333,0.006724481060888576,0.0016789846545010034,0.015061299282880136
Australia,pregnancy_tdap_scaleup,Pregnancy Tdap,Adolescent 10–17,-0.002217762036309301,0.0018766080673964236,1.8522206632268223e-4,0.002961849384033294,-0.002217762036309301,0.011830511543817757
Australia,pregnancy_tdap_scaleup,Pregnancy Tdap,<18,0.01259061769993286,0.014499081418826384,0.012183842735688118,0.015928199512019847,0.01013008646420143,0.02377524784118379
Australia,targeted_pep_high_risk,Targeted PEP,Infant,0.019251727668606278,0.07104296439945662,0.05119430878855488,0.09990121788179857,0.019251727668606278,0.4864109737874125
Australia,targeted_pep_high_risk,Targeted PEP,Child 1–9,0.008927585632666712,0.0653520864666548,0.04919327760388059,0.09950600343234092,0.008927585632666712,0.4934884333122579
Australia,targeted_pep_high_risk,Targeted PEP,Adolescent 10–17,-0.0021964620377652455,0.05343834173822909,0.03847868027716064,0.10241545055081724,-0.0021964620377652455,0.4927189128425744
Australia,targeted_pep_high_risk,Targeted PEP,<18,0.00657655856717054,0.060269716003148566,0.04412265439883183,0.099989036500997,0.00657655856717054,0.49254564545052215
Australia,timeliness_only,Timeliness,Infant,0.27825539250340736,0.26362571288668063,0.24047092462695627,0.2770689019368221,0.12423387313046985,0.35247110738749243
Australia,timeliness_only,Timeliness,Child 1–9,0.10585700727124225,0.08485948586217423,0.015900603656022694,0.12626638045727226,-0.05974966781073254,0.2582502751962916
Australia,timeliness_only,Timeliness,Adolescent 10–17,0.028985200141916634,0.03378382666659985,-0.0062809550190769114,0.054634914804307794,-0.04159572197933814,0.06629751737008382
Australia,timeliness_only,Timeliness,<18,0.1025243853451988,0.0877225637533674,0.03194175577744443,0.10898655099568202,-0.02640928627338512,0.15639451041401609
Australia,cocooning_adjunct,Adult/contact,Infant,0.03774490156451038,0.19336607851629356,0.13527509621111053,0.24817478930637366,0.03774490156451038,0.46123146828067507
Australia,cocooning_adjunct,Adult/contact,Child 1–9,-0.004240595127161351,0.13181929589482122,0.08088685870167125,0.1969274207345355,-0.004240595127161351,0.4236696246448408
Australia,cocooning_adjunct,Adult/contact,Adolescent 10–17,-0.0048060296556289295,0.09617323027797792,0.06114491061635505,0.1754680798752173,-0.004932227448532833,0.41991398781198563
