country,winning_strategy,winning_strategy_label,winning_reduction,winning_cases_per_100k,runner_up_strategy,runner_up_strategy_label,runner_up_reduction,runner_up_cases_per_100k,winner_margin_reduction,winner_margin_percentage_points,winner_margin_cases_per_100k
Australia,timeliness_only,Routine timeliness,0.1402013334381662,921.6516743818108,maternal_immunization,Infant-exposure reduction,0.01376025960853299,1057.3893459595693,0.1264410738296332,12.644107382963321,135.73767157775842
Brazil,maternal_immunization,Infant-exposure reduction,0.16775941307521525,296.54997247161845,cocooning_adjunct,Close-contact adult adjunct,0.15783119078620278,300.0876677997302,0.009928222289012467,0.9928222289012467,3.537695328111738
China,maternal_immunization,Infant-exposure reduction,0.4389743999913137,86.61407796372208,cocooning_adjunct,Close-contact adult adjunct,0.424783724596264,88.8049089159145,0.014190675395049701,1.41906753950497,2.190830952192414
Japan,maternal_immunization,Infant-exposure reduction,0.19341905731435904,275.9268561605266,cocooning_adjunct,Close-contact adult adjunct,0.1820137320170805,279.82855467566503,0.011405325297278557,1.1405325297278557,3.9016985151384347
New_Zealand,timeliness_only,Routine timeliness,0.10351854872877651,809.6190137832613,targeted_pep_high_risk,Targeted high-risk PEP,0.0243033091135747,881.9519071473202,0.07921523961520181,7.921523961520181,72.33289336405892
South_Africa,timeliness_only,Routine timeliness,0.16121466574286814,289.5069239795293,maternal_immunization,Infant-exposure reduction,0.09744117809023368,311.61617881594583,0.06377348765263445,6.377348765263445,22.10925483641654
Sweden,timeliness_only,Routine timeliness,0.13801268978111714,404.48304499639033,maternal_immunization,Infant-exposure reduction,0.08612597844818348,428.8780377636333,0.051886711332933655,5.188671133293365,24.394992767242968
Thailand,maternal_immunization,Infant-exposure reduction,0.3133694151375499,208.55216897971593,cocooning_adjunct,Close-contact adult adjunct,0.29893333190771776,212.9368797680799,0.014436083229832142,1.4436083229832142,4.384710788363975
United_Kingdom,timeliness_only,Routine timeliness,0.1486502832626595,821.8038610707852,targeted_pep_high_risk,Targeted high-risk PEP,0.10433877912660594,864.1835630503932,0.04431150413605356,4.431150413605356,42.37970197960806
United_States,targeted_pep_high_risk,Targeted high-risk PEP,0.49254564545052215,29.069105012068828,maternal_immunization,Infant-exposure reduction,0.1977305987818679,45.9573423118651,0.2948150466686542,29.481504666865423,16.88823729979627
