country,strategy,strategy_label,primary_case_reduction,primary_cases_per_100k,implementation_intensity,primary_case_rank_within_programme_only,deterministic_not_clearly_surpassed,lowest_burden_in_programme_only
Australia,timeliness_only,Routine schedule timeliness,0.14540345344780214,929.4317832502816,1,1,TRUE,TRUE
Australia,maternal_immunization,Infant-exposure package,0.02313761156131966,1056.970993715142,3,2,FALSE,FALSE
Australia,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.01971532403679177,1060.673929447258,1,3,FALSE,FALSE
Australia,targeted_pep_high_risk,Targeted high-risk PEP,0.01017991006092644,1070.991304740518,1,4,FALSE,FALSE
Australia,cocooning_adjunct,Close-contact adult adjuncts,0.00393911236659794,1077.7438855805187,2,5,FALSE,FALSE
Australia,adolescent_booster,Adolescent booster scale-up,-8.135346369897434e-6,1082.014831398767,1,6,FALSE,FALSE
Brazil,timeliness_only,Routine schedule timeliness,0.22501978523026356,361.34105541568994,1,1,TRUE,TRUE
Brazil,maternal_immunization,Infant-exposure package,0.12168978161088262,409.11706758774847,3,2,TRUE,FALSE
Brazil,cocooning_adjunct,Close-contact adult adjuncts,0.11225599603669267,413.51132671061646,2,3,TRUE,FALSE
Brazil,adolescent_booster,Adolescent booster scale-up,0.05657830503223016,439.4460058089406,1,4,FALSE,FALSE
Brazil,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.01130020582847834,460.536553094735,1,5,FALSE,FALSE
Brazil,targeted_pep_high_risk,Targeted high-risk PEP,-0.06422702098267652,495.7171497785267,1,6,FALSE,FALSE
China,timeliness_only,Routine schedule timeliness,0.07071577888227709,830.6678083221036,1,1,TRUE,TRUE
China,maternal_immunization,Infant-exposure package,0.02679039886461709,869.1809532448335,3,2,TRUE,FALSE
China,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.02508880772829169,870.7006575466029,1,3,TRUE,FALSE
China,targeted_pep_high_risk,Targeted high-risk PEP,0.00493108491760929,888.7036751737153,1,4,TRUE,FALSE
China,cocooning_adjunct,Close-contact adult adjuncts,0.00234018910588451,891.0176237209411,2,5,FALSE,FALSE
China,adolescent_booster,Adolescent booster scale-up,-1.1185987602457e-4,893.2075670174736,1,6,TRUE,FALSE
Japan,timeliness_only,Routine schedule timeliness,0.07154103424970493,972.8402637155392,1,1,TRUE,TRUE
Japan,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.0297088833261756,1016.6774948790144,1,2,FALSE,FALSE
Japan,targeted_pep_high_risk,Targeted high-risk PEP,0.02408662270640427,1022.5685369577756,1,3,FALSE,FALSE
Japan,maternal_immunization,Infant-exposure package,0.01054259386101852,1036.760060108598,3,4,FALSE,FALSE
Japan,adolescent_booster,Adolescent booster scale-up,-0.00197071323205988,1049.87158706344,1,5,FALSE,FALSE
Japan,cocooning_adjunct,Close-contact adult adjuncts,-0.01231771728568942,1060.7132465826603,2,6,FALSE,FALSE
New_Zealand,timeliness_only,Routine schedule timeliness,0.17158234423782082,881.2137863322911,1,1,TRUE,TRUE
New_Zealand,maternal_immunization,Infant-exposure package,0.0284873296534508,1033.257574277346,3,2,FALSE,FALSE
New_Zealand,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.02298150415698074,1039.1133248800786,1,3,FALSE,FALSE
New_Zealand,targeted_pep_high_risk,Targeted high-risk PEP,0.01757751206989299,1044.8607700158068,1,4,FALSE,FALSE
New_Zealand,cocooning_adjunct,Close-contact adult adjuncts,0.00595962161227991,1057.2170405140355,2,5,FALSE,FALSE
New_Zealand,adolescent_booster,Adolescent booster scale-up,-1.5616245510186e-4,1063.721515856463,1,6,FALSE,FALSE
Sweden,maternal_immunization,Infant-exposure package,0.1023267529989268,157.1458823303691,3,1,FALSE,TRUE
Sweden,cocooning_adjunct,Close-contact adult adjuncts,0.0928034205241106,158.8130284603577,2,2,FALSE,FALSE
Sweden,timeliness_only,Routine schedule timeliness,0.1383445338688829,166.42257777495288,1,3,TRUE,FALSE
Sweden,targeted_pep_high_risk,Targeted high-risk PEP,0.04485472814720959,167.206884032947,1,4,FALSE,FALSE
Sweden,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.01580858573039212,172.29167593384415,1,5,FALSE,FALSE
Sweden,adolescent_booster,Adolescent booster scale-up,0.003450985220799,174.45498651001253,1,6,FALSE,FALSE
Thailand,timeliness_only,Routine schedule timeliness,0.2648215904760386,368.01580256057406,1,1,TRUE,TRUE
Thailand,maternal_immunization,Infant-exposure package,0.17845096696677298,411.1469833639898,3,2,TRUE,FALSE
Thailand,cocooning_adjunct,Close-contact adult adjuncts,0.16715013123421751,416.8025247312934,2,3,TRUE,FALSE
Thailand,adolescent_booster,Adolescent booster scale-up,0.1615226138820991,419.6188346149896,1,4,FALSE,FALSE
Thailand,targeted_pep_high_risk,Targeted high-risk PEP,0.01325391942576803,493.82040295878113,1,5,FALSE,FALSE
Thailand,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.01133744321848562,494.7795097299033,1,6,FALSE,FALSE
United_Kingdom,timeliness_only,Routine schedule timeliness,0.1733916985563475,712.9139313523726,1,1,TRUE,TRUE
United_Kingdom,targeted_pep_high_risk,Targeted high-risk PEP,0.02552135172499592,840.5187650603236,1,2,FALSE,FALSE
United_Kingdom,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.02461607805219268,841.2995921643379,1,3,FALSE,FALSE
United_Kingdom,maternal_immunization,Infant-exposure package,0.0225666283258541,843.0673076355923,3,4,FALSE,FALSE
United_Kingdom,cocooning_adjunct,Close-contact adult adjuncts,0.01394939335500999,850.4999464151978,2,5,FALSE,FALSE
United_Kingdom,adolescent_booster,Adolescent booster scale-up,-0.00457869779004749,866.4810130811811,1,6,FALSE,FALSE
United_States,timeliness_only,Routine schedule timeliness,0.14666964821875306,609.3703830698836,1,1,TRUE,TRUE
United_States,maternal_immunization,Infant-exposure package,0.04426660983516373,682.4448262813912,3,2,FALSE,FALSE
United_States,cocooning_adjunct,Close-contact adult adjuncts,0.03268899404488978,690.7118639433772,2,3,FALSE,FALSE
United_States,targeted_pep_high_risk,Targeted high-risk PEP,0.02119600640080499,698.9184727260571,1,4,FALSE,FALSE
United_States,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.012974293168863,704.7892161977255,1,5,FALSE,FALSE
United_States,adolescent_booster,Adolescent booster scale-up,-2.1304295496982e-4,714.2056804625383,1,6,FALSE,FALSE
