scope,country,fold_count,model_mean_absolute_log1p_error,model_mean_log_score_per_interval,seasonal_naive_mean_absolute_log1p_error,seasonal_naive_mean_log_score_per_interval,model_log_score_win_fraction_vs_seasonal_naive,ew_recent_rate_mean_absolute_log1p_error,ew_recent_rate_mean_log_score_per_interval,model_log_score_win_fraction_vs_ew_recent_rate,damped_log_trend_mean_absolute_log1p_error,damped_log_trend_mean_log_score_per_interval,model_log_score_win_fraction_vs_damped_log_trend
overall,all_countries,34,0.4772063556525642,-6.01891517315825,1.6345323629317394,-19.94637559189951,0.9411764705882353,1.0400256058763915,-8.99705114447946,0.7058823529411765,0.6613720479788481,-6.68112468799372,0.7941176470588235
country,Australia,4,0.48314019707200084,-7.815136691660497,1.7624320150970867,-27.24858800129689,1.0,1.057361280792535,-11.331563500483654,0.5,0.7493994237809807,-8.165745844826244,0.75
country,Brazil,4,0.7630437239530541,-5.916916443819097,1.721368773939615,-26.226709096189108,0.75,0.8221399351253085,-9.06795412176701,0.25,0.6388405083445101,-6.36600293062421,0.5
country,China,4,0.4573216539617486,-9.659036047829124,1.7629948094478793,-26.04423621041103,1.0,1.0592514789108693,-11.702317028767032,0.5,0.44739626687355516,-9.698169394309566,0.5
country,Japan,4,0.2217012023534073,-5.311437824481821,1.7501248165754069,-12.058816889316226,1.0,1.1419887888605644,-6.955801648217443,1.0,0.7291262220865553,-6.154608239871598,1.0
country,New_Zealand,4,0.4448825783841137,-5.27845837187025,1.3125728917815218,-14.009013700272963,0.75,0.9762470496866917,-7.606516551060649,0.75,0.6529371859947974,-5.528479157692736,0.75
country,Sweden,4,0.6988747984760331,-4.941558199700659,1.907445739858522,-18.82197832750107,1.0,1.254725185305257,-8.40127510246586,0.5,0.7977282353648265,-4.996278982712667,0.75
country,Thailand,3,0.5969251366814149,-4.486498314227997,1.8376244604629643,-38.922782310450984,1.0,1.5206209371821497,-13.270465834538035,1.0,1.0163728062621222,-6.876758905789742,1.0
country,United_Kingdom,3,0.48401489210940846,-5.231787777669272,1.8933457151108721,-12.400572392870918,1.0,1.097169408635163,-7.0760902669232015,1.0,0.7172930938154654,-6.276224604363137,1.0
country,United_States,4,0.1765848472533207,-4.949520823560727,0.8783584065393757,-6.642334278667157,1.0,0.5651611719051177,-6.149589699217841,1.0,0.3059851403167919,-6.015537665294946,1.0
