config_key,year,native_cases,native_intervals,age_known_cases,who_cases,national_reference_cases,national_reference_source,native_to_national_ratio,reconciliation_status,model_use_contract
Australia,2000,,,,5795.0,5795.0,WHO_JRF,,no_national_comparator,shape_only_with_static_source_scale_no_absolute_burden_claim
Australia,2001,,,,9538.0,9538.0,WHO_JRF,,no_national_comparator,shape_only_with_static_source_scale_no_absolute_burden_claim
Australia,2002,,,,5563.0,5563.0,WHO_JRF,,no_national_comparator,shape_only_with_static_source_scale_no_absolute_burden_claim
Australia,2003,,,,4968.0,4968.0,WHO_JRF,,no_national_comparator,shape_only_with_static_source_scale_no_absolute_burden_claim
Australia,2004,,,,8676.0,8676.0,WHO_JRF,,no_national_comparator,shape_only_with_static_source_scale_no_absolute_burden_claim
Australia,2005,,,,11277.0,11277.0,WHO_JRF,,no_national_comparator,shape_only_with_static_source_scale_no_absolute_burden_claim
Australia,2007,,,,5379.0,5379.0,WHO_JRF,,no_national_comparator,shape_only_with_static_source_scale_no_absolute_burden_claim
Australia,2008,,,,14435.0,14435.0,WHO_JRF,,no_national_comparator,shape_only_with_static_source_scale_no_absolute_burden_claim
Australia,2009,,,,29545.0,29545.0,WHO_JRF,,no_national_comparator,shape_only_with_static_source_scale_no_absolute_burden_claim
Australia,2010,,,,34285.0,34285.0,WHO_JRF,,no_national_comparator,shape_only_with_static_source_scale_no_absolute_burden_claim
Australia,2011,,,,38040.0,38040.0,WHO_JRF,,no_national_comparator,shape_only_with_static_source_scale_no_absolute_burden_claim
Australia,2012,,,,23855.0,23855.0,WHO_JRF,,no_national_comparator,shape_only_with_static_source_scale_no_absolute_burden_claim
Australia,2013,,,,12319.0,12319.0,WHO_JRF,,no_national_comparator,shape_only_with_static_source_scale_no_absolute_burden_claim
Australia,2014,,,,11842.0,11842.0,WHO_JRF,,no_national_comparator,shape_only_with_static_source_scale_no_absolute_burden_claim
Australia,2015,22571.0,12.0,22571.0,22508.0,22508.0,WHO_JRF,1.002799004798294,compatible_scale,notification_index_with_static_source_scale
Australia,2016,20117.0,12.0,20115.0,20037.0,20037.0,WHO_JRF,1.0039926136647204,compatible_scale,notification_index_with_static_source_scale
Australia,2017,12235.0,12.0,12234.0,12114.0,12114.0,WHO_JRF,1.0099884431236585,compatible_scale,notification_index_with_static_source_scale
Australia,2018,12455.0,12.0,12581.0,12555.0,12555.0,WHO_JRF,0.9920350457984867,compatible_scale,notification_index_with_static_source_scale
Australia,2019,12025.0,12.0,12024.0,12021.0,12021.0,WHO_JRF,1.00033275101905,compatible_scale,notification_index_with_static_source_scale
Australia,2020,3438.0,12.0,3459.0,3457.0,3457.0,WHO_JRF,0.9945039051200463,compatible_scale,notification_index_with_static_source_scale
Australia,2021,540.0,12.0,550.0,550.0,550.0,WHO_JRF,0.9818181818181818,compatible_scale,notification_index_with_static_source_scale
Australia,2022,483.0,12.0,484.0,479.0,479.0,WHO_JRF,1.0083507306889352,compatible_scale,notification_index_with_static_source_scale
