country,minimum_lambda_for_resistance_guided_preferred,resistance_guided_infant_case_regret_per_100k,resistance_guided_standardized_infant_regret_vs_current,resistance_guided_resistant_infection_reduction
Australia,0.25,184.54276315663515,0.06830524527236566,0.23089238664793543
Brazil,0.0,0.0,0.0,0.6367261632486754
China,0.0,0.0,0.0,0.740383273405881
Japan,0.0,0.0,0.0,0.4162982880745286
New_Zealand,0.33,217.95316304245512,0.10036884015826718,0.20629184595567884
South_Africa,0.0,0.0,0.0,0.6375829428000221
Sweden,0.0,0.0,0.0,0.5393111940854105
Thailand,0.0,0.0,0.0,0.6742646835963575
United_Kingdom,0.25,200.82192827899507,0.0810093709787035,0.29512261111741445
United_States,,39.58322639670734,0.45194708819890334,0.0
