country,scenario,analysis_years,total_infections,total_reported_cases,total_infant_cases,annualized_infant_cases_per_100k,n_epidemic_peaks,resistant_fraction_end,annual_total_infections_count,annual_reported_cases_count,annual_infant_cases_count,event_scale_flag
United_Kingdom,cocooning_adjunct,26.013698630136982,49432334.79209259,816142.3949176032,375346.6382260767,2119.767913677015,5,0.998808091564686,1900242.4643616427,31373.562311208556,14428.807051344711,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Brazil,cocooning_adjunct,26.013698630136982,63121365.72192967,1044291.3155803076,270845.6271229086,488.5039476232248,6,0.9979496799521944,2426466.4021594874,40143.89996701552,10411.653912571,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
China,cocooning_adjunct,26.013698630136982,103297234.21202984,2860123.9501153925,331112.42114201456,159.11086818662588,9,0.9999711976731988,3970878.4083613376,109946.83957789556,12728.386910672494,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
South_Africa,combined_strategy,26.013698630136982,107431.93551907188,1574.2005007107298,523.3117909598666,1.870854751585832,8,0.014111705733252,4129.821639227092,60.51428991673686,20.116777640900615,Low infant-event count; modeled infant cases are especially sensitive to stochastic variation.
Thailand,combined_strategy,26.013698630136982,161817.75321605534,2040.9302045532336,431.96478849001096,3.32565042158457,7,0.0077491126639332,6220.482351117452,78.45597942727018,16.60528149540327,Low infant-event count; modeled infant cases are especially sensitive to stochastic variation.
Sweden,combined_strategy,26.013698630136982,165799.96872079468,1980.6049607560408,478.6375341118944,19.05812569015273,9,0.3039535537922865,6373.5638318157,76.13699954459769,18.39944180630242,Low infant-event count; modeled infant cases are especially sensitive to stochastic variation.
United_States,combined_strategy,26.013698630136982,345241.1047927517,5081.021239268513,1160.036793025506,1.221211044748371,8,0.0,13271.511663965708,195.32098497451372,44.59330483984305,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Brazil,combined_strategy,26.013698630136982,504274.16019431513,7558.832664727533,1686.9946889791474,3.0427058177879256,8,0.0072641624338709,19384.946653072675,290.57123987630854,64.85024344153648,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
China,combined_strategy,26.013698630136982,668133.358520607,17543.66181496506,1840.2087312431927,0.8842833757404495,9,0.9966546596745482,25683.904777253458,674.40090178644,70.73998808886418,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
New_Zealand,combined_strategy,26.013698630136982,2047756.886204778,27822.69450596022,8597.046840965351,608.1708462682527,8,0.9985067970839552,78718.40584146857,1069.5401258215356,330.4815267985628,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Japan,combined_strategy,26.013698630136982,2286681.415900561,31408.40853742714,4597.647220171315,24.183136339407675,9,0.968736920495222,87902.9717539447,1207.3795804276892,176.73946659952924,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Australia,combined_strategy,26.013698630136982,16263332.077641351,156275.3752391953,71269.69275537762,915.3394332626054,8,0.999313143425936,625183.3816049598,6007.426220358746,2739.6985630029317,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_Kingdom,combined_strategy,26.013698630136982,22830914.910050653,307311.5322074724,96729.2788643354,546.278028798307,9,0.9982799677379244,877649.7042831479,11813.45015858109,3718.3977657169485,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
New_Zealand,current,26.013698630136982,4005614.5857518,68022.49721738997,30696.436810372703,2171.522184562205,4,0.9990687656663382,153980.9714375363,2614.8721942440593,1180.010472436655,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Sweden,current,26.013698630136982,4486697.313668156,63544.79962972984,20354.234352184078,810.4536917362184,7,0.9988822149797963,172474.40963547945,2442.743745639957,782.4429213846435,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Thailand,current,26.013698630136982,19974570.009901483,286790.3551189549,75271.78585719959,579.5093797303277,8,0.9978222315080364,767848.1362416053,11024.589743909273,2893.544164073497,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_States,current,26.013698630136982,21212386.82362278,328419.62016053504,83196.4200650237,87.58376241443254,8,0.0,815431.4050155152,12624.872181000032,3198.177285280006,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Australia,current,26.013698630136982,24968594.0894322,306037.42222206807,210361.21859508049,2701.7363369500385,5,0.999372378811766,959824.8386142974,11764.471733655068,8086.555533144222,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
South_Africa,current,26.013698630136982,25112612.36292634,411204.25040445896,169127.24381136068,604.634776270607,7,0.9970781972593208,965361.0860945883,15807.219736453664,6501.468561468842,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Japan,current,26.013698630136982,37656738.22060345,603422.1159314911,119908.15085366802,630.7041450543462,9,0.9997656134755984,1447573.4018452093,23196.32146550756,4609.423387213147,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_Kingdom,current,26.013698630136982,53708080.21800829,929606.5436470596,438955.0895303687,2478.9962673798445,5,0.9996944713645396,2064607.6123826255,35735.26997695385,16873.99764914003,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Brazil,current,26.013698630136982,75230197.158469,1296261.5679389075,352520.17026494746,635.8141964947877,6,0.9951737639156644,2891945.441057524,49829.96022092694,13551.328293491926,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
China,current,26.013698630136982,179685296.15648565,5152278.181233913,614572.6797589187,295.3232396087969,9,0.9999894532595716,6907333.659517353,198060.19338076655,23624.963466245958,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
New_Zealand,higher_child_coverage,26.013698630136982,4338221.533519414,74430.97652076522,33780.7395849523,2389.7114193165776,5,0.9998025533720946,166766.80987199437,2861.222372836157,1298.575034071363,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Sweden,higher_child_coverage,26.013698630136982,4488291.380941963,63787.91069063655,20395.54920234685,812.0987436852643,7,0.9988917621260598,172535.68762968053,2452.0892471914,784.0311173098054,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Thailand,higher_child_coverage,26.013698630136982,20084415.620372504,290264.6812553873,75123.09682289152,578.3646386423177,8,0.997689749944108,772070.7426472844,11158.147304709466,2887.82836654612,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_States,higher_child_coverage,26.013698630136982,21399112.51193809,332756.98423018854,84003.96727508666,88.43389559647453,8,0.0,822609.3803957246,12791.606028859276,3229.2204376415625,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
South_Africa,higher_child_coverage,26.013698630136982,24734137.248209883,391637.4720249436,153446.01945381705,548.5739463190324,7,0.9973461855602308,950812.0163872152,15055.047634450179,5898.662148566954,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Australia,higher_child_coverage,26.013698630136982,24983124.181399867,306939.4031703117,210688.4031368412,2705.9384683697035,5,0.9993711030010812,960383.3940190577,11799.145040248952,8099.132927324597,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Japan,higher_child_coverage,26.013698630136982,37685929.95322822,606062.3553656163,120217.89849612657,632.3333850692156,9,0.999767283495998,1448695.569555377,23297.81566176408,4621.330484579906,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_Kingdom,higher_child_coverage,26.013698630136982,53720455.25448961,934887.1150984294,440722.969583543,2488.9803583989087,5,0.9996991802505308,2065083.3246854881,35938.26192848097,16941.957229909767,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Brazil,higher_child_coverage,26.013698630136982,75538354.76663384,1312087.4353414734,355140.1780719105,640.5397084157129,6,0.9950189927042398,2903791.4154630178,50438.326898329426,13652.044760004988,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
China,higher_child_coverage,26.013698630136982,181063747.1096125,5213885.781881858,621033.5675612986,298.42791624005747,9,0.999989609304016,6960323.08530896,200428.46870846534,23873.328294878782,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
New_Zealand,maternal_immunization,26.013698630136982,3963028.920945743,64203.949652323136,26247.648826646717,1856.8067757040728,6,0.9994397763739792,152343.92376463366,2468.0823194415952,1008.9933461533494,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Sweden,maternal_immunization,26.013698630136982,4128670.901942987,55970.021383382045,15864.63763407829,631.6894026188705,6,0.9978065525199656,158711.41434535972,2151.559537117899,609.857054917175,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Thailand,maternal_immunization,26.013698630136982,13709038.62149195,184962.034707744,41636.619601546845,320.55585395061684,8,0.9988647476319727,526993.0591726764,7110.178269439343,1600.5651558256557,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_States,maternal_immunization,26.013698630136982,17079662.321680572,254871.33895906265,57126.47193768216,60.13902205834604,8,0.0,656564.1650777683,9797.581750401041,2196.014982333227,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
South_Africa,maternal_immunization,26.013698630136982,22651187.66075488,352045.85304251127,124995.06012216526,446.8609464901695,7,0.9963880248301308,870740.7578910514,13533.094930017549,4804.970715596664,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Australia,maternal_immunization,26.013698630136982,25007615.887096748,294304.6750341008,182924.6684623345,2349.3599578779804,5,0.999509848942954,961324.8866551147,11313.44985649782,7031.8592931808425,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Japan,maternal_immunization,26.013698630136982,30601970.95994039,458293.8158381417,77774.54758307809,409.08586422758,8,0.9993183126773776,1176379.0837681142,17617.40313648465,2989.753540581728,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_Kingdom,maternal_immunization,26.013698630136982,49271585.55954509,791480.3957008485,335423.80201283266,1894.303933975544,4,0.9987969713939672,1894063.0573179529,30425.52337343968,12894.121930983038,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Brazil,maternal_immunization,26.013698630136982,62806595.9153153,1022626.6208330812,246117.9104484292,443.9044201949483,7,0.9979989731812122,2414366.246349667,39311.08126425221,9461.088711287695,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
China,maternal_immunization,26.013698630136982,101779745.7998178,2775817.537092846,284304.01053139823,136.61782256582717,9,0.9999707719671642,3912544.203995103,106705.9927371131,10929.011463292298,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Sweden,next_generation_vaccine,26.013698630136982,69415.68054018347,823.7353209900209,235.02156387486616,9.357959175575582,9,0.6661604330582589,2668.4279512550784,31.665444145482642,9.034530891450887,Low infant-event count; modeled infant cases are especially sensitive to stochastic variation.
South_Africa,next_generation_vaccine,26.013698630136982,122427.45989582827,1887.7097523657603,738.8806322130687,2.641519580255809,8,0.0334671257974483,4706.268863820676,72.56598837424988,28.40352088022855,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_States,next_generation_vaccine,26.013698630136982,143125.76069572498,2110.6092294786195,581.7028777174087,0.6123788314011931,9,0.0,5501.938141541825,81.13453067506016,22.361406041796123,Low infant-event count; modeled infant cases are especially sensitive to stochastic variation.
China,next_generation_vaccine,26.013698630136982,1299618.9097512965,34483.973189676464,3971.093812142459,1.9082467008802224,9,0.9973311827480018,49959.02075399929,1325.6082374125235,152.6539485447075,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Thailand,next_generation_vaccine,26.013698630136982,1932550.252767237,24843.85496811885,5945.647656126019,45.77490153622012,9,0.9863144241009042,74289.71482464892,955.029706515364,228.55833538557107,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Brazil,next_generation_vaccine,26.013698630136982,2706532.277288446,40306.143392144586,9629.738822883972,17.36843780699998,9,0.9747413940311626,104042.57832651743,1549.419940824937,370.17953347579254,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
New_Zealand,next_generation_vaccine,26.013698630136982,3163833.996597487,45207.088564515485,17717.54079843257,1253.3712988772252,8,0.9982226305932832,121621.84399769173,1737.818570410548,681.0850333257387,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Japan,next_generation_vaccine,26.013698630136982,16616006.442268452,242286.27436576423,42504.75610296511,223.5705049327109,8,0.9996755481124264,638740.6373278552,9313.795697051497,1633.93743839729,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Australia,next_generation_vaccine,26.013698630136982,18037213.51607138,182903.47006514244,103032.62814861847,1323.280959985262,4,0.9995677595532728,693373.6633350241,7031.04439955524,3960.706611294971,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_Kingdom,next_generation_vaccine,26.013698630136982,32896911.104954038,478931.7206123596,191420.47355963025,1081.0459899049335,4,0.9995333990178392,1264599.5316806978,18410.75071337665,7358.448957268568,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
New_Zealand,pregnancy_tdap_scaleup,26.013698630136982,3998091.193443688,66092.83527765461,27561.99520603836,1949.7860396943968,4,0.9990009640685116,153691.76257050515,2540.693509883511,1059.5185097634546,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Sweden,pregnancy_tdap_scaleup,26.013698630136982,4470973.202629474,62125.30455580761,18268.107831291924,727.3894550352512,7,0.9988744006999194,171869.95460345005,2388.1765311079284,702.2495374851557,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Thailand,pregnancy_tdap_scaleup,26.013698630136982,19858068.724042512,278958.86447013053,65436.52841399264,503.7887909214586,8,0.9978867370624296,763369.6771222241,10723.537180789643,2515.4642307643303,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_States,pregnancy_tdap_scaleup,26.013698630136982,21160722.414980613,322241.8877423724,74980.63011410393,78.93471492104196,8,0.0,813445.3587643944,12387.39220915913,2882.3517632067337,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Australia,pregnancy_tdap_scaleup,26.013698630136982,24942097.339154948,297554.57899399643,190190.33153497835,2442.6751894503886,5,0.999371805095821,958806.2694883157,11438.38034047485,7311.160717247721,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
South_Africa,pregnancy_tdap_scaleup,26.013698630136982,24967377.046131127,397638.5132563496,147989.89079263198,529.0681291931533,7,0.9970479815478168,959778.0539060413,15285.735370043983,5688.9215523234,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Japan,pregnancy_tdap_scaleup,26.013698630136982,37536269.79411827,589048.2379535339,103834.08188379236,546.1562487719146,9,0.9997631133013776,1442942.44074283,22643.771127229058,3991.515522652366,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_Kingdom,pregnancy_tdap_scaleup,26.013698630136982,53568256.12999181,901550.1134941042,392787.9051379856,2218.267364668437,5,0.9996897002324664,2059232.5947811492,34656.744752537976,15099.271761491813,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Brazil,pregnancy_tdap_scaleup,26.013698630136982,74936905.79089007,1269736.011326376,320671.266497191,578.3707171554458,6,0.9952416554305864,2880670.944041588,48810.28374240414,12327.015510423878,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
China,pregnancy_tdap_scaleup,26.013698630136982,177418831.0600228,5007705.723983113,528688.9318813888,254.0531537692096,9,0.9999892747592664,6820207.8290582765,192502.64236480635,20323.481846941224,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Sweden,resistance_guided_treatment,26.013698630136982,2475408.3938348982,33328.99046665681,9784.602869983331,389.59792735605294,8,0.995267795131712,95157.87927854007,1281.2092175176133,376.1327064290591,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
New_Zealand,resistance_guided_treatment,26.013698630136982,3679462.4949503583,59651.65503406567,24958.774798525337,1765.6294616946743,8,0.9986157292657342,141443.26599861833,2293.0862651325933,959.4473724551606,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Thailand,resistance_guided_treatment,26.013698630136982,8587834.153650261,119636.63960105563,28864.815875522545,222.22711150270223,9,0.9842733287187162,330127.37926091056,4598.9861458015075,1109.600610275485,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
South_Africa,resistance_guided_treatment,26.013698630136982,10657506.18618295,168499.97873876482,62970.52224501549,225.1214338399601,8,0.9939809990811896,409688.2314857059,6477.355686113657,2420.6677850901165,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_States,resistance_guided_treatment,26.013698630136982,20508018.312201,317085.2012128114,80329.14813716407,84.56528564717037,8,0.0,788354.5744026715,12189.162553204442,3087.95566825328,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Australia,resistance_guided_treatment,26.013698630136982,21654470.473180704,249584.00977058016,155925.52569433537,2002.601340994512,8,0.999092172776768,832425.6685319598,9594.330022776385,5993.977554337274,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Japan,resistance_guided_treatment,26.013698630136982,22181432.388781477,344233.6104719798,62050.64562563588,326.3798090537408,8,0.9986141752081016,852682.7616540537,13232.782287759099,2385.3065459038544,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Brazil,resistance_guided_treatment,26.013698630136982,33850326.49610186,559823.530713868,138966.02223811497,250.6425935498672,8,0.991383458118754,1301250.0443472546,21520.335830496246,5342.0324504383325,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
China,resistance_guided_treatment,26.013698630136982,46679763.354264654,1311539.591516059,145219.33790415668,69.78286962523441,9,0.9996156861852704,1794430.0815488785,50417.2670777632,5582.417939443622,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_Kingdom,resistance_guided_treatment,26.013698630136982,46683284.277788326,770867.8353320002,335642.9252132374,1895.541430374766,8,0.9985154133291272,1794565.4303731166,29633.150068054776,12902.5453083551,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
New_Zealand,targeted_pep_high_risk,26.013698630136982,3913498.648966381,66208.92755898129,29590.390517579905,2093.2784423748085,5,0.9996086590667912,150439.91646895517,2545.1562463431464,1137.4926317974373,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Sweden,targeted_pep_high_risk,26.013698630136982,4289594.98932901,60553.57538003776,19265.32153316521,767.0959612782311,6,0.999337950895594,164897.54303371132,2327.7572420972915,740.5837134918697,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_States,targeted_pep_high_risk,26.013698630136982,11117346.5542759,169907.66158966118,42728.76829621448,44.98205925046303,7,0.0,427365.0860780099,6531.4688236152015,1642.5487549361021,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Thailand,targeted_pep_high_risk,26.013698630136982,18230516.8487647,261258.29325460247,68059.81669826985,523.9852060198851,8,0.9984632724201452,700804.4918166526,10043.104480034746,2616.3068030403892,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
South_Africa,targeted_pep_high_risk,26.013698630136982,23811553.314807408,389162.602982298,158512.56969489885,566.687009977872,6,0.998816860095498,915346.7045713223,14959.91048852436,6093.4268497775765,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Australia,targeted_pep_high_risk,26.013698630136982,24915786.31200773,303608.2457715592,206311.40170302973,2649.7232447586985,5,0.9996121138722176,957794.8397980855,11671.091069680791,7930.875368257594,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Japan,targeted_pep_high_risk,26.013698630136982,36108478.66546892,577434.8035909104,113861.6169675172,598.9000186194661,9,0.9998601505525744,1388056.3152075994,22197.335788381497,4376.986855518039,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_Kingdom,targeted_pep_high_risk,26.013698630136982,48426938.10178992,836476.1029493926,394504.66970832006,2227.96278434471,5,0.9992650629685376,1861593.7237654896,32155.21617446323,15165.266397423575,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Brazil,targeted_pep_high_risk,26.013698630136982,70040198.14091495,1203142.4288308558,324556.6975549838,585.3785783263954,6,0.9976805827616644,2692435.210261607,46250.34086606239,12476.376472624444,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
China,targeted_pep_high_risk,26.013698630136982,155954292.1746651,4467530.607147644,529948.7595005448,254.65854542088584,9,0.9999906851912964,5995083.374802819,171737.6168097831,20371.911239357436,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
