country,scenario,analysis_years,total_infections,total_reported_cases,total_infant_cases,annualized_infant_cases_per_100k,n_epidemic_peaks,resistant_fraction_end,annual_total_infections_count,annual_reported_cases_count,annual_infant_cases_count,event_scale_flag
New_Zealand,adolescent_booster,26.013698630136982,4265309.555021074,72820.68615888484,33132.385196800555,2343.8456364379595,6,0.9998028125832776,163963.97973488068,2799.320742284673,1273.651458328826,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Sweden,adolescent_booster,26.013698630136982,4484920.520659353,63525.55095506535,20347.458893561987,810.1839104252394,7,0.9988867210229994,172406.1074292432,2442.003801853487,782.182464049513,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Thailand,adolescent_booster,26.013698630136982,18583184.89812644,264521.9997998464,69834.55857308106,537.6487516136319,7,0.998907013286202,714361.5047726331,10168.565553127324,2684.53016105051,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_States,adolescent_booster,26.013698630136982,21324048.77838921,330240.6656886921,83609.96612729112,88.01911678345877,8,0.0,819723.8340297065,12694.87551093972,3214.074527273435,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
South_Africa,adolescent_booster,26.013698630136982,24940024.64479855,402615.8574330656,166695.78622441288,595.9422453174559,8,0.997743728728292,958726.5924540781,15477.07087552069,6408.000207678853,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Australia,adolescent_booster,26.013698630136982,24970454.876097225,306066.44251580257,210370.2830250987,2701.852753335262,5,0.9993723922286646,959896.3696446012,11765.587311034013,8086.903981480888,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Japan,adolescent_booster,26.013698630136982,36732602.41927052,583426.0127708667,117359.01859465484,617.2959791927104,9,0.9996584407091406,1412048.434232095,22427.645567284508,4511.431467830334,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_Kingdom,adolescent_booster,26.013698630136982,54359129.912170656,945119.6580717324,448590.2413211501,2533.410728858604,5,0.9997770629737672,2089634.7991513736,36331.61402803395,17244.38526405685,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Brazil,adolescent_booster,26.013698630136982,75185574.50818513,1286618.1404221938,351083.3322391923,633.2226806236042,6,0.9973115018783196,2890230.0890455586,49459.25447647191,13496.094393607711,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
China,adolescent_booster,26.013698630136982,133927877.85631396,3758679.975870365,466398.5618881248,224.12049691032487,8,0.9999806388175092,5148359.706956778,144488.48775067757,17928.959988327075,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
New_Zealand,cocooning_adjunct,26.013698630136982,3966775.9665818834,65952.63410866875,29166.95741218057,2063.3240094578136,5,0.9994073975398672,152487.96501341628,2535.3039968050653,1121.2153191622865,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Sweden,cocooning_adjunct,26.013698630136982,4140775.028404419,57177.1147776162,17666.17549686203,703.4220452998095,6,0.9977923830628672,159176.71251896926,2197.9617581706075,679.1104851347701,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Thailand,cocooning_adjunct,26.013698630136982,13851729.726120315,190828.98301300668,48082.25995113821,370.1801456125884,8,0.9988755047849204,532478.2885765051,7335.711300657973,1848.3438527820376,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_States,cocooning_adjunct,26.013698630136982,17121197.62710306,259597.06150089187,63387.43369144358,66.73015404591364,8,0.0,658160.8355863737,9979.244596927389,2436.6943967748193,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
South_Africa,cocooning_adjunct,26.013698630136982,22794962.67314216,363766.7798400156,142904.98081344448,510.8894296592733,7,0.9963166670631406,876267.6541018315,13983.662416177536,5493.451079189809,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Australia,cocooning_adjunct,26.013698630136982,25051503.99665366,302670.7949313064,202421.1551676769,2599.7595648585984,5,0.999511877418118,963012.0019777344,11635.05425486328,7781.329292912277,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Japan,cocooning_adjunct,26.013698630136982,30678490.70027412,468793.7335315402,89747.24860194682,472.061001139607,8,0.9993182709516136,1179320.6009057458,18021.03346382435,3449.999551312332,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
