country,country_code,who_region,population_millions,observed_reported_incidence_per_100k,estimated_reported_incidence_per_100k,estimated_observed_ratio,calibration_interval_smape,calibration_peak_ratio,calibration_log1p_correlation,absolute_fit_relative_tolerance,calibration_max_interval_smape,calibration_peak_ratio_min,calibration_peak_ratio_max,calibration_data_overlap_intervals
Australia,AUS,Western Pacific Region,26.39522611831259,61.485060062304655,62.225762643768455,1.012046870909994,1.2667202063819036,1.020032273646295,0.9203581560662522,0.25,1.3,0.25,4,65
China,CHN,Western Pacific Region,1420.2032945828848,7.036712963505653,6.9409618812135765,0.9863926405995714,0.9659764517264364,0.4275908486738115,0.6080285735004547,0.25,1.3,0.25,4,81
United_Kingdom,GBR,European Region,67.93091511320758,9.553263372821574,9.723044203410767,1.017772024486649,0.8866543216735744,0.71095258919268,0.7234415078288496,0.25,1.3,0.25,4,273
Japan,JPN,Western Pacific Region,122.95706781417078,12.567867648878243,13.286996656850397,1.0572196515799828,1.062231668232139,0.5768349054331159,0.8364036834192308,0.25,1.3,0.25,4,276
New_Zealand,NZL,Western Pacific Region,5.1634366175381095,19.152326923907772,19.33967738006503,1.009782125007661,0.9606335366933572,2.0686465483995806,0.807127145415269,0.25,1.3,0.25,4,64
Sweden,SWE,European Region,10.484414625335663,6.298709508886805,6.372351977168762,1.01169167560086,1.0904291631304623,0.7902226408624522,0.7369846226680254,0.25,1.3,0.25,4,64
United_States,USA,Region of the Americas,342.99585238678463,1.3943519090840408,1.404541445144,1.0073077219556812,0.688240609374787,0.6766444515709101,0.8597446048859895,0.25,1.3,0.25,4,278
Brazil,BRA,Region of the Americas,211.95400888787776,0.997547668322634,0.9977573687476944,1.0002102159442798,1.0351287859316185,0.5246455357022333,0.6434808354288546,0.25,1.3,0.25,4,64
Thailand,THA,South-East Asia Region,71.59069551302487,0.4605010312084133,0.4609983629039125,1.0010799795479155,1.185585109108521,0.4054086926439644,0.7788110167343153,0.25,1.3,0.25,4,72
South_Africa,ZAF,African Region,64.40474684781208,2.27571912864681,2.261671561607265,0.993827196483646,0.9040157107736232,0.9324864676644048,-0.2561148668932811,0.25,1.3,0.25,4,32
