scenario,uptake,uptake_offset,uptake_plot,pep_assumption,reach_status,implementation_group,metric,median_reduction,q25_reduction,q75_reduction,implementation_note,q25_reduction_plot,q75_reduction_plot,q25_truncated,q75_truncated,effect_measure
current_near_term,0,0,0,Guided treatment only,Baseline PEP reach,Guided only,Cases aged <18 years,0,0,0,Current macrolide treatment and baseline resistant-strain PEP effectiveness.,0,0,FALSE,FALSE,bounded_proportional_response
guided_uptake_100_no_pep_restoration,1,-0.018,0.982,Guided treatment only,Baseline PEP reach,Guided only,Cases aged <18 years,0.11019073844541799,0.07725883996625396,0.31711053547264423,Full treatment restoration but no restoration of resistant-strain PEP effectiveness.,0.07725883996625396,0.31711053547264423,FALSE,FALSE,bounded_proportional_response
guided_uptake_100_pep_restored,1,0.018,1.018,Treatment + restored PEP effect,Baseline PEP reach,+ restored PEP,Cases aged <18 years,0.3261438058360417,0.1123359685007164,0.5574418322374154,Full resistance-guided treatment scenario used in the main analysis.,0.1123359685007164,0.5574418322374154,FALSE,FALSE,bounded_proportional_response
guided_uptake_25_pep_restored,0.25,0.018,0.268,Treatment + restored PEP effect,Baseline PEP reach,+ restored PEP,Cases aged <18 years,0.067696081113110207,0.0347675942685905,0.22233460435286323,Quarter uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,0.0347675942685905,0.22233460435286323,FALSE,FALSE,bounded_proportional_response
guided_uptake_50_low_pep_reach,0.5,0.046,0.546,Treatment + restored PEP effect,Lower PEP reach,Lower reach,Cases aged <18 years,-0.08456255928525085,-0.2855605244184754,0.16746565685544104,"Half uptake and half baseline PEP reach, approximating delayed activation, lower adherence, or household-only reach.",-0.2855605244184754,0.16746565685544104,FALSE,FALSE,bounded_proportional_response
guided_uptake_50_no_pep_restoration,0.5,-0.018,0.482,Guided treatment only,Baseline PEP reach,Guided only,Cases aged <18 years,0.060876686405156304,0.03661816953313803,0.1298224897937796,Half uptake of resistance-guided treatment; resistant-strain PEP effectiveness remains at baseline.,0.03661816953313803,0.1298224897937796,FALSE,FALSE,bounded_proportional_response
guided_uptake_50_pep_restored,0.5,0.018,0.518,Treatment + restored PEP effect,Baseline PEP reach,+ restored PEP,Cases aged <18 years,0.1399787243875631,0.06418058921149045,0.42325124550843063,Half uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,0.06418058921149045,0.42325124550843063,FALSE,FALSE,bounded_proportional_response
guided_uptake_75_pep_restored,0.75,0.018,0.768,Treatment + restored PEP effect,Baseline PEP reach,+ restored PEP,Cases aged <18 years,0.2947807314310345,0.08969964310098905,0.47194507061617536,Three-quarter uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,0.08969964310098905,0.47194507061617536,FALSE,FALSE,bounded_proportional_response
current_near_term,0,0,0,Guided treatment only,Baseline PEP reach,Guided only,Resistant infections,0,0,0,Current macrolide treatment and baseline resistant-strain PEP effectiveness.,0,0,FALSE,FALSE,bounded_proportional_response
guided_uptake_100_no_pep_restoration,1,-0.018,0.982,Guided treatment only,Baseline PEP reach,Guided only,Resistant infections,0.3139828175390611,0.09349940915946617,0.6185711628600894,Full treatment restoration but no restoration of resistant-strain PEP effectiveness.,0.09349940915946617,0.6185711628600894,FALSE,FALSE,bounded_proportional_response
guided_uptake_100_pep_restored,1,0.018,1.018,Treatment + restored PEP effect,Baseline PEP reach,+ restored PEP,Resistant infections,0.7926257509633426,0.24040783814992936,0.9158655647358794,Full resistance-guided treatment scenario used in the main analysis.,0.24040783814992936,0.85,FALSE,TRUE,bounded_proportional_response
guided_uptake_25_pep_restored,0.25,0.018,0.268,Treatment + restored PEP effect,Baseline PEP reach,+ restored PEP,Resistant infections,0.2280435415780197,0.06436303414365192,0.39772774196135424,Quarter uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,0.06436303414365192,0.39772774196135424,FALSE,FALSE,bounded_proportional_response
guided_uptake_50_low_pep_reach,0.5,0.046,0.546,Treatment + restored PEP effect,Lower PEP reach,Lower reach,Resistant infections,0.554840969408382,0.09138570523964902,0.8383215548333266,"Half uptake and half baseline PEP reach, approximating delayed activation, lower adherence, or household-only reach.",0.09138570523964902,0.8383215548333266,FALSE,FALSE,bounded_proportional_response
guided_uptake_50_no_pep_restoration,0.5,-0.018,0.482,Guided treatment only,Baseline PEP reach,Guided only,Resistant infections,0.12793176181290838,0.04492943580668808,0.22599258651033036,Half uptake of resistance-guided treatment; resistant-strain PEP effectiveness remains at baseline.,0.04492943580668808,0.22599258651033036,FALSE,FALSE,bounded_proportional_response
guided_uptake_50_pep_restored,0.5,0.018,0.518,Treatment + restored PEP effect,Baseline PEP reach,+ restored PEP,Resistant infections,0.4612340923699304,0.1265800489781894,0.674245676158813,Half uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,0.1265800489781894,0.674245676158813,FALSE,FALSE,bounded_proportional_response
guided_uptake_75_pep_restored,0.75,0.018,0.768,Treatment + restored PEP effect,Baseline PEP reach,+ restored PEP,Resistant infections,0.656573158405979,0.18544699799352315,0.8334112522291024,Three-quarter uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,0.18544699799352315,0.8334112522291024,FALSE,FALSE,bounded_proportional_response
