country,burden_group,outcome,population,analysis_years,reported_cases,estimated_infections,rate_per_100k
Australia,Infant,Estimated reports,299309.57445955096,26.013698630136986,75695.12732231207,453146.2519337455,972.1767033989449
Australia,Infant,Estimated infections,299309.57445955096,26.013698630136986,75695.12732231207,453146.2519337455,5819.902085463334
Australia,Children,Estimated reports,2893388.6692692307,26.013698630136986,124523.122960374,3987433.063919361,165.44022915250346
Australia,Children,Estimated infections,2893388.6692692307,26.013698630136986,124523.122960374,3987433.063919361,5297.665398538177
Australia,Adolescent,Estimated reports,2629777.2659587115,26.013698630136986,29438.855929815578,3206282.0846768585,43.03282495395772
Australia,Adolescent,Estimated infections,2629777.2659587115,26.013698630136986,29438.855929815578,3206282.0846768585,4686.845712749621
Brazil,Infant,Estimated reports,2131334.6521986662,26.013698630136986,215295.76197669542,739777.6484539259,388.31282138285343
Brazil,Infant,Estimated infections,2131334.6521986662,26.013698630136986,215295.76197669542,739777.6484539259,1334.281470427697
Brazil,Children,Estimated reports,21158113.100638863,26.013698630136986,427724.37338887335,8288208.002046232,77.71144058193805
Brazil,Children,Estimated infections,21158113.100638863,26.013698630136986,427724.37338887335,8288208.002046232,1505.8496166085313
Brazil,Adolescent,Estimated reports,20358317.01824732,26.013698630136986,177465.7275943433,11113809.96724475,33.509698203342005
Brazil,Adolescent,Estimated infections,20358317.01824732,26.013698630136986,177465.7275943433,11113809.96724475,2098.548395456705
China,Infant,Estimated reports,7999696.704377554,26.013698630136986,614572.6797589188,1232048.660270303,295.32323960879694
China,Infant,Estimated infections,7999696.704377554,26.013698630136986,614572.6797589188,1232048.660270303,592.0416147516256
China,Children,Estimated reports,81542516.27584684,26.013698630136986,1309916.6709158602,12608959.884053499,61.75291396978586
China,Children,Estimated infections,81542516.27584684,26.013698630136986,1309916.6709158602,12608959.884053499,594.4195018329156
China,Adolescent,Estimated reports,92717824.32139155,26.013698630136986,732753.7222230841,21209310.69944389,30.380344657557984
China,Adolescent,Estimated infections,92717824.32139155,26.013698630136986,732753.7222230841,21209310.69944389,879.3488855211423
Japan,Infant,Estimated reports,730837.655556547,26.013698630136986,82259.55217001674,239419.26563620122,432.67651243540735
Japan,Infant,Estimated infections,730837.655556547,26.013698630136986,82259.55217001674,239419.26563620122,1259.3199225205171
Japan,Children,Estimated reports,7127341.9201143235,26.013698630136986,145396.93499918398,2491166.621853003,78.4197680231255
Japan,Children,Estimated infections,7127341.9201143235,26.013698630136986,145396.93499918398,2491166.621853003,1343.6095375309121
Japan,Adolescent,Estimated reports,6905013.179795505,26.013698630136986,67991.13572795199,3678042.53387133,37.851725264505646
Japan,Adolescent,Estimated infections,6905013.179795505,26.013698630136986,67991.13572795199,3678042.53387133,2047.6236205307073
