country,current_infant_cases_per_100k,higher_child_coverage_infant_cases_per_100k,relative_reduction_infant_cases,largest_absolute_infection_increase_age_group,largest_absolute_infection_increase,relative_change_in_that_age_group
Australia,2701.7363369500385,2705.9384683697035,-0.001555344747077969,child_5_9y,3763.6809670738876,0.001561152930750212
Brazil,635.8141964947877,640.5397084157129,-0.007432221468121947,middle_adult_40_64y,77260.5671739541,0.003322468322129826
China,295.3232396087969,298.42791624005747,-0.010512808390471529,middle_adult_40_64y,467431.1864942536,0.007251133512023937
Japan,630.7041450543462,632.3333850692156,-0.0025832080344565522,child_5_9y,8815.047969559208,0.005686380076229071
New_Zealand,2171.522184562205,2389.7114193165776,-0.1004775527072781,middle_adult_40_64y,92507.81613751687,0.08317701101081089
South_Africa,604.634776270607,548.5739463190324,0.09271850074082455,infant_0_2m,-1563.7726728317793,-0.02705515783292335
Sweden,810.4536917362184,812.0987436852643,-0.0020297914190774424,child_5_9y,1267.064489250537,0.004008357403065929
Thailand,579.5093797303277,578.3646386423177,0.0019753624842840933,middle_adult_40_64y,32527.97410408128,0.004801307429492583
United_Kingdom,2478.9962673798445,2488.9803583989087,-0.00402747319568042,child_1_4y,11927.546970956493,0.00362834605849072
United_States,651.0196794036234,652.835854430708,-0.0027897390578857095,child_5_9y,48695.26806405559,0.005131091716100913
