country,case_event_definition,coarse_rtol,coarse_atol,refined_rtol,refined_atol,prediction_l1_relative_difference,prediction_max_interval_relative_difference,nll_per_interval_absolute_difference,coarse_nfev,refined_nfev,coarse_min_state,refined_min_state,numerical_fidelity_passed
Australia,symptomatic_onset,0.0001,1e-06,1e-05,1e-07,3.96486979480354e-06,1.622669427815994e-05,0.02542848597901563,970,1264,0.0,0.0,True
China,symptomatic_onset,0.0001,1e-06,1e-05,1e-07,6.781672500565977e-06,7.546846684450172e-06,0.0007432659585902002,1036,1372,0.0,0.0,True
United_Kingdom,symptomatic_onset,0.0001,1e-06,1e-05,1e-07,5.313921581713468e-07,2.171577172959943e-06,0.00028212053985043894,960,1278,0.0,0.0,True
Japan,symptomatic_onset,0.0001,1e-06,1e-05,1e-07,4.352193065259268e-06,5.425783028814063e-05,0.0029935864758954267,1000,1336,0.0,0.0,True
New_Zealand,symptomatic_onset,0.0001,1e-06,1e-05,1e-07,1.3350972276905784e-05,1.5223094821084239e-05,0.006113274196650309,970,1294,0.0,0.0,True
Sweden,symptomatic_onset,0.0001,1e-06,1e-05,1e-07,4.376526928410471e-06,8.933672201227009e-06,0.001469964253449992,964,1240,0.0,0.0,True
United_States,symptomatic_onset,0.0001,1e-06,1e-05,1e-07,4.861555852230825e-06,3.680223987365766e-05,0.0007014175228700229,910,1216,0.0,0.0,True
Brazil,symptomatic_onset,0.0001,1e-06,1e-05,1e-07,2.510542659944867e-06,6.8390932403870936e-06,0.00016400227970810496,950,1280,0.0,0.0,True
Thailand,symptomatic_onset,0.0001,1e-06,1e-05,1e-07,4.836163649834086e-06,6.004837308809813e-05,0.00013206917746326022,1086,1470,0.0,0.0,True
South_Africa,symptomatic_onset,0.0001,1e-06,1e-05,1e-07,3.1395383736677185e-06,4.357321046256142e-06,0.0003041607736804508,486,660,0.0,0.0,True
