country,strategy,strategy_label,primary_case_reduction,primary_cases_per_100k,current_primary_cases_per_100k,implementation_intensity,primary_case_rank_within_programme_only,margin_to_best_cases_per_100k,margin_to_best_percentage_points,near_best_5_cases,lowest_burden_in_programme_only,deterministic_not_clearly_surpassed,uncertainty_scope
Australia,timeliness_only,Routine schedule timeliness,0.14540345344780214,929.4317832502816,1082.0060289049727,1,1,0,0,TRUE,TRUE,TRUE,conditional scenario point estimate; no posterior interval
Australia,maternal_immunization,Infant-exposure package,0.02313761156131966,1056.970993715142,1082.0060289049727,3,2,127.53921046486039,12.226584188648248,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
Australia,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.01971532403679177,1060.673929447258,1082.0060289049727,1,3,131.24214619697636,12.568812941101037,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
Australia,targeted_pep_high_risk,Targeted high-risk PEP,0.01017991006092644,1070.991304740518,1082.0060289049727,1,4,141.55952149023642,13.52235433868757,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
Australia,cocooning_adjunct,Close-contact adult adjuncts,0.00393911236659794,1077.7438855805187,1082.0060289049727,2,5,148.31210233023717,14.14643410812042,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
Australia,adolescent_booster,Adolescent booster scale-up,-8.135346369897434e-6,1082.014831398767,1082.0060289049727,1,6,152.58304814848543,14.541158879417203,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
Brazil,timeliness_only,Routine schedule timeliness,0.22501978523026356,361.34105541568994,465.8001911368474,1,1,0,0,TRUE,TRUE,TRUE,conditional scenario point estimate; no posterior interval
Brazil,maternal_immunization,Infant-exposure package,0.12168978161088262,409.11706758774847,465.8001911368474,3,2,47.77601217205853,10.333000361938094,FALSE,FALSE,TRUE,conditional scenario point estimate; no posterior interval
Brazil,cocooning_adjunct,Close-contact adult adjuncts,0.11225599603669267,413.51132671061646,465.8001911368474,2,3,52.17027129492652,11.27637891935709,FALSE,FALSE,TRUE,conditional scenario point estimate; no posterior interval
Brazil,adolescent_booster,Adolescent booster scale-up,0.05657830503223016,439.4460058089406,465.8001911368474,1,4,78.10495039325065,16.84414801980334,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
Brazil,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.01130020582847834,460.536553094735,465.8001911368474,1,5,99.19549767904505,21.371957940178522,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
