country,current_cases_per_100k,lowest_burden_strategy,lowest_burden_strategy_label,lowest_burden_reduction,lowest_burden_cases_per_100k,cases_averted_per_100k_with_lowest_burden_option,runner_up_strategy,runner_up_strategy_label,runner_up_reduction,runner_up_cases_per_100k,runner_up_excess_reduction,runner_up_excess_percentage_points,runner_up_excess_cases_per_100k
Australia,1072.1423025667305,timeliness_only,Routine schedule timeliness,0.1025243853451988,962.039059608392,110.10324295833846,maternal_immunization,Infant-exposure package,0.01376025960853299,1057.3893459595693,0.08876412573666581,8.876412573666581,95.35028635117726
Brazil,356.3272170672158,maternal_immunization,Infant-exposure package,0.16775941307521525,296.54997247161845,59.77724459559738,cocooning_adjunct,Close-contact adult adjuncts,0.15783119078620278,300.0876677997302,0.009928222289012467,0.9928222289012467,3.537695328111738
China,154.38525086572383,maternal_immunization,Infant-exposure package,0.4389743999913137,86.61407796372208,67.77117290200175,cocooning_adjunct,Close-contact adult adjuncts,0.424783724596264,88.8049089159145,0.014190675395049701,1.41906753950497,2.190830952192414
Japan,342.0944405222172,maternal_immunization,Infant-exposure package,0.19341905731435904,275.9268561605266,66.16758436169061,cocooning_adjunct,Close-contact adult adjuncts,0.1820137320170805,279.82855467566503,0.011405325297278557,1.1405325297278557,3.9016985151384347
New_Zealand,903.920157885482,timeliness_only,Routine schedule timeliness,0.11114060621250976,802.7354782656888,101.1846796197932,targeted_pep_high_risk,Targeted high-risk PEP,0.0243033091135747,881.9519071473202,0.08683729709893506,8.683729709893505,79.21642888163137
South_Africa,345.25858220364154,timeliness_only,Routine schedule timeliness,0.15639451041401609,291.1706014621226,54.08798074151895,maternal_immunization,Infant-exposure package,0.09744117809023368,311.61617881594583,0.0589533323237824,5.89533323237824,20.44557735382324
Sweden,469.2966728957474,maternal_immunization,Infant-exposure package,0.08612597844818348,428.8780377636333,40.418635132114105,cocooning_adjunct,Close-contact adult adjuncts,0.0759706537409498,433.6438978039015,0.010155324707233682,1.0155324707233682,4.765860040268194
Thailand,303.73271103385906,maternal_immunization,Infant-exposure package,0.3133694151375499,208.55216897971593,95.18054205414313,cocooning_adjunct,Close-contact adult adjuncts,0.29893333190771776,212.9368797680799,0.014436083229832142,1.4436083229832142,4.384710788363975
United_Kingdom,964.8553970789704,timeliness_only,Routine schedule timeliness,0.14920739661994364,821.2660834398181,143.58931363915235,targeted_pep_high_risk,Targeted high-risk PEP,0.10433877912660594,864.1835630503932,0.044868617493337704,4.48686174933377,42.91747961057513
United_States,388.89473491693457,timeliness_only,Routine schedule timeliness,0.08628066665479173,355.3473061859215,33.54742873101304,maternal_immunization,Infant-exposure package,0.0859545029178288,355.4674816626684,3.2616373696292555e-4,0.032616373696292555,0.12017547674685147
