scenario,countries,contact_assumption,contact_shock_applied,routine_delivery_delay_applied,routine_delivery_delay_reduction,timeliness_recovery_applied,median_child_adolescent_cases_per_100k_5y,median_infant_cases_per_100k_5y,median_relative_change_child_adolescent_cases_vs_no_shock,iqr_relative_change_child_adolescent_cases_vs_no_shock,median_relative_change_infant_cases_vs_no_shock,iqr_relative_change_infant_cases_vs_no_shock,median_relative_reduction_child_adolescent_cases_vs_delayed_recovery,median_relative_reduction_infant_cases_vs_delayed_recovery,median_end_resistant_fraction_5y,implementation_note
no_shock_current_delivery,9,none,False,False,,False,748.2369528415123,1977.1008219855341,0.0,0 to 0,0.0,0 to 0,,,0.975900036738082,Counterfactual without COVID-19 contact reduction and without routine-delivery delay.
npi_contact_shock_only,9,mean,True,False,,False,748.2369528415123,1977.1008219855341,0.0,0 to 0,0.0,0 to 0,,,0.975900036738082,"COVID-19 NPI contact-reduction shock only, with routine delivery unchanged."
routine_delay_only,9,none,False,True,0.25,False,748.2369528415123,1977.1008219855341,0.0,0 to 0,0.0,0 to 0,,,0.975900036738082,"Reduced routine-vaccination delivery during the COVID-19 calendar window, without contact reduction."
combined_shock_delayed_recovery,9,mean,True,True,0.25,False,748.2369528415123,1977.1008219855341,0.0,0 to 0,0.0,0 to 0,0.0,0.0,0.975900036738082,NPI contact reduction plus reduced routine-vaccination delivery during the COVID-19 calendar window.
combined_shock_timeliness_recovery,9,mean,True,True,0.25,True,723.1456929732286,1436.47878586814,-0.10347109552007472,-0.2562 to -0.05171,-0.2683779739757275,-0.3632 to -0.09814,0.10347109552007472,0.2683779739757275,0.988191630587466,Combined historical COVID-19 shock with routine-timeliness recovery carried into prospective policy t0.
baseline_screened_contact_shock,9,baseline_screened,True,False,,False,748.2369528415123,1977.1008219855341,0.0,0 to 0,0.0,0 to 0,,,0.975900036738082,Submitted baseline contact-reduction setting after calibration-screening country peak timing.
