country,test_year,interval_id,observed_cases,exposure_days,model_expected_cases,model_point_cases,model_observation_q025,model_observation_median,model_observation_q975,model_log_score,model_95_covered,pomp_expected_cases,pomp_observation_q025,pomp_observation_median,pomp_observation_q975,pomp_log_score,selected_candidate,static_log_source_scale,scale_at_search_boundary,mc_log_likelihood_sd_per_training_interval,future_evidence_used,claim_scope,forecast_mode,stacking_weight_pomp,stacking_weight_seasonal_naive,stacking_weight_ew_recent_rate,stacking_weight_damped_log_trend,point_weight_pomp,point_weight_seasonal_naive,point_weight_ew_recent_rate,point_weight_damped_log_trend,seasonal_naive_expected_cases,seasonal_naive_q025,seasonal_naive_q975,seasonal_naive_log_score,ew_recent_rate_expected_cases,ew_recent_rate_q025,ew_recent_rate_q975,ew_recent_rate_log_score,damped_log_trend_expected_cases,damped_log_trend_q025,damped_log_trend_q975,damped_log_trend_log_score
Australia,2023,2023-01-01_2023-02-01,46.0,31.0,50.73418055780908,46.21873217614226,9.0,49.0,101.0,-4.00341604347906,1.0,58.221532269333366,28.0,56.0,104.0,-3.8400156707212236,robust_ar1__k300,6.66521031346414,False,0.011418876120874631,False,notification_index_forecast,prequential,0.6537657192798862,0.019999999999999997,0.020000000000000184,0.3062342807201136,0.4904281802103079,3.867249992665885e-18,0.08916922112341488,0.4204025986662774,41.5,6.0,108.0,-4.353053455968409,42.50352897564536,6.0,110.0,-4.347587275245707,35.89039094778407,5.0,93.0,-4.419941514767464
Australia,2023,2023-02-01_2023-03-01,34.0,28.0,49.7244919734479,44.53907103219497,8.0,48.0,102.0,-4.294456315022079,1.0,57.677754732454105,27.0,55.0,103.0,-4.413507454158622,robust_ar1__k300,6.66521031346414,False,0.011418876120874631,False,notification_index_forecast,prequential,0.6537657192798862,0.019999999999999997,0.020000000000000184,0.3062342807201136,0.4904281802103079,3.867249992665885e-18,0.08916922112341488,0.4204025986662774,43.5,6.0,117.0,-4.15868800384756,38.78062563534385,5.0,104.0,-4.115722691127599,33.866687384708946,4.0,91.0,-4.097794165123357
Australia,2023,2023-03-01_2023-04-01,44.0,31.0,54.023077103358915,48.69046000945255,9.375,53.0,109.625,-4.13866596145824,1.0,62.26707382484666,28.0,60.0,114.0,-4.052680862094151,robust_ar1__k300,6.66521031346414,False,0.011418876120874631,False,notification_index_forecast,prequential,0.6537657192798862,0.019999999999999997,0.020000000000000184,0.3062342807201136,0.4904281802103079,3.867249992665885e-18,0.08916922112341488,0.4204025986662774,47.5,7.0,123.0,-4.303507546538107,42.17057402216429,6.0,109.0,-4.2988129304096265,37.623440750225,5.0,98.0,-4.3275276620134635
Australia,2023,2023-04-01_2023-05-01,43.0,30.0,53.658412245371466,48.75243232854463,9.0,52.0,106.625,-4.191962267550318,1.0,62.37982921715288,29.0,60.0,108.625,-4.1238868831990585,robust_ar1__k300,6.66521031346414,False,0.011418876120874631,False,notification_index_forecast,prequential,0.6537657192798862,0.019999999999999997,0.020000000000000184,0.3062342807201136,0.4904281802103079,3.867249992665885e-18,0.08916922112341488,0.4204025986662774,22.5,3.0,60.0,-4.88626980754578,40.868265992359994,6.0,107.0,-4.293888245176616,37.909710766268695,5.0,100.0,-4.310037328105231
Australia,2023,2023-05-01_2023-06-01,77.0,31.0,57.899408687714846,52.13851264139767,10.0,57.0,119.0,-4.565791040880815,1.0,67.0552640695137,29.0,65.0,124.0,-4.292652205787114,robust_ar1__k300,6.66521031346414,False,0.011418876120874631,False,notification_index_forecast,prequential,0.6537657192798862,0.019999999999999997,0.020000000000000184,0.3062342807201136,0.4904281802103079,3.867249992665885e-18,0.08916922112341488,0.4204025986662774,39.5,6.0,103.0,-5.525990394985509,42.37185783912529,6.0,110.0,-5.377526868636776,40.56873892697412,6.0,105.0,-5.4669630261445405
Australia,2023,2023-06-01_2023-07-01,92.0,30.0,69.88107244983011,61.16662044242616,11.0,69.0,140.0,-4.6546819975522515,1.0,82.93844441561058,41.0,79.0,145.625,-4.346163283294733,robust_ar1__k300,6.66521031346414,False,0.011418876120874631,False,notification_index_forecast,prequential,0.6537657192798862,0.019999999999999997,0.020000000000000184,0.3062342807201136,0.4904281802103079,3.867249992665885e-18,0.08916922112341488,0.4204025986662774,35.5,5.0,94.0,-6.532761605858791,43.755858290087744,6.0,115.0,-5.883988488987016,45.95711323241635,6.0,120.0,-5.76340504758686
Australia,2023,2023-07-01_2023-08-01,96.0,31.0,89.46895639921172,76.73572402659661,14.0,90.0,178.0,-4.61280089362463,1.0,107.39486337949766,53.0,103.0,187.0,-4.340278784595383,robust_ar1__k300,6.66521031346414,False,0.011418876120874631,False,notification_index_forecast,prequential,0.6537657192798862,0.019999999999999997,0.020000000000000184,0.3062342807201136,0.4904281802103079,3.867249992665885e-18,0.08916922112341488,0.4204025986662774,42.5,6.0,110.0,-6.141113352073224,49.05660948457854,7.0,127.0,-5.759099687730566,56.906575136782656,9.0,147.0,-5.463992581871317
Australia,2023,2023-08-01_2023-09-01,158.0,31.0,100.73432759808635,86.71764887257929,16.0,100.0,197.0,-5.652656152882979,1.0,119.49692194378788,60.0,115.0,209.0,-5.335294561148801,robust_ar1__k300,6.66521031346414,False,0.011418876120874631,False,notification_index_forecast,prequential,0.6537657192798862,0.019999999999999997,0.020000000000000184,0.3062342807201136,0.4904281802103079,3.867249992665885e-18,0.08916922112341488,0.4204025986662774,64.5,10.0,166.0,-6.92281537949337,52.83663697411729,8.0,137.0,-7.7552381136821875,66.17353120832401,10.0,171.0,-6.83376708904146
Australia,2023,2023-09-01_2023-10-01,273.0,30.0,130.35364802820402,109.49821606534684,18.0,131.0,254.0,-7.741105171525188,0.0,158.295072786152,83.0,152.0,269.625,-7.420910992140259,robust_ar1__k300,6.66521031346414,False,0.011418876120874631,False,notification_index_forecast,prequential,0.6537657192798862,0.019999999999999997,0.020000000000000184,0.3062342807201136,0.4904281802103079,3.867249992665885e-18,0.08916922112341488,0.4204025986662774,38.5,5.0,101.0,-15.902988348560093,57.81855134867529,8.0,151.0,-11.31219840375687,81.43890626511387,12.0,212.0,-8.870961929724315
Australia,2023,2023-10-01_2023-11-01,367.0,31.0,201.53158348458265,162.77384659796505,26.0,201.0,405.0,-7.062235633857235,1.0,249.7901555910879,129.0,238.0,429.625,-6.689434945316832,robust_ar1__k300,6.66521031346414,False,0.011418876120874631,False,notification_index_forecast,prequential,0.6537657192798862,0.019999999999999997,0.020000000000000184,0.3062342807201136,0.4904281802103079,3.867249992665885e-18,0.08916922112341488,0.4204025986662774,40.5,6.0,105.0,-20.75827982796382,71.15360216303046,11.0,183.0,-12.65397107928779,117.53834553609998,19.0,302.0,-8.858854377946123
