country,country_code,current_resistant_infections_per_100k,remaining_resistant_infections_per_100k,absolute_resistant_infections_averted_per_100k,remaining_child_adolescent_cases_per_100k,primary_case_reduction,relative_reduction_resistant_infections,resistance_reduction_estimable
Australia,AUS,1894.8729724491052,1499.7715834711933,395.10138897791194,961.3557617213828,0.11150609504838592,0.2085107522477082,TRUE
Brazil,BRA,930.0858705834772,403.6312524533943,526.454618130083,301.5495315925536,0.3526204210274172,0.5660279709181497,TRUE
China,CHN,1491.6790894715857,1389.0753365948856,102.60375287670013,784.9511420647198,0.12110132491907256,0.06878406590397013,TRUE
Japan,JPN,2257.7810503546775,2022.9173498750224,234.8637004796551,904.8373100178366,0.13644630813325798,0.1040241259723581,TRUE
New_Zealand,NZL,2220.8116878764167,1647.052505940454,573.7591819359627,911.950884596681,0.1425450331421103,0.25835562064504936,TRUE
Sweden,SWE,63.93651531583416,4.619350447450528,59.31716486838363,152.82960482755837,0.1269828671925146,0.9277509819722016,TRUE
Thailand,THA,1421.4130633351765,716.2869551131619,705.1261082220146,272.7767664755529,0.4549406957770614,0.49607403100458825,TRUE
United_Kingdom,GBR,1878.0575155882632,1230.8222189662404,647.2352966220228,705.1948273628324,0.18241289685790177,0.3446301784222604,TRUE
United_States,USA,2012.3528263486664,1457.8884479271192,554.4643784215473,570.4496050811811,0.2011108972162168,0.2755303996898262,TRUE
