country,test_year,selected_candidate,training_intervals,holdout_intervals,observed_cases,model_expected_cases,model_point_cases,model_absolute_log1p_error,model_log_score,pomp_expected_cases,pomp_absolute_log1p_error,pomp_log_score,model_interval_95_coverage,model_mean_predictive_log1p_width,model_annual_q025,model_annual_median,model_annual_q975,model_annual_95_covered,model_annual_predictive_log1p_width,annual_prediction_scope,static_log_source_scale,scale_at_search_boundary,mc_log_likelihood_sd_per_training_interval,future_evidence_used,forecast_mode,stacking_weight_pomp,stacking_weight_seasonal_naive,stacking_weight_ew_recent_rate,stacking_weight_damped_log_trend,point_weight_pomp,point_weight_seasonal_naive,point_weight_ew_recent_rate,point_weight_damped_log_trend,seasonal_naive_expected_cases,seasonal_naive_absolute_log1p_error,seasonal_naive_log_score,seasonal_naive_mean_log_score_per_interval,model_log_score_delta_vs_seasonal_naive,model_log1p_error_delta_vs_seasonal_naive,ew_recent_rate_expected_cases,ew_recent_rate_absolute_log1p_error,ew_recent_rate_log_score,ew_recent_rate_mean_log_score_per_interval,model_log_score_delta_vs_ew_recent_rate,model_log1p_error_delta_vs_ew_recent_rate,damped_log_trend_expected_cases,damped_log_trend_absolute_log1p_error,damped_log_trend_log_score,damped_log_trend_mean_log_score_per_interval,model_log_score_delta_vs_damped_log_trend,model_log1p_error_delta_vs_damped_log_trend,model_mean_log_score_per_interval
Australia,2023,persistent_ar1__k10,96,12,2454.0,2004.726565541915,570.0153459408419,1.4584659553806132,-76.08503129715945,3731.1885086485827,0.4188680318907636,-74.87729443710757,1.0,5.2825652501067095,331.375,605.5,6642.25,True,2.9950927309932087,joint_one_year_block_forecast,6.66521031346414,False,0.0015677244120966332,False,block,0.47054179994274903,0.1974359892851124,0.14634431987077873,0.1856778909013599,0.11289978778826829,6.394928949171955e-17,0.2660141428110209,0.6210860694007108,489.0,1.611476649123949,-155.70265638172725,-12.975221365143938,79.6176250845678,0.15301069374333576,489.61638747056406,1.6102195060461488,-149.1150208409247,-12.426251736743724,73.02998954376525,0.15175355066553564,435.41873715741326,1.7272798514503238,-160.09345982953513,-13.341121652461261,84.00842853237569,0.2688138960697106,-6.3404192747632875
China,2023,jump_ar1__k10,96,12,38205.0,60676.758730848014,31880.043584786337,0.18098098317521938,-108.24435625056881,68731.62223242331,0.5872313657257351,-108.70199440493984,1.0,5.718652959645843,19622.875,53919.0,155737.5,True,2.0714313814808705,joint_one_year_block_forecast,3.4141569463974726,False,0.001476713435141369,False,block,0.7310398078003671,0.0199999999999999,0.14634431987078214,0.10261587232885085,2.705984565127677e-16,4.910357130001408e-17,0.7108409352515611,0.28915906474843867,39787.0,0.040572787948706335,-119.36085526323146,-9.946737938602622,11.116499012662644,-0.14040819522651304,24974.58433789504,0.42509385016783163,-111.25065416430827,-9.270887847025689,3.006297913739459,0.24411286699261225,58281.22033694035,0.4223045070110505,-109.8101049571219,-9.150842079760158,1.5657487065530802,0.2413235238358311,-9.020363020880735
United_Kingdom,2023,jump_ar1__k10,417,52,1746.0,955.0234741234353,340.775653592462,1.6315007719706358,-284.6536460322254,2616.6672820352646,0.4043835396555533,-278.9965804125639,1.0,4.8842021055521005,227.375,363.5,4101.75,True,2.8884237448615666,joint_one_year_block_forecast,0.3963709510755092,False,0.0017620803097327794,False,block,0.2710398078003704,0.02,0.6063443198707786,0.102615872328851,5.067356293541076e-17,2.7495303194072533e-16,0.6730565474324299,0.3269434525675696,484.0,1.2815064191965728,-468.35237947086387,-9.006776528285844,183.69873343863844,-0.349994352774063,326.41848646177715,1.6744161823384909,-320.8567067735408,-6.170321284106554,36.20306074131537,0.04291541036785507,372.26679352043993,1.543361882039851,-305.44910404693206,-5.874021231671771,20.79545801470664,-0.08813888993078489,-5.474108577542797
Japan,2023,jump_ar1__k30,417,52,815.0,683.8699825678135,345.2425677238835,0.8572747627503121,-219.12334546956967,1515.8376785500673,0.6199686170443588,-213.88495240156402,1.0,4.326633173275623,252.375,411.0,2043.625,True,2.088099072806525,joint_one_year_block_forecast,4.529883598970592,False,0.0008752473894303279,False,block,0.2710398078003704,0.02000000000000003,0.6063443198707787,0.10261587232885093,4.7753477232570917e-17,1.760090827622203e-16,0.42168187041946287,0.578318129580537,378.0,0.7668781498816806,-239.34277121185733,-4.602745600228025,20.219425742287655,-0.09039661286863154,383.75725965427716,0.7518017139259792,-221.06535418731193,-4.25125681129446,1.9420087177422545,-0.10547304882433295,319.33261563556545,0.935054475136134,-227.7586695159732,-4.379974413768715,8.635324046403525,0.07777971238582193,-4.213910489799416
New_Zealand,2023,jump_ar1__k10,96,12,141.0,53.899815544689716,18.50048941347768,1.9853874942194518,-52.02843929652683,149.97093991347418,0.06126030978846764,-42.90562141864695,1.0,3.1780301992181155,9.0,21.0,251.0,True,3.2268439945173775,joint_one_year_block_forecast,1.7994791247741089,False,0.008476298464509079,False,block,0.2710398078003704,0.02,0.1463443198707787,0.5626158723288509,1.635928518935268e-16,2.2105862176182207e-16,0.29144895474502075,0.7085510452549788,24.0,1.7369512327330603,-98.90656526428106,-8.24221377202342,46.87812596775423,-0.24843626148639153,24.545870080045404,1.7153513947195376,-93.44469756786623,-7.787058130655519,41.4162582713394,-0.27003609949991425,16.31587838857581,2.1042031511129586,-124.60666431880479,-10.383888693233732,72.57822502227796,0.11881565689350682,-4.335703274710569
Sweden,2023,jump_ar1__k10,96,12,137.0,109.25906748023964,21.187547445743903,1.8277224795241316,-41.74484015510493,195.89924784401006,0.3554384804907871,-39.07524913940954,1.0,3.9251261545804237,8.0,66.0,431.0,True,3.871201010907891,joint_one_year_block_forecast,4.2655653132993026,False,0.01073970457176514,False,block,0.5218630143186014,0.019999999999999997,0.1463443198707787,0.31179266581061993,0.11277510655521089,5.912384007690033e-14,0.2108409352515739,0.6763839581931561,19.0,1.9315214116032142,-137.01360539492575,-11.417800449577145,95.26876523982082,0.10379893207908264,13.409967732392984,2.2593335143992888,-141.61240579223073,-11.801033816019228,99.86756563712581,0.4316110348751572,15.022877071703297,2.15323616715095,-122.02658150687981,-10.168881792239985,80.28174135177488,0.32551368762681854,-3.4787366795920778
United_States,2023,jump_ar1__k30,415,51,2507.0,1767.8636272222848,1239.8564953813298,0.7036837595107182,-279.81198174192104,4104.40571851222,0.492818950453791,-267.1480284781966,1.0,5.359333203677528,537.0,917.0,5431.875,True,2.3123651785785855,joint_one_year_block_forecast,-1.1546747889027118,False,0.0007566580262415598,False,block,0.2710398078003705,0.019999999999999997,0.6063443198707785,0.10261587232885093,0.14052814721386256,4.9103572372214755e-17,0.544140351331161,0.3153315014549764,884.5,1.0410884445299233,-319.9239360993341,-6.2730183548889045,40.11195435741308,0.3374046850192052,774.2902322579072,1.174003449268545,-294.7063003439239,-5.77855490870439,14.89431860200284,0.4703196897578268,1639.4131050395392,0.4245375193375702,-266.0833174855304,-5.217319950696675,-13.72866425639063,-0.27914624017314793,-5.486509445920021
Brazil,2023,persistent_ar1__k10,96,12,222.0,1041.9001709068518,322.96454647457887,0.3734623138837412,-48.79703079606243,1688.089728853502,2.0247732693678966,-57.24642999070482,1.0,5.403123586652982,149.0,967.0,3152.125,True,3.045514009445718,joint_one_year_block_forecast,2.379799476041318,False,0.004621451689604765,False,block,0.5599387909658224,0.02,0.3174453367053267,0.102615872328851,0.1606142403940997,0.2619549566515771,0.21084093525157385,0.36658986770274943,244.0,0.09408643908460856,-42.89650766063775,-3.574708971719813,-5.900523135424677,-0.2793758747991326,201.2187962507906,0.09782151048597765,-43.04774737461151,-3.587312281217626,-5.749283421450919,-0.27564080339776353,272.05616372933025,0.20250573051201393,-43.2538862807621,-3.604490523396842,-5.543144515300327,-0.17095658337172726,-4.0664192330052025
Thailand,2023,persistent_ar1__k10,180,12,398.0,20.6996498391414,20.437837270128828,2.9238039593700833,-71.9464370465812,21.758719387663547,2.864013075134599,-70.46337735735213,0.6666666666666666,2.225261981486046,7.0,19.0,42.0,False,1.6817585740137266,joint_one_year_block_forecast,-4.770846363014895,False,0.03215777675713055,False,block,0.6624964458858442,0.019999999999999997,0.21488768178530487,0.10261587232885093,0.29360710079562086,0.20639289920437912,0.21084093525157402,0.28915906474842606,25.0,2.7308648788683816,-452.9779962910135,-37.74816635758446,381.0315592444323,-0.19293908050170172,16.071834827664187,3.1515313974203703,-395.5089900328894,-32.959082502740785,323.5625529863082,0.22772743805028695,22.715162837225634,2.822846791160716,-295.09541306433994,-24.591284422028327,223.14897601775874,-0.10095716820936751,-5.995536420548433
Australia,2024,jump_ar1__k100,108,12,57255.0,10537.96237578924,6920.1105569753345,2.112956198571032,-137.15084851565197,15741.001742425133,1.291200030029655,-131.0498690377162,0.3333333333333333,4.540793586357541,1292.75,11687.5,23704.375,False,2.908156837644788,joint_one_year_block_forecast,6.461349690677128,False,0.011782984438164756,False,block,0.5988246216354663,0.18309754471395548,0.16147494104766902,0.056602892602909176,0.2519620586830789,0.19095331867081564,4.940599048986907e-16,0.557084622646105,2461.232142857143,3.146464126762817,-924.3879881306269,-77.03233234421891,787.2371396149749,1.033507928191785,1575.5870029354055,3.5922700545565265,-1048.3052186659925,-87.35876822216603,911.1543701503405,1.4793138559854944,7186.904480826974,2.075132760302921,-235.57118940958864,-19.630932450799055,98.42034089393667,-0.037823438268111076,-11.42923737630433
China,2024,jump_ar1__k30,108,12,494321.0,149564.42742499828,67537.64076950624,1.9904872367739905,-155.32843777391454,182695.00820991662,0.9953635124397966,-152.85159820988062,0.6666666666666666,3.9576414041528722,28423.375,150330.0,342326.25,False,2.488520099190106,joint_one_year_block_forecast,3.5780760230904063,False,0.004954959190967466,False,block,0.7619221663494092,0.019999999999999612,0.16147494104766863,0.05660289260292253,0.3143510212004722,0.1310732011583548,0.3190150265085512,0.23556075113262182,38230.232142857145,2.55953434978041,-870.7779088096428,-72.5648257341369,715.4494710357283,0.5690471130064196,35692.2755600863,2.628224815324433,-449.6740361325085,-37.47283634437571,294.345598358594,0.6377375785504427,67788.73088012771,1.9867764051768582,-279.3401284799458,-23.278344039995485,124.01169070603126,-0.003710831597132369,-12.944036481159545
United_Kingdom,2024,jump_ar1__k30,470,52,29317.0,3096.403321091362,2957.100257566043,2.2936544044531217,-517.8671685659006,5147.777622625913,1.7394423301952298,-480.27403795791105,0.4230769230769231,5.809591177884062,858.375,1700.5,8111.625,False,2.244971388359195,joint_one_year_block_forecast,0.41929064776295843,False,0.0008945529485581391,False,block,0.42565631938371584,0.020000000000000063,0.4977407880133749,0.05660289260290918,0.28993041644349,0.4745088324238882,2.4476411146048094e-18,0.23556075113262193,1772.0,2.8055286347757686,-1137.5078747576454,-21.875151437647027,619.6407061917448,0.5118742303226469,1191.3630489440368,3.202264568335316,-997.7726763017639,-19.187936082726228,479.90550773586335,0.9086101638821944,4890.01974490811,1.7908008433308087,-522.1144421058789,-10.04066234818998,4.247273539978323,-0.502853561122313,-9.958984010882704
Japan,2024,jump_ar1__k100,470,52,3192.0,2007.1932244434565,1178.5007840184117,0.9958696291632352,-265.96281433734833,2512.562831477473,0.23925971229065812,-258.32667244816565,1.0,4.981399667887801,553.375,2133.5,3837.25,True,1.9349304594751642,joint_one_year_block_forecast,4.360236511815075,False,0.0007355985230471753,False,block,0.6810115698794732,0.02000000000000001,0.16147494104766902,0.13751348907285776,0.1333660477090235,0.30886603356604414,1.8810246882175602e-17,0.5577679187249324,841.0,1.3329361784724547,-312.10656646071703,-6.0020493550137894,46.1437521233687,0.33706654930921953,688.3342887299792,1.5329898597836085,-333.03791100907296,-6.404575211712942,67.07509667172462,0.5371202306203733,1222.717339208233,0.9590676883308324,-284.38320749724426,-5.468907836485466,18.420393159895923,-0.036801940832402735,-5.114669506487468
New_Zealand,2024,jump_ar1__k30,108,12,1756.0,749.4686644342249,614.5415302939228,1.0488606707626262,-70.26905622829814,1019.308067658975,0.5435032003931459,-67.26968076939289,0.8333333333333334,4.474793475524825,67.0,788.0,1753.875,False,3.250645203116008,joint_one_year_block_forecast,1.8065408914568064,False,0.011378696209360759,False,block,0.691795243779982,0.020000000000000007,0.23160186361710877,0.05660289260290919,0.6333660477090176,0.13107320115835572,2.4476411146048094e-18,0.23556075113262673,147.19642857142856,2.472824474323798,-301.24853693492565,-25.104044744577138,230.9794807066275,1.423963803561172,88.81579960679868,2.973602186185701,-472.8488507270395,-39.40407089391996,402.57979449874136,1.924741515423075,367.51404469929753,1.5618842641244344,-108.95962781520007,-9.079968984600006,38.690571586901925,0.5130235933618081,-5.855754685691512
Sweden,2024,jump_ar1__k30,108,12,2545.0,580.9447241357898,455.3773436814375,1.7189588037256769,-90.27918837582125,807.0471227733825,1.1476584020327305,-84.49861863999898,0.5,4.400237918690156,53.0,538.0,1418.625,False,3.2691639846475358,joint_one_year_block_forecast,4.007308747113355,False,0.008084698668896195,False,block,0.5373971103097548,0.020000000000000007,0.16147494104766907,0.2811279486425762,0.26052749886480664,0.13107320115835486,1.0821766345745066e-15,0.6083992999768375,143.08928571428572,2.8718456320039945,-617.8544818123121,-51.48787348435934,527.5752934364908,1.1528868282783176,68.77213127598205,3.597044114463749,-864.0514342329691,-72.00428618608076,773.7722458571478,1.8780853107380722,474.0658890703789,1.6788252708702087,-137.26555403569589,-11.438796169641323,46.986365659874636,-0.04013353285546817,-7.523265697985104
United_States,2024,jump_ar1__k100,467,51,10933.0,4373.257898444542,4040.9008837778215,0.995162103371003,-350.9163539995258,6087.58880748869,0.5854608685111646,-332.34075767960576,0.9019607843137255,5.806164347828245,1417.0,4781.5,7923.25,False,1.720680249951049,joint_one_year_block_forecast,-1.1358818507784887,False,0.003971946597048449,False,block,0.5387124441565254,0.020000000000000028,0.3846846632405654,0.0566028926029092,0.3008376125204806,0.3891009088148242,2.4476411146048094e-18,0.31006147866469536,2532.5,1.4622754545389798,-392.2791501564866,-7.6917480422840505,41.36279615696077,0.4671133511679768,1958.092842575719,1.7193956697923065,-418.8305443668121,-8.212363615035532,67.91419036728627,0.7242335664213035,5121.642267227496,0.7582068267207198,-342.919399965058,-6.723909803236431,-7.996954034467819,-0.23695527665028315,-6.880712823520114
Brazil,2024,jump_ar1__k30,108,12,7749.0,627.4277032396677,298.92045652484126,3.2519308277655163,-111.49231007748111,1564.7362843389872,1.599336660782897,-100.84124388341242,0.3333333333333333,4.227475987519193,150.0,246.0,2363.125,False,2.7508834167936937,joint_one_year_block_forecast,2.2138322196762217,False,0.013384348804596932,False,block,0.30192216634942187,0.019999999999999976,0.621474941047669,0.056602892602909155,0.15014163632404515,0.13107320115835916,0.446132706260146,0.27265245625744966,228.23214285714286,3.5207129079976163,-914.7146371602685,-76.2262197633557,803.2223270827874,0.26878208023209993,220.1174601999205,3.5567540679053247,-952.8438858486559,-79.40365715405466,841.3515757711748,0.3048232401398083,240.924189929896,3.466823710020855,-871.2083648908573,-72.60069707423811,759.7160548133762,0.21489288225533887,-9.291025839790093
