programme_profile,current_practice_cases_per_100k_under18,lowest_burden_programme_only_strategy,reduction_percent,cases_averted_per_100k_under18,infant_hospitalisations_averted_per_100k_infants,runner_up_excess_cases_per_100k_under18,rank_margin
Australia,1072.1423025667305,Routine timeliness,10.25243853451988,110.10324295833834,221.81908328755082,95.35028635117715,Clear margin
Brazil,356.3272170672158,Infant-exposure package,16.775941307521524,59.77724459559738,70.2327754707965,3.537695328111738,Near-tie
China,154.38525086572383,Infant-exposure package,43.89743999913137,67.77117290200175,57.57105752360318,2.190830952192414,Near-tie
Japan,342.0944405222172,Infant-exposure package,19.341905731435904,66.16758436169061,92.57506664804058,3.9016985151384347,Near-tie
New Zealand,903.9201578854819,Routine timeliness,11.114060621250976,101.18467961979309,179.79815706008185,79.21642888163137,Clear margin
South Africa,345.25858220364154,Routine timeliness,15.639451041401609,54.08798074151895,44.95610608027869,20.44557735382324,Modest margin
Sweden,469.2966728957474,Infant-exposure package,8.612597844818348,40.41863513211416,76.92763226610975,4.765860040268251,Near-tie
Thailand,303.73271103385906,Infant-exposure package,31.33694151375499,95.18054205414313,99.18404033653155,4.384710788363975,Near-tie
United Kingdom,964.8553970789703,Routine timeliness,14.920739661994364,143.58931363915224,232.56493786966053,42.91747961057513,Clear margin
United States,388.89473491693457,Routine timeliness,8.628066665479173,33.54742873101304,51.34918497820149,0.12017547674685147,Near-tie
