country,starting_resistant_fraction,resistance_label,comparator,comparator_label,comparator_infant_cases_per_100k,minimum_infectiousness_reduction,reached_comparator,median_minimum_infectiousness_reduction,q25_minimum_infectiousness_reduction,q75_minimum_infectiousness_reduction,min_minimum_infectiousness_reduction,max_minimum_infectiousness_reduction,countries_reaching_comparator,countries_evaluated,threshold_basis
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,2349.3599578779804,0,TRUE,0,0,0,0,0.15,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,443.9044201949483,0,TRUE,0,0,0,0,0.15,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,136.61782256582717,0,TRUE,0,0,0,0,0.15,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,409.08586422758,0,TRUE,0,0,0,0,0.15,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,1856.8067757040728,0.1,TRUE,0,0,0,0,0.15,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
South_Africa,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,446.8609464901695,0,TRUE,0,0,0,0,0.15,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,631.6894026188705,0,TRUE,0,0,0,0,0.15,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,320.55585395061684,0,TRUE,0,0,0,0,0.15,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,1894.3039339755435,0.15,TRUE,0,0,0,0,0.15,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,504.5556696469131,0,TRUE,0,0,0,0,0.15,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Australia,0,0% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,2002.601340994512,0.15,TRUE,0.125,0.1,0.15,0,0.2,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Brazil,0,0% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,250.6425935498672,0.1,TRUE,0.125,0.1,0.15,0,0.2,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
China,0,0% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,69.78286962523441,0.2,TRUE,0.125,0.1,0.15,0,0.2,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Japan,0,0% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,326.3798090537408,0,TRUE,0.125,0.1,0.15,0,0.2,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
New_Zealand,0,0% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,1765.6294616946743,0.15,TRUE,0.125,0.1,0.15,0,0.2,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
South_Africa,0,0% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,225.1214338399601,0.15,TRUE,0.125,0.1,0.15,0,0.2,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Sweden,0,0% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,389.59792735605294,0.1,TRUE,0.125,0.1,0.15,0,0.2,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Thailand,0,0% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,222.22711150270223,0.1,TRUE,0.125,0.1,0.15,0,0.2,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
United_Kingdom,0,0% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,1895.541430374766,0.15,TRUE,0.125,0.1,0.15,0,0.2,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
United_States,0,0% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,269.8007882033394,0.1,TRUE,0.125,0.1,0.15,0,0.2,10,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Australia,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,2349.3599578779804,0.4,TRUE,0.5,0.475,0.5125,0.2,0.55,8,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Brazil,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,443.9044201949483,0.5,TRUE,0.5,0.475,0.5125,0.2,0.55,8,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
China,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,136.61782256582717,0.5,TRUE,0.5,0.475,0.5125,0.2,0.55,8,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Japan,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,409.08586422758,NA,FALSE,0.5,0.475,0.5125,0.2,0.55,8,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
New_Zealand,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,1856.8067757040728,0.55,TRUE,0.5,0.475,0.5125,0.2,0.55,8,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
South_Africa,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,446.8609464901695,0.5,TRUE,0.5,0.475,0.5125,0.2,0.55,8,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Sweden,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,631.6894026188705,0.5,TRUE,0.5,0.475,0.5125,0.2,0.55,8,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Thailand,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,320.55585395061684,0.55,TRUE,0.5,0.475,0.5125,0.2,0.55,8,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
United_Kingdom,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,1894.3039339755435,NA,FALSE,0.5,0.475,0.5125,0.2,0.55,8,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
United_States,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,504.5556696469131,0.2,TRUE,0.5,0.475,0.5125,0.2,0.55,8,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Australia,0.01,1% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,2002.601340994512,0.55,TRUE,0.55,0.45,0.575,0.35,0.6,3,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Brazil,0.01,1% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,250.6425935498672,NA,FALSE,0.55,0.45,0.575,0.35,0.6,3,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
China,0.01,1% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,69.78286962523441,NA,FALSE,0.55,0.45,0.575,0.35,0.6,3,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Japan,0.01,1% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,326.3798090537408,NA,FALSE,0.55,0.45,0.575,0.35,0.6,3,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
New_Zealand,0.01,1% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,1765.6294616946743,0.6,TRUE,0.55,0.45,0.575,0.35,0.6,3,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
South_Africa,0.01,1% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,225.1214338399601,NA,FALSE,0.55,0.45,0.575,0.35,0.6,3,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Sweden,0.01,1% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,389.59792735605294,NA,FALSE,0.55,0.45,0.575,0.35,0.6,3,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Thailand,0.01,1% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,222.22711150270223,NA,FALSE,0.55,0.45,0.575,0.35,0.6,3,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
United_Kingdom,0.01,1% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,1895.541430374766,NA,FALSE,0.55,0.45,0.575,0.35,0.6,3,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
United_States,0.01,1% resistant-strain seeding,resistance_guided_treatment,Resistance-guided management,269.8007882033394,0.35,TRUE,0.55,0.45,0.575,0.35,0.6,3,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Australia,0.03,3% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,2349.3599578779804,0.4,TRUE,0.5,0.475,0.5125,0.2,0.6,8,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Brazil,0.03,3% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,443.9044201949483,0.55,TRUE,0.5,0.475,0.5125,0.2,0.6,8,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
China,0.03,3% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,136.61782256582717,0.5,TRUE,0.5,0.475,0.5125,0.2,0.6,8,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
Japan,0.03,3% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,409.08586422758,NA,FALSE,0.5,0.475,0.5125,0.2,0.6,8,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
New_Zealand,0.03,3% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,1856.8067757040728,0.5,TRUE,0.5,0.475,0.5125,0.2,0.6,8,10,VE_inf-only grid; VE_sus and VE_dur held at the grid baseline.
