scenario,uptake,uptake_offset,uptake_plot,pep_assumption,reach_status,implementation_group,metric,median_reduction,q25_reduction,q75_reduction,implementation_note,q25_reduction_plot,q75_reduction_plot,q25_truncated,q75_truncated,effect_measure
current_near_term,0,0,0,Guided treatment only,Baseline PEP reach,Guided tx only,<18 cases,0,0,0,Current macrolide treatment and baseline resistant-strain PEP effectiveness.,0,0,FALSE,FALSE,bounded_proportional_response
guided_uptake_100_no_pep_restoration,1,-0.018,0.982,Guided treatment only,Baseline PEP reach,Guided tx only,<18 cases,0.2040034572760199,0.040384118640015634,0.43012171733727717,Full treatment restoration but no restoration of resistant-strain PEP effectiveness.,0.040384118640015634,0.43012171733727717,FALSE,FALSE,bounded_proportional_response
guided_uptake_100_pep_restored,1,0.018,1.018,Treatment + restored PEP effect,Baseline PEP reach,Tx + restored PEP,<18 cases,-0.22816074510212137,-0.6788310702243898,0.5804921417759391,Full resistance-guided treatment scenario used in the main analysis.,-0.6788310702243898,0.5804921417759391,FALSE,FALSE,bounded_proportional_response
guided_uptake_25_pep_restored,0.25,0.018,0.268,Treatment + restored PEP effect,Baseline PEP reach,Tx + restored PEP,<18 cases,-0.10625608284218721,-0.32656898452570365,0.021631488189298383,Quarter uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,-0.32656898452570365,0.021631488189298383,FALSE,FALSE,bounded_proportional_response
guided_uptake_50_low_pep_reach,0.5,0.046,0.546,Treatment + restored PEP effect,Lower PEP reach,Lower PEP reach,<18 cases,-0.6063617387020404,-0.8363512254786771,-0.14084964536098066,"Half uptake and half baseline PEP reach, approximating delayed activation, lower adherence, or household-only reach.",-0.8363512254786771,-0.14084964536098066,FALSE,FALSE,bounded_proportional_response
guided_uptake_50_no_pep_restoration,0.5,-0.018,0.482,Guided treatment only,Baseline PEP reach,Guided tx only,<18 cases,0.08658527590765601,0.0283234230876849,0.21488259888168393,Half uptake of resistance-guided treatment; resistant-strain PEP effectiveness remains at baseline.,0.0283234230876849,0.21488259888168393,FALSE,FALSE,bounded_proportional_response
guided_uptake_50_pep_restored,0.5,0.018,0.518,Treatment + restored PEP effect,Baseline PEP reach,Tx + restored PEP,<18 cases,0.04489290302322753,-0.37561141750754057,0.31569665196149277,Half uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,-0.37561141750754057,0.31569665196149277,FALSE,FALSE,bounded_proportional_response
guided_uptake_75_pep_restored,0.75,0.018,0.768,Treatment + restored PEP effect,Baseline PEP reach,Tx + restored PEP,<18 cases,0.06132702816481425,-0.3699668445011003,0.479543881433032,Three-quarter uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,-0.3699668445011003,0.479543881433032,FALSE,FALSE,bounded_proportional_response
current_near_term,0,0,0,Guided treatment only,Baseline PEP reach,Guided tx only,Resistant infections,0,0,0,Current macrolide treatment and baseline resistant-strain PEP effectiveness.,0,0,FALSE,FALSE,bounded_proportional_response
guided_uptake_100_no_pep_restoration,1,-0.018,0.982,Guided treatment only,Baseline PEP reach,Guided tx only,Resistant infections,0.5293553213339993,0.3745884078220182,0.5525172243737215,Full treatment restoration but no restoration of resistant-strain PEP effectiveness.,0.3745884078220182,0.5525172243737215,FALSE,FALSE,bounded_proportional_response
guided_uptake_100_pep_restored,1,0.018,1.018,Treatment + restored PEP effect,Baseline PEP reach,Tx + restored PEP,Resistant infections,0.546069309837054,-0.21719099007101633,0.7797286944709284,Full resistance-guided treatment scenario used in the main analysis.,-0.21719099007101633,0.7797286944709284,FALSE,FALSE,bounded_proportional_response
guided_uptake_25_pep_restored,0.25,0.018,0.268,Treatment + restored PEP effect,Baseline PEP reach,Tx + restored PEP,Resistant infections,-0.04421956643442699,-0.3754367343972325,0.015897688266546205,Quarter uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,-0.3754367343972325,0.015897688266546205,FALSE,FALSE,bounded_proportional_response
guided_uptake_50_low_pep_reach,0.5,0.046,0.546,Treatment + restored PEP effect,Lower PEP reach,Lower PEP reach,Resistant infections,0.1276998190948842,-0.6479986974861432,0.661533580983126,"Half uptake and half baseline PEP reach, approximating delayed activation, lower adherence, or household-only reach.",-0.6479986974861432,0.661533580983126,FALSE,FALSE,bounded_proportional_response
guided_uptake_50_no_pep_restoration,0.5,-0.018,0.482,Guided treatment only,Baseline PEP reach,Guided tx only,Resistant infections,0.22368958433930342,0.1060935143191433,0.2821457697075194,Half uptake of resistance-guided treatment; resistant-strain PEP effectiveness remains at baseline.,0.1060935143191433,0.2821457697075194,FALSE,FALSE,bounded_proportional_response
guided_uptake_50_pep_restored,0.5,0.018,0.518,Treatment + restored PEP effect,Baseline PEP reach,Tx + restored PEP,Resistant infections,0.2168492475499231,-0.25079394573876246,0.37206422695813024,Half uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,-0.25079394573876246,0.37206422695813024,FALSE,FALSE,bounded_proportional_response
guided_uptake_75_pep_restored,0.75,0.018,0.768,Treatment + restored PEP effect,Baseline PEP reach,Tx + restored PEP,Resistant infections,0.46590193225824866,0.2881640356331459,0.709788114141953,Three-quarter uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,0.2881640356331459,0.709788114141953,FALSE,FALSE,bounded_proportional_response
