resistance_weight_lambda,strategy,strategy_label,countries_preferred,median_preference_score,median_infant_case_reduction,median_resistant_infection_reduction
0.0,resistance_guided_treatment,Resistance-guided management,6,0.6111590671437799,0.6111590671437799,0.6371545530243488
0.0,targeted_pep_high_risk,Targeted high-risk PEP,1,0.4864109737874125,0.4864109737874125,0.0
0.0,timeliness_only,Routine timeliness,3,0.2993418187983299,0.2993418187983299,0.019865835178716096
0.01,resistance_guided_treatment,Resistance-guided management,6,0.6116024307065673,0.6111590671437799,0.6371545530243488
0.01,targeted_pep_high_risk,Targeted high-risk PEP,1,0.48154686404953834,0.4864109737874125,0.0
0.01,timeliness_only,Routine timeliness,3,0.2963483009787976,0.2993418187983299,0.019865835178716096
0.02,resistance_guided_treatment,Resistance-guided management,6,0.6120457942693547,0.6111590671437799,0.6371545530243488
0.02,targeted_pep_high_risk,Targeted high-risk PEP,1,0.47668275431166424,0.4864109737874125,0.0
0.02,timeliness_only,Routine timeliness,3,0.29335478315926533,0.2993418187983299,0.019865835178716096
0.03,resistance_guided_treatment,Resistance-guided management,6,0.612489157832142,0.6111590671437799,0.6371545530243488
0.03,targeted_pep_high_risk,Targeted high-risk PEP,1,0.4718186445737901,0.4864109737874125,0.0
0.03,timeliness_only,Routine timeliness,3,0.29036126533973305,0.2993418187983299,0.019865835178716096
0.04,resistance_guided_treatment,Resistance-guided management,6,0.6129325213949293,0.6111590671437799,0.6371545530243488
0.04,targeted_pep_high_risk,Targeted high-risk PEP,1,0.466954534835916,0.4864109737874125,0.0
0.04,timeliness_only,Routine timeliness,3,0.2873677475202007,0.2993418187983299,0.019865835178716096
0.05,resistance_guided_treatment,Resistance-guided management,6,0.6133758849577167,0.6111590671437799,0.6371545530243488
0.05,targeted_pep_high_risk,Targeted high-risk PEP,1,0.4620904250980418,0.4864109737874125,0.0
0.05,timeliness_only,Routine timeliness,3,0.2843742297006685,0.2993418187983299,0.019865835178716096
0.06,resistance_guided_treatment,Resistance-guided management,6,0.6138192485205041,0.6111590671437799,0.6371545530243488
0.06,targeted_pep_high_risk,Targeted high-risk PEP,1,0.4572263153601677,0.4864109737874125,0.0
0.06,timeliness_only,Routine timeliness,3,0.28138071188113617,0.2993418187983299,0.019865835178716096
0.07,resistance_guided_treatment,Resistance-guided management,6,0.6142626120832915,0.6111590671437799,0.6371545530243488
0.07,targeted_pep_high_risk,Targeted high-risk PEP,1,0.45236220562229357,0.4864109737874125,0.0
0.07,timeliness_only,Routine timeliness,3,0.2783871940616039,0.2993418187983299,0.019865835178716096
0.08,resistance_guided_treatment,Resistance-guided management,6,0.6147059756460789,0.6111590671437799,0.6371545530243488
0.08,targeted_pep_high_risk,Targeted high-risk PEP,1,0.4474980958844195,0.4864109737874125,0.0
0.08,timeliness_only,Routine timeliness,3,0.2753936762420716,0.2993418187983299,0.019865835178716096
0.09,resistance_guided_treatment,Resistance-guided management,7,0.6085767176348894,0.6057927065302293,0.6367261632486754
