country,fitness_R,calendar_year,model_resistant_fraction,init_year,init_resistance,observed_fraction,observed_lower,observed_upper
China,0.85,2016,0.20800532233100025,2016,0.364,,,
China,0.85,2017,0.08742227053065436,2016,0.364,,,
China,0.85,2018,0.03450068929256695,2016,0.364,,,
China,0.85,2019,0.017350382534272676,2016,0.364,,,
China,0.85,2020,0.011938021140742376,2016,0.364,,,
China,0.85,2021,0.010254269990999536,2016,0.364,,,
China,0.85,2022,0.009883675397435175,2016,0.364,0.972,0.94,0.99
China,0.85,2023,0.009907445765743907,2016,0.364,,,
China,0.85,2024,0.010038433021384076,2016,0.364,0.997,0.986,1.0
China,0.9,2016,0.2864661135429497,2016,0.364,,,
China,0.9,2017,0.24295078486060448,2016,0.364,,,
China,0.9,2018,0.1853152640908273,2016,0.364,,,
China,0.9,2019,0.1405654608439293,2016,0.364,,,
China,0.9,2020,0.10766554845095162,2016,0.364,,,
China,0.9,2021,0.0835788380754879,2016,0.364,,,
China,0.9,2022,0.06642265301706256,2016,0.364,0.972,0.94,0.99
China,0.9,2023,0.05558064905548077,2016,0.364,,,
China,0.9,2024,0.04819421074139999,2016,0.364,0.997,0.986,1.0
China,0.95,2016,0.4847030286489772,2016,0.364,,,
China,0.95,2017,0.741068452206282,2016,0.364,,,
China,0.95,2018,0.8546162047513203,2016,0.364,,,
China,0.95,2019,0.9110435047818769,2016,0.364,,,
China,0.95,2020,0.9395523121569841,2016,0.364,,,
China,0.95,2021,0.9549313296075219,2016,0.364,,,
China,0.95,2022,0.9627910353799164,2016,0.364,0.972,0.94,0.99
China,0.95,2023,0.9676813183824241,2016,0.364,,,
China,0.95,2024,0.9717247853207172,2016,0.364,0.997,0.986,1.0
China,1.0,2016,0.4556013462171911,2016,0.364,,,
China,1.0,2017,0.6641659161879923,2016,0.364,,,
China,1.0,2018,0.7575063735110804,2016,0.364,,,
China,1.0,2019,0.8118882335529936,2016,0.364,,,
China,1.0,2020,0.8511407127603042,2016,0.364,,,
China,1.0,2021,0.8882871587872084,2016,0.364,,,
China,1.0,2022,0.9232826987078798,2016,0.364,0.972,0.94,0.99
China,1.0,2023,0.9535546746620019,2016,0.364,,,
China,1.0,2024,0.9764090820426454,2016,0.364,0.997,0.986,1.0
China,1.05,2016,0.448080521593074,2016,0.364,,,
China,1.05,2017,0.6460901059355948,2016,0.364,,,
China,1.05,2018,0.7424726674771943,2016,0.364,,,
China,1.05,2019,0.8135161666923141,2016,0.364,,,
China,1.05,2020,0.8774447832890356,2016,0.364,,,
China,1.05,2021,0.9343397082744868,2016,0.364,,,
China,1.05,2022,0.9725330030063185,2016,0.364,0.972,0.94,0.99
China,1.05,2023,0.9907087132249459,2016,0.364,,,
China,1.05,2024,0.997243250581055,2016,0.364,0.997,0.986,1.0
China,1.1,2016,0.4943786127350609,2016,0.364,,,
China,1.1,2017,0.7124877071273396,2016,0.364,,,
China,1.1,2018,0.8141504575659778,2016,0.364,,,
China,1.1,2019,0.8929975651083143,2016,0.364,,,
China,1.1,2020,0.9510224948540703,2016,0.364,,,
China,1.1,2021,0.9841673552277601,2016,0.364,,,
China,1.1,2022,0.9961188589422952,2016,0.364,0.972,0.94,0.99
China,1.1,2023,0.9990370386895381,2016,0.364,,,
China,1.1,2024,0.9997149141298851,2016,0.364,0.997,0.986,1.0
Japan,0.85,2024,0.6833002538671965,2024,0.875,,,
Japan,0.85,2025,0.4566528855371319,2024,0.875,0.827,0.697,0.918
Japan,0.9,2024,0.7145532012723769,2024,0.875,,,
Japan,0.9,2025,0.5392417926632744,2024,0.875,0.827,0.697,0.918
Japan,0.95,2024,0.7751685822770076,2024,0.875,,,
Japan,0.95,2025,0.7761780102657562,2024,0.875,0.827,0.697,0.918
Japan,1.0,2024,0.813419997605868,2024,0.875,,,
Japan,1.0,2025,0.893046250922481,2024,0.875,0.827,0.697,0.918
Japan,1.05,2024,0.8399060621007158,2024,0.875,,,
Japan,1.05,2025,0.9491493741112275,2024,0.875,0.827,0.697,0.918
Japan,1.1,2024,0.8523467423097325,2024,0.875,,,
Japan,1.1,2025,0.9590570109224491,2024,0.875,0.827,0.697,0.918
Australia,0.85,2024,0.048557648449349095,2024,0.043,0.043,0.019,0.082
Australia,0.85,2025,0.09121463743373398,2024,0.043,,,
Australia,0.85,2026,0.15782184760954976,2024,0.043,,,
Australia,0.9,2024,0.07978408641995795,2024,0.043,0.043,0.019,0.082
Australia,0.9,2025,0.28838298976849547,2024,0.043,,,
Australia,0.9,2026,0.6235228806325261,2024,0.043,,,
Australia,0.95,2024,0.1253467456160682,2024,0.043,0.043,0.019,0.082
Australia,0.95,2025,0.574851728197698,2024,0.043,,,
Australia,0.95,2026,0.9153032739203772,2024,0.043,,,
Australia,1.0,2024,0.17979863051360817,2024,0.043,0.043,0.019,0.082
Australia,1.0,2025,0.7817045042950127,2024,0.043,,,
Australia,1.0,2026,0.9820298693963062,2024,0.043,,,
Australia,1.05,2024,0.2428216350653547,2024,0.043,0.043,0.019,0.082
Australia,1.05,2025,0.89597197880442,2024,0.043,,,
Australia,1.05,2026,0.9955678176054508,2024,0.043,,,
Australia,1.1,2024,0.32312225477830264,2024,0.043,0.043,0.019,0.082
Australia,1.1,2025,0.95691942356944,2024,0.043,,,
Australia,1.1,2026,0.998550205457765,2024,0.043,,,
